docid,year,filing_date_iso,member_last,member_first,state_district,status,pdf_sha256,text_chars,n_transactions
20010573,2018,2018-11-01,Speier,Jackie,CA14,fetched,f1f8e8ceaaf6ee9ab54f22522a62158d21266adb7203555d20ff86d05f62eeef,826,1
20010576,2018,2018-11-01,Langevin,James R.,RI02,fetched,1dd12408cc33d115e65a84532d052174acf52baf8003d4601bb54f9fb6209eb7,871,1
9114137,2018,2018-11-01,Black,Diane,TN06,image_only,5df7374d2d4271ad0ed86ac7fa808d419337d7714ed7f0d49f44f23ad0efe59f,0,0
9114143,2018,2018-11-01,Delaney,John K.,MD06,image_only,679ed7ed7858efa0824a8249a273e08fa9101c0d8ba18b7d571f7ce4ccbc0ab1,0,0
9114144,2018,2018-11-01,Larson,John B.,CT01,image_only,5f4552d82bad0de700b6b3d172d16a19f1e36434d4131aaf19a941a428afee72,0,0
20010456,2018,2018-11-02,Gottheimer,Josh,NJ05,fetched,5fe3721aa10d5960546f3e322abbec1ddacfdfc08512a8b539461156c1e31b1d,1151,2
20010595,2018,2018-11-02,Marshall,Roger W.,KS01,fetched,8e366af26f85c4f21876dfc933c14cbcc3ce1802388fb65d4da8f8e726f96977,921,1
20010578,2018,2018-11-03,Bustos,Cheri,IL17,fetched,be7e9131ff7386fd55d4d2fd4cff7ec0e8f4b98a4eee6e51dbceb02097e44828,901,1
20010600,2018,2018-11-04,Lowenthal,Alan S.,CA47,fetched,dac3aaecad21b2c7601deac6579a16b903b471de0081eafa146e98fa8d745cdf,1080,1
20010601,2018,2018-11-04,Lowenthal,Alan S.,CA47,fetched,bc93872d71a59d49a99ce6d9e0ee7c1dcfb4e36447cbe0950ee4286341433bfa,1351,1
20010602,2018,2018-11-04,Lowenthal,Alan S.,CA47,fetched,9e6df56482d6d36e8a5634cf63daaff766026c7716f682f41e702f7430841512,1378,4
20010604,2018,2018-11-05,Cohen,Steve,TN09,fetched,a78b19814887d1b473b665e0dedd0b393bec9b866b6f00fca6448670d463922b,995,1
20010605,2018,2018-11-05,Foxx,Virginia,NC05,fetched,b4990151786fef95f6e3276951607ae8fdefb70b226b886301a88f98ca20e3e4,1243,5
20010607,2018,2018-11-06,Trott,David A.,MI11,fetched,1883ed4fd024d7d52598fb3ac2b5cf57bbfd7f7a3cf7036d85e4ed439c4cfc74,13897,36
20010609,2018,2018-11-06,Welch,Peter,VT00,fetched,1cf431f87ac15f822a4cd8c648108d0b5c2811f66b51a93a88c9392a750bfd3d,1421,5
20010616,2018,2018-11-06,Doggett,Lloyd,TX35,fetched,89d3771b854d6046c6c7adadb56d5adee0992942cc166142091f51509de5f55f,848,1
20010620,2018,2018-11-06,Blumenauer,Earl,OR03,fetched,cddc79df3c4f34788102efbea52a3edacf60084cb64457e98837147769b7b148,1703,8
20010611,2018,2018-11-07,Palmer,Gary,AL06,fetched,408238db5b1fc3d0f981bc86d57ced6f716380a6e73bb04f5ec51a9d4fa411d0,6707,41
20010625,2018,2018-11-07,Price,David E.,NC04,fetched,3138e02e85ff331844b45dccbe036db60faf30b8aeb7cf85f04b046ed9a35344,1018,2
20010626,2018,2018-11-08,Smith,Lamar,TX21,fetched,984c5a583fa3b596bcfd2f3d35884a7e14eefe7c81d2325a4db9df8f86184f62,3979,17
20010631,2018,2018-11-08,Pelosi,Nancy,CA12,fetched,9d1186021b2ea280ecd6c4f8e9cb50a867dd6d60fce8717ed11759186da9aef8,1258,3
20010632,2018,2018-11-09,Rooney,Thomas J.,FL17,fetched,a32c17af8c36c0aa3929367fc5034b3ee1df44610352ad7df74b81960963437c,1429,3
