week,signal_date,exec_date,ticker,side,weight
2019-12-30/2020-01-05,2020-01-03,2020-01-06,PODD,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,CVNA,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,CPAY,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,DXCM,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,DHI,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,EW,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,KEYS,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,CSGP,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,TTD,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,MSI,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,CASY,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,VEEV,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,J,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,SNPS,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,DIS,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,HWM,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,PHM,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,CDNS,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,MAA,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,COST,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,BLDR,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,MSCI,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,EME,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,INVH,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,AIZ,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,JCI,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,AXON,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,PLD,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,HSY,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,KIM,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,ODFL,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,APD,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,HIG,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,BF-B,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,LEN,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,SYF,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,FISV,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,NOC,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,LHX,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,GPN,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,DG,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,CINF,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,LMT,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,KKR,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,CMI,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,TROW,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,GRMN,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,SHW,L,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,WAT,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,DELL,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,BKNG,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,VRT,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,KR,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,CSCO,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,HCA,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,NCLH,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,PSKY,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,FTV,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,HST,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,ON,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,BG,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,TKO,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,TSLA,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,NWS,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,NWSA,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,ADM,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,KHC,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,WMB,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,RCL,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,LLY,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,EXPE,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,CIEN,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,WYNN,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,RL,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,FCX,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,COP,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,TAP,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,BKR,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,TPL,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,VTRS,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,ULTA,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,TRGP,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,CNP,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,OXY,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,SLB,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,ALB,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,CCL,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,DVN,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,COHR,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,APA,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,MOS,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,EOG,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,FANG,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,HAL,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,EQT,S,0.020833333333333332
2019-12-30/2020-01-05,2020-01-03,2020-01-06,PCG,S,0.020833333333333332
