,us_momentum_top5,spy_sma200,spy_rsi2,btc_vol_target_sma100,dual_momentum
2014-10-31,0.000000,0.039629,0.008246,0.000000,0.000000
2014-11-30,0.000000,0.027472,0.000015,0.000000,0.000000
2014-12-31,0.000000,-0.002537,-0.000911,0.000000,0.000000
2015-01-31,-0.033348,-0.029629,-0.015894,0.000000,0.000000
2015-02-28,0.010851,0.027719,0.005802,0.000000,0.000000
2015-03-31,-0.003741,-0.007687,-0.002953,0.000000,0.000000
2015-04-30,-0.000000,0.003719,-0.007313,0.000000,0.000000
2015-05-31,0.005441,0.012446,-0.009909,0.000000,0.000000
2015-06-30,-0.006398,-0.021475,-0.004890,0.000000,0.000000
2015-07-31,0.013347,0.021060,0.016652,0.000000,0.000000
2015-08-31,-0.041177,-0.058999,-0.034174,0.000000,0.000000
2015-09-30,-0.033601,-0.028095,-0.028035,0.000000,0.000000
2015-10-31,-0.019393,0.078647,0.022821,0.000000,0.000000
2015-11-30,0.060754,0.010435,-0.007918,0.000000,0.000000
2015-12-31,-0.044038,-0.019332,-0.009054,0.000000,0.000000
2016-01-31,-0.039515,-0.056940,-0.017905,0.000000,0.000000
2016-02-29,0.020110,0.001560,-0.033821,0.000000,0.000000
2016-03-31,0.021178,0.063947,0.014930,0.000000,0.000000
2016-04-30,0.015906,0.016533,0.004251,0.000000,0.000000
2016-05-31,0.013433,0.019203,0.006068,0.000000,0.000000
2016-06-30,0.000000,0.001496,-0.007012,0.000000,0.000000
2016-07-31,0.055921,0.036906,0.008926,0.000000,0.000000
2016-08-31,0.006892,0.003192,0.000000,0.000000,0.000000
2016-09-30,0.016120,0.000425,-0.003460,0.000000,0.000000
2016-10-31,-0.012654,0.019057,0.005857,0.000000,0.000000
2016-11-30,0.011607,0.032845,0.004449,0.000000,0.000000
2016-12-31,-0.008412,-0.008253,-0.005584,0.000000,0.000000
2017-01-31,0.023942,0.000967,0.002039,0.000000,0.000000
2017-02-28,0.044372,0.027542,0.011508,0.000000,0.000000
2017-03-31,0.010163,-0.006783,-0.002427,0.000000,0.000000
2017-04-30,0.022866,0.015009,0.004333,0.000000,0.000000
2017-05-31,0.023368,0.014444,0.003610,0.000000,0.000000
