name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
SENTINELONE INC,81730H109,143960303,9867053,,
FRONTIER COMMUNICATIONS PARE,35909D109,130547927,5123545,,
GINKGO BIOWORKS HOLDINGS INC,37611X100,118054262,69854593,,
SWEETGREEN INC,87043Q108,41095095,4795227,,
ROIVANT SCIENCES LTD,G76279101,38612810,4832642,,ROIV
TRIPADVISOR INC,896945AD4,24090745,30170000,,
CONSOLIDATED COMM HLDGS INC,209034107,13650153,3812892,,
LENDINGTREE INC,52603BAD9,7276000,10000000,,
PEGASYSTEMS INC,705573AB9,7257731,8470000,,PEGA
THE REALREAL INC,88339PAD3,7219625,19230000,,
ARDAGH METAL PACKAGING S A,L02235106,6012500,1250000,,
SOUNDHOUND AI INC,836100107,5660048,3197767,,
KATAPULT HOLDINGS INC,485859102,2512176,2625876,,
LIBERTY LATIN AMERICA LTD,53069QAB5,1782673,2000000,,LILAP
LIBERTY MEDIA CORP DEL,530715AL5,1703838,5000000,,FWONB
DISH NETWORK CORPORATION,25470MAB5,1259100,2000000,,
LIBERTY MEDIA CORP DEL,530715AG6,962988,2800000,,FWONB
ARDAGH METAL PACKAGING S A,L02235114,547969,1245385,,
GINKGO BIOWORKS HOLDINGS INC,37611X118,10000,50000,,
