name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
SPDR S&P 500 ETF TR,78462F103,5334592,18206800,CALL,
INVESCO QQQ TR,46090E103,1542734,8261400,CALL,
PG&E CORP,69331C108,385698,16828015,,PCG-PX
FACEBOOK INC,30303M102,357050,1850000,,
AMAZON COM INC,023135106,350322,185000,,AMZN
ALPHABET INC,02079K107,232396,215000,,GOOGN
ALLERGAN PLC,G0177J108,216822,1295000,,
CAESARS ENTMT CORP,127686103,132384,11200000,,
ENERGY TRANSFER LP,29273V100,82404,5852527,,ET-PI
UNITEDHEALTH GROUP INC,91324P102,81743,335000,,UNH
SALESFORCE COM INC,79466L302,75865,500000,,
ALTABA INC,021346101,72839,1050000,,
ALPS ETF TR,00162Q866,64518,6550000,,
T MOBILE US INC,872590104,51898,700000,,
VISTRA ENERGY CORP,92840M102,38920,1719100,,
SPDR SERIES TRUST,78464A730,35425,1300000,,
MICRON TECHNOLOGY INC,595112103,34731,900000,,MU
CAESARS ENTMT CORP,127686AA1,34534,20000000,,
ADOBE INC,00724F101,33001,112000,,ADBE
CHENIERE ENERGY INC,16411R208,28065,410000,,
HUMANA INC,444859102,25307,95391,,HUM
CLEARWAY ENERGY INC,18539C204,11805,700200,,
INTELSAT S A,L5140P101,11514,592000,,
MR COOPER GROUP INC,62482R107,10333,1290000,,
CENTENE CORP DEL,15135B101,6703,127815,,CNC
QUALCOMM INC,747525103,5705,75000,CALL,
CLEARWAY ENERGY INC,18539C105,3401,210200,,
