name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
APPLE INC,037833100,1518636496,7887791,,AAPL
MICROSOFT CORP,594918104,1501393403,3992643,,MSFT
NVIDIA CORPORATION,67066G104,803207722,1621921,,NVDA
BROADCOM INC,11135F101,432910556,387826,,AVGO
PULTE GROUP INC,745867101,373258117,3616141,,
THE CIGNA GROUP,125523100,343935103,1149900,,
HUMANA INC,444859102,343224742,753281,,HUM
CVS HEALTH CORP,126650100,335996566,4255276,,CVS
GENERAL ELECTRIC CO,369604301,321543632,2519342,,GE
COCA COLA CO,191216100,318008156,5423059,,KO
GILEAD SCIENCES INC,375558103,311417659,3848701,,
CARDINAL HEALTH INC,14149Y108,284065019,2833849,,CAH
ABBVIE INC,00287Y109,282968998,1828201,,ABBV
MOLSON COORS BEVERAGE CO,60871R209,268166708,4386827,,TAP
AMGEN INC,031162100,268160011,933705,,AMGN
BERKSHIRE HATHAWAY INC DEL,084670702,254366148,713189,,BRK-A
OWENS CORNING NEW,690742101,240755281,1624201,,OC
GENERAL MTRS CO,37045V100,227671665,6338298,,
SALESFORCE INC,79466L302,226395449,860361,,
APPLIED MATLS INC,038222105,222827239,1374883,,
ARROW ELECTRS INC,042735100,217598153,1779944,,
TOLL BROTHERS INC,889478103,216520539,2106436,,
UNITEDHEALTH GROUP INC,91324P102,206158712,392474,,UNH
LOCKHEED MARTIN CORP,539830109,186211688,410846,,LMT
CME GROUP INC,12572Q105,182014856,864268,,CME
MASTERCARD INCORPORATED,57636Q104,166811209,391107,,
OREILLY AUTOMOTIVE INC,67103H107,152733727,161694,,
3M CO,88579Y101,151957110,1390021,,MMM
WESTERN UN CO,959802109,148654413,12471008,,
ELECTRONIC ARTS INC,285512109,142661922,1042774,,EA
REPUBLIC SVCS INC,760759100,140738608,857639,,
ELEVANCE HEALTH INC,036752103,135326556,288364,,
PAYPAL HLDGS INC,70450Y103,133596104,2175478,,
ORACLE CORP,68389X105,133580625,1267008,,ORCL-PD
LAM RESEARCH CORP,512807108,133342507,170240,,LRCX
AGCO CORP,001084102,133136962,1096590,,
TD SYNNEX CORPORATION,87162W100,130728311,1214834,,SNX
ROPER TECHNOLOGIES INC,776696106,128951344,236534,,ROP
HUNTINGTON INGALLS INDS INC,446413106,127446825,493082,,
CHUBB LIMITED,H1467J104,126788544,563354,,
DISCOVER FINL SVCS,254709108,123383728,1097720,,
SKYWORKS SOLUTIONS INC,83088M102,116763819,1038639,,
MOSAIC CO NEW,61945C103,111565547,3122461,,MOS
BLOCK H & R INC,093671105,111074836,2296358,,
PDD HOLDINGS INC,722304102,110721607,758991,,PDD
SYNOPSYS INC,871607107,110102175,213828,,SNPS
CUMMINS INC,231021106,107816789,450043,,CMI
HP INC,40434L105,105809138,3516422,,HPQ
REINSURANCE GRP OF AMERICA I,759351604,100938581,623925,,
VIATRIS INC,92556V106,95791047,8844972,,VTRS
TEREX CORP NEW,880779103,95724740,1665937,,TEX
COGNIZANT TECHNOLOGY SOLUTIO,192446102,94337064,1249001,,
ACUITY BRANDS INC,00508Y102,93412849,456720,,
INTERNATIONAL PAPER CO,460146103,91407728,2528568,,
MANPOWERGROUP INC WIS,56418H100,90422953,1137825,,
NETAPP INC,64110D104,90384677,1025235,,
WORKDAY INC,98138H101,90316894,327164,,
DANAHER CORPORATION,235851102,89937506,388768,,
BEST BUY INC,086516101,85719063,1095031,,
TRAVEL PLUS LEISURE CO,894164102,83675765,2140593,,
LAS VEGAS SANDS CORP,517834107,82330594,1673046,,LVS
COCA COLA CONS INC,191098102,82054796,88383,,
MONDELEZ INTL INC,609207105,79610557,1102181,,
RELIANCE STEEL & ALUMINUM CO,759509102,76755517,274440,,
FISERV INC,337738108,75478360,568190,,FISV
PROGRESSIVE CORP,743315103,75049595,473230,,
MGIC INVT CORP WIS,552848103,74937670,3884794,,
EOG RES INC,26875P101,74410136,615214,,
RYDER SYS INC,783549108,73361269,638757,,
SNOWFLAKE INC,833445109,72821662,365938,,SNOW
DECKERS OUTDOOR CORP,243537107,70760668,105861,,DECK
MSC INDL DIRECT INC,553530106,70648732,697696,,
SUPER MICRO COMPUTER INC,86800U104,70317965,247372,,
TEXAS ROADHOUSE INC,882681109,69992717,572631,,
UFP INDUSTRIES INC,90278Q108,68957886,549246,,UFPI
CONSOLIDATED EDISON INC,209115104,68193959,756366,,ED
FIRST HORIZON CORPORATION,320517105,67828179,4790126,,FHN-PH
AUTONATION INC,05329W102,66540553,443072,,
WENDYS CO,95058W100,66407294,3408999,,
HAWAIIAN ELEC INDUSTRIES,419870100,66396628,4679114,,
LANDSTAR SYS INC,515098101,65914587,340380,,
CAESARS ENTERTAINMENT INC NE,12769G100,64670210,1379484,,
MICROCHIP TECHNOLOGY INC.,595017104,64503363,715273,,MCHPP
GLOBAL PMTS INC,37940X102,62204697,489801,,
VICTORIAS SECRET AND CO,926400102,61218889,2306665,,
GODADDY INC,380237107,59781562,563127,,GDDY
MEDPACE HLDGS INC,58506Q109,59724918,194842,,
EDISON INTL,281020107,59367970,833469,,
CACI INTL INC,127190304,58725617,181999,,
THERMO FISHER SCIENTIFIC INC,883556102,57669295,108648,,TMO
BANK NEW YORK MELLON CORP,064058100,57092161,1096871,,
FERGUSON PLC NEW,G3421J106,56622516,293275,,
VERTIV HOLDINGS CO,92537N108,56330089,1172811,,VRT
CF INDS HLDGS INC,125269100,55791629,706581,,
VEEVA SYS INC,922475108,54485085,283010,,
LINDE PLC,G54950103,54211312,132320,,LIN
AUTODESK INC,052769106,52967126,217542,,
MANHATTAN ASSOCIATES INC,562750109,52720887,244849,,MANH
HUBSPOT INC,443573100,52300849,90090,,HUBS
ROLLINS INC,775711104,51587895,1181312,,ROL
MARKEL GROUP INC,570535104,50560755,35707,,MKL
PALO ALTO NETWORKS INC,697435105,50509700,171289,,PANW
TIMKEN CO,887389104,49525554,618451,,TKR
FAIR ISAAC CORP,303250104,48994345,42091,,FICO
FTI CONSULTING INC,302941109,48229948,242179,,
AKAMAI TECHNOLOGIES INC,00971T101,47016549,397267,,AKAM
UNITED STATES STL CORP NEW,912909108,46918958,964418,,
MOHAWK INDS INC,608190104,46860764,452761,,
JACOBS SOLUTIONS INC,46982L108,46637966,359306,,J
EXACT SCIENCES CORP,30063P105,46016522,622013,,
GRAINGER W W INC,384802104,45933485,55429,,
HEALTHPEAK PROPERTIES INC,42250P103,45883748,2317361,,
SENSATA TECHNOLOGIES HLDG PL,G8060N102,44804179,1192552,,
PLAYTIKA HLDG CORP,72815L107,44456318,5127603,,
INSPERITY INC,45778Q107,44380429,381603,,
NORTHROP GRUMMAN CORP,666807102,43743470,93441,,
OVINTIV INC,69047Q102,43499564,990427,,OVV
L3HARRIS TECHNOLOGIES INC,502431109,41682124,197902,,
ROBERT HALF INC.,770323103,41575092,472874,,RHI
NORTHERN TR CORP,665859104,41320699,489698,,
NEW YORK TIMES CO,650111107,40881266,834482,,NYT
PBF ENERGY INC,69318G106,40324689,917304,,PBF
VONTIER CORPORATION,928881101,40039007,1158871,,VNT
HOWMET AEROSPACE INC,443201108,39677220,733134,,HWM
NNN REIT INC,637417106,39566106,918007,,
ENPHASE ENERGY INC,29355A107,39087673,295805,,
AMERICAN EXPRESS CO,025816109,38958676,207957,,AXP
TAPESTRY INC,876030107,37589951,1021189,,
FEDERATED HERMES INC,314211103,36518552,1078516,,
LINCOLN NATL CORP IND,534187109,36150939,1340413,,
QUALYS INC,74758T303,35551411,181126,,
OLLIES BARGAIN OUTLET HLDGS,681116109,35023083,461498,,
COMERICA INC,200340107,34956091,626341,,
UNITED RENTALS INC,911363109,34611229,60359,,
SIBANYE STILLWATER LTD,82575P107,34361165,6328023,,SBYSF
GAP INC,364760108,34133072,1632380,,GAP
JUNIPER NETWORKS INC,48203R104,34043789,1157952,,
BUNGE GLOBAL SA,H11356104,33771106,334533,,BG
C H ROBINSON WORLDWIDE INC,12541W209,33716635,390284,,
HUBBELL INC,443510607,33083705,100785,,HUBB
KILROY RLTY CORP,49427F108,33029473,829053,,
EVERGY INC,30034W106,32976871,635392,,
TEXAS INSTRS INC,882508104,32562462,191027,,
GRUPO TELEVISA S A B,40049J206,32547268,9744691,,
VANGUARD TAX-MANAGED FDS,921943858,31912309,666228,,
ASSURANT INC,04621X108,31691977,188766,,
AIR LEASE CORP,00912X302,31229587,746762,,
CARNIVAL CORP,143658300,30855102,1664245,,CCL
ALLY FINL INC,02005N100,30816306,882483,,
ARISTA NETWORKS INC,040413106,29310162,124454,,
TEXAS CAP BANCSHARES INC,88224Q107,29305052,453428,,
CARTERS INC,146229109,29291625,391129,,CRI
PROSPERITY BANCSHARES INC,743606105,28909535,426835,,PB
SOUTHWESTERN ENERGY CO,845467109,28642731,4372936,,
MDU RES GROUP INC,552690109,28552135,1442027,,
UNITED AIRLS HLDGS INC,910047109,28508680,690952,,
WAYFAIR INC,94419L101,28351767,459510,,W
LIBERTY MEDIA CORP DEL,531229789,27842498,971137,,FWONB
GARTNER INC,366651107,27506883,60976,,IT
AGILENT TECHNOLOGIES INC,00846U101,27377231,196916,,
MONOLITHIC PWR SYS INC,609839105,27208148,43134,,
SPECTRUM BRANDS HLDGS INC NE,84790A105,26622204,333737,,
RALPH LAUREN CORP,751212101,26116076,181110,,RL
MARTIN MARIETTA MATLS INC,573284106,26068879,52281,,
AFLAC INC,001055102,25458053,309107,,AFL
DOW INC,260557103,25133720,458310,,DOW
COPART INC,217204106,25068086,511907,,CPRT
AMERICAN ELEC PWR CO INC,025537101,25004240,309152,,
ONEMAIN HLDGS INC,68268W103,24750539,503060,,
TRANSDIGM GROUP INC,893641100,24439186,24159,,TDG
NATIONAL FUEL GAS CO,636180101,24255457,485303,,NFG
BRINKS CO,109696104,23987401,272739,,BCO
NASDAQ INC,631103108,23812810,409577,,
INTEGRA LIFESCIENCES HLDGS C,457985208,23790407,546278,,
ALLETE INC,018522300,23570589,385897,,
ACI WORLDWIDE INC,004498101,23172890,757284,,
WALGREENS BOOTS ALLIANCE INC,931427108,23004268,881052,,
GERDAU SA,373737105,22909635,4723636,,
CURTISS WRIGHT CORP,231561101,22857364,102596,,CW
INTUIT,461202103,22728734,36364,,
HARLEY DAVIDSON INC,412822108,22373079,607304,,
GREIF INC,397624107,22174339,338075,,
AUTOLIV INC,052800109,21491250,195038,,ALV
BOK FINL CORP,05561Q201,21479931,250787,,
PETCO HEALTH & WELLNESS CO I,71601V105,21393070,6769959,,
TENET HEALTHCARE CORP,88033G407,21255876,281274,,THC
DTE ENERGY CO,233331107,20914496,190132,,DTG
PATTERSON COS INC,703395103,20741913,731379,,
ENVISTA HOLDINGS CORPORATION,29415F104,20667925,859016,,NVST
NORDSTROM INC,655664100,20612451,1117206,,
COTY INC,222070203,20471203,1648245,,COTY
ALTICE USA INC,02156K103,19993522,6151853,,
PAYCHEX INC,704326107,19891159,166998,,PAYX
MCCORMICK & CO INC,579780206,19857964,290576,,MKC-V
UNIVERSAL HLTH SVCS INC,913903100,19663388,128991,,
ADT INC DEL,00090Q103,19600632,2873993,,ADT
ROYAL GOLD INC,780287108,19590030,161968,,RGLD
KELLANOVA,487836108,19453520,349318,,
SEI INVTS CO,784117103,19350276,304489,,
GUIDEWIRE SOFTWARE INC,40171V100,19332247,177295,,
EQUITABLE HLDGS INC,29452E101,19311206,579916,,
BLACKBAUD INC,09227Q100,19211940,221591,,BLKB
ELASTIC N V,N14506104,18827887,167062,,
EVERSOURCE ENERGY,30040W108,18468338,300103,,ES
DRAFTKINGS INC NEW,26142V105,18350128,520571,,DKNG
OGE ENERGY CORP,670837103,18161407,521880,,OGE
EQUINIX INC,29444U700,17965029,22306,,EQIX
WEX INC,96208T104,17689653,90926,,WEX
HEXCEL CORP NEW,428291108,17657531,239424,,
FOX CORP,35137L105,17521619,590550,,FOX
HONEYWELL INTL INC,438516106,17516093,83547,,
WINGSTOP INC,974155103,17399730,67814,,WING
MARATHON OIL CORP,565849106,17274505,715004,,
AMEREN CORP,023608102,17195318,238625,,AEE
