name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
ARCH CAP GROUP LTD,G0450A105,2282443158,24691077,,
ALPHABET INC,02079K305,1742551901,11545431,,GOOGN
AMAZON COM INC,023135106,1495058526,8288383,,AMZN
CHIPOTLE MEXICAN GRILL INC,169656105,1346357729,463180,,CMG
META PLATFORMS INC,30303M102,1340563043,2760746,,
ARGENX SE,04016X101,1255809312,3189600,,ARGX
ELEVANCE HEALTH INC,036752103,1230116367,2372269,,
VEEVA SYS INC,922475108,1216610909,5251029,,
LINDE PLC,G54950103,1210843017,2607777,,LIN
BERKSHIRE HATHAWAY INC DEL,084670702,1182364730,2811673,,BRK-A
ADVANCED MICRO DEVICES INC,007903107,1141978279,6327100,,AMD
BOSTON SCIENTIFIC CORP,101137107,1107997660,16177510,,BSX
AMERICAN EXPRESS CO,025816109,1103478865,4846409,,AXP
PROGRESSIVE CORP,743315103,1088200596,5261583,,
GARMIN LTD,H2906T109,1086572951,7298804,,GRMN
BANK NEW YORK MELLON CORP,064058100,996843747,17300308,,
ATLASSIAN CORPORATION,049468101,985826639,5052671,,TEAM
WILLIS TOWERS WATSON PLC LTD,G96629103,980929400,3567016,,WTW
INGERSOLL RAND INC,45687V106,970340481,10219489,,IR
NETFLIX INC,64110L106,944834213,1555718,,NFLX
SCHWAB CHARLES CORP,808513105,939906241,12992898,,SCHW-PJ
MICROSOFT CORP,594918104,917753980,2181389,,MSFT
SUNCOR ENERGY INC NEW,867224107,899824394,24371219,,SU
ASCENDIS PHARMA A/S,04351P101,857426263,5671934,,ASND
WEST PHARMACEUTICAL SVSC INC,955306105,817749356,2066537,,
DEXCOM INC,252131107,800176805,5769119,,DXCM
INTUIT,461202103,781379300,1202122,,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,770112386,5660510,,
MARSH & MCLENNAN COS INC,571748102,710296077,3448374,,
CITIGROUP INC,172967424,708166706,11198082,,C-PR
LATTICE SEMICONDUCTOR CORP,518415104,668926424,8550766,,LSCC
QUANTA SVCS INC,74762E102,664366535,2557223,,
NU HLDGS LTD,G6683N103,637344729,53423699,,
ARISTA NETWORKS INC,040413106,619461946,2136223,,
COSTAR GROUP INC,22160N109,550911732,5703020,,
XYLEM INC,98419M100,535729913,4145233,,XYL
EXPEDIA GROUP INC,30212P303,535455326,3887153,,
ON SEMICONDUCTOR CORP,682189105,524426651,7130206,,ON
CANADIAN PACIFIC KANSAS CITY,13646K108,514379682,5831960,,
DANAHER CORPORATION,235851102,513953976,2058121,,
SHOPIFY INC,82509L107,503517890,6524788,,SHOP
SHOCKWAVE MED INC,82489T104,498166032,1529853,,
LAM RESEARCH CORP,512807108,486112419,500337,,LRCX
