name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
ALPHABET INC,02079K107,467243,2633988,,GOOGN
WESCO INTL INC,95082P105,408848,2207601,,
WILLIS TOWERS WATSON PLC LTD,G96629103,402797,1314184,,WTW
CRH PLC,G25508105,351171,3825395,,
FIDELITY NATL INFORMATION SV,31620M106,308520,3789711,,
DOLLAR GEN CORP NEW,256677105,305037,2666876,,
RESTAURANT BRANDS INTL INC,76131D103,268445,4049562,,
LIBERTY GLOBAL LTD,G61188127,254222,24657803,,LBTYK
FERGUSON ENTERPRISES INC,31488V107,246493,1132000,,
ELEVANCE HEALTH INC,036752103,239599,616000,,
FISERV INC,337738108,154307,895000,,FISV
EAGLE MATLS INC,26969P108,136678,676257,,
VIASAT INC,92552V100,134185,9190728,,VSAT
GDS HLDGS LTD,36165L108,99351,3249952,,
LIBERTY BROADBAND CORP,530307305,73353,745610,,LBRDP
HERBALIFE LTD,G4412G101,66890,7759844,,HLF
ICON PLC,G4705A100,58907,405000,,ICLR
LIBERTY GLOBAL LTD,G61188101,50818,5076762,,LBTYK
AMCOR PLC,G0250X107,50545,5500000,,AMCCF
PAGSEGURO DIGITAL LTD,G68707101,24100,2500000,,PAGS
HERBALIFE LTD,42703MAF0,15623,17129000,,HLF
TAMBORAN RES CORP,87507T101,12170,570833,,
LIBERTY BROADBAND CORP,530307107,740,7560,,LBRDP
