name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
OCCIDENTAL PETE CORP,674599105,13053055436,264178414,,
KRAFT HEINZ CO,500754106,10000245261,325634818,,KHC
CHUBB LIMITED,H1467J104,7469434519,27033784,,
DAVITA INC,23918K108,2629401260,17582088,,DVA
VISA INC,92826C839,2622329258,8297460,,V
CHEVRON CORP NEW,166764100,2543969905,17564001,,CVX
MASTERCARD INC,57636Q104,2099249237,3986648,,MA
AMAZON COM INC,023135106,1694568360,7724000,,AMZN
CONSTELLATION BRANDS INC,21036P108,1242975604,5624324,,
VERISIGN INC,92343E102,1091289111,5272947,,
CITIGROUP INC,172967424,1030474546,14639502,,C-PR
KROGER CO,501044101,1015523554,16607090,,KR
DOMINOS PIZZA INC,25754A201,999868320,2382000,,DPZ
T-MOBILE US INC,872590104,960175500,4350000,,
AON PLC,G0403H108,827504640,2304000,,AON
CHARTER COMMUNICATIONS INC N,16119P108,682715232,1991759,,
ALLY FINL INC,02005N100,458035497,12719675,,
NU HLDGS LTD,G6683N103,416266540,40180168,,
SIRIUS XM HOLDINGS INC,829933100,364455492,15984890,,SIRI
CAPITAL ONE FINL CORP,14040H105,345800462,1939213,,
AMERICAN EXPRESS CO,025816109,341291286,1149942,,AXP
LIBERTY MEDIA CORP DEL,531229854,260897110,2815639,,FWONB
LIBERTY MEDIA CORP DEL,531229722,247709951,3639582,,FWONB
POOL CORP,73278L105,204117028,598689,,POOL
HEICO CORP NEW,422806208,195325757,1049687,,HEI-A
APPLE INC,037833100,173290640,692000,,AAPL
BANK AMER CORP,060505104,172284000,3920000,,
LOUISIANA PAC CORP,546347105,136673988,1319884,,
NVR INC,62944T105,90883937,11112,,NVR
LIBERTY MEDIA CORP DEL,531229748,67338619,1011698,,FWONB
COCA COLA CO,191216100,49808000,800000,,KO
MOODYS CORP,615369105,34129977,72100,,
JEFFERIES FINL GROUP INC,47233W109,33990947,433558,,
DIAGEO P L C,25243Q205,28953858,227750,,
LENNAR CORP,526057302,20162390,152572,,
LIBERTY LATIN AMERICA LTD,G9001E128,8140687,1284020,,LILAP
LIBERTY LATIN AMERICA LTD,G9001E102,6395661,1005607,,LILAP
ATLANTA BRAVES HLDGS INC,047726302,4140382,108217,,
