name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
CBL & ASSOC PPTYS INC,124830878,276154,8396293,,
BERRY GLOBAL GROUP INC,08579W103,164629,2840398,,
SHAW COMMUNICATIONS INC,82028K200,155181,5000000,,
TENET HEALTHCARE CORP,88033G407,136158,1583969,,THC
NOBLE CORP NEW,G6610J209,124753,3559299,,
VALARIS LIMITED,G9460G101,116855,2248492,,
DELL TECHNOLOGIES INC,24703L202,104013,2072390,,DELL
BOYD GAMING CORP,103304101,91922,1397421,,BYD
ENCOMPASS HEALTH CORP,29261A100,82601,1161590,,EHC
ARDAGH METAL PACKAGING S A,L02235106,82558,10154743,,
LIBERTY MEDIA CORP DEL,531229AB8,80703,57000000,,FWONB
MIDDLEBY CORP,596278AB7,79907,58000000,,MIDD
OMNICELL COM,68213NAD1,78233,55500000,,
CHANGE HEALTHCARE INC,15912K100,68248,3130621,,
VMWARE INC,928563402,65060,571355,,
INTEGRA LIFESCIENCES HLDGS C,457985AM1,63515,60500000,,
BAUSCH HEALTH COS INC,071734107,59418,2600353,,
INSIGHT ENTERPRISES INC,45765UAB9,57118,35500000,,NSIT
THE ODP CORP,88337F105,54955,1199100,,
HEXCEL CORP NEW,428291108,53660,902300,,
ACTIVISION BLIZZARD INC,00507V109,50069,625000,,
T-MOBILE US INC,872590104,48503,377897,,
LIBERTY LATIN AMERICA LTD,G9001E128,45874,4783551,,LILAP
SPLUNK INC,848637AD6,44027,36750000,,
GUIDEWIRE SOFTWARE INC,40171VAA8,43162,41250000,,
AGNC INVT CORP,00123Q104,40952,3126134,,
LIGAND PHARMACEUTICALS INC,53220KAF5,38988,40000000,,LGNZZ
RUSH STREET INTERACTIVE INC,782011100,36494,5019707,,
AVAYA HLDGS CORP,05351XAB7,34617,35500000,,
SUNRUN INC,86771W105,32338,1064800,,RUN
NUVASIVE INC,670704AJ4,30260,31454000,,
JAZZ INVESTMENTS I LTD,472145AD3,29125,28500000,,
ALTICE USA INC,02156K103,27924,2237514,,
STRIDE INC,86333MAA6,25916,26100000,,
MAGNITE INC,55955DAB6,24418,30900000,,
BENEFITFOCUS INC,08180DAB2,22974,23850000,,
ACORDA THERAPEUTICS INC,00484MAC0,19875,25875000,,
Q2 HLDGS INC,74736LAF6,16449,19150000,,
EG ACQUISITION CORP,26846A100,12662,1300000,,
RINGCENTRAL INC,76680RAF4,9260,10650000,,
AMERICAN EAGLE OUTFITTERS IN,02553E106,7489,445748,,
SELECT SECTOR SPDR TR,81369Y506,6951,5745000,PUT,
ACCELERATE ACQUISITION CORP,00439D102,6832,700000,,
ATLAS CREST INVESTMENT CORP,049287105,6383,650000,,
LEVERE HOLDINGS CORP,G5462L106,4905,500000,,
GOLDEN ARROW MERGER CORP,380799106,4880,500000,,
ROCKET INTERNET GRWT OPRT CO,G7613T103,4400,449889,,
MSD ACQUISITION CORP,G5709C109,3920,400000,,
JACK CREEK INVESTMENT CORP,G4989X115,3434,350000,,
LAZARD GROWTH ACQUISITION CO,G54035103,3430,350000,,
KERNEL GROUP HOLDINGS INC,G5259L103,2943,300000,,
ADVANCED MERGER PARTNERS INC,00777J109,2931,300000,,
G SQUARED ASCEND I INC,G4204R109,2191,222479,,
LIBERTY LATIN AMERICA LTD,G9001E102,2100,216449,,LILAP
KKR ACQUISITION HOLDING I CO,48253T109,1966,200000,,
ACORDA THERAPEUTICS INC,00484M601,1045,649031,,
FIRST RESERVE SUSTAINABLE GW,336169107,975,100000,,
TRITIUM DCFC LIMITED,Q9225T116,645,201615,,
NEW RESIDENTIAL INVT CORP,64828T201,601,54700,,
MAGNUM OPUS ACQUISITION LTD,G5S70A112,479,500000,,
GORES TECHNOLOGY PARTNERS II,38287L115,445,596528,,
GORES HOLDINGS VII INC,38286T119,348,427242,,
GORES HLDGS VIII INC,382863116,304,237497,,
JAWS MUSTANG ACQUISITION COR,G50737124,245,500000,,
GORES TECHNOLOGY PARTNERS IN,382870111,228,291933,,
ALLEGO N V,N0796A118,158,150000,,
GOLDEN FALCON ACQUISITION CO,38102H117,135,500000,,
ARES ACQUISITION CORPORATION,G33032122,124,300000,,
L CATTERTON ASIA ACQUISITION,G5346G117,123,299849,,
APOLLO STRATEGIC GRWT CPTL I,G0412A128,116,200000,,
AUSTERLITZ ACQUISITION CORP,G0633U127,116,207575,,
EG ACQUISITION CORP,26846A118,100,433332,,
CC NEUBERGER PRINCIPAL HOLDN,G1992N126,99,159998,,
ACCELERATE ACQUISITION CORP,00439D110,90,233332,,
WARBURG PINCUS CAPTAL CORP I,G9460M124,90,199998,,
ARCLIGHT CLEAN TRANSITION II,G0R21B112,80,60000,,
CHURCHILL CAPITAL CORP VII,17144M110,78,129998,,
MASON INDUSTRIAL TECHNOLGY I,57520Y114,77,233333,,
SCION TECH GROWTH II,G31070116,70,233332,,
FORTRESS VALUE ACQUISI CORP,34964K116,66,124998,,
LIBERTY MEDIA ACQUISITION CO,53073L112,63,93883,,
MSD ACQUISITION CORP,G5709C125,62,80000,,
SONDER HOLDINGS INC,83542D110,58,80000,,
ATLAS CREST INVESTMENT CORP,049287113,54,162499,,
LEVERE HOLDINGS CORP,G5462L122,50,166665,,
WARBURG PINCUS CAPTAL CORP I,G9461D115,47,100000,,
ROCKET INTERNET GRWT OPRT CO,G7613T129,43,112500,,
GOLDEN ARROW MERGER CORP,380799114,41,166666,,
JACK CREEK INVESTMENT CORP,G4989X123,38,175000,,
KERNEL GROUP HOLDINGS INC,G5259L129,38,149999,,
LAZARD GROWTH ACQUISITION CO,G54035111,37,70000,,
KKR ACQUISITION HOLDING I CO,48253T117,33,50000,,
FINTECH EVOLUTION ACQUIS GRO,G3R19A120,32,150000,,
FIRST RESERVE SUSTAINABLE GW,336169115,31,100000,,
ADVANCED MERGER PARTNERS INC,00777J117,30,50000,,
G SQUARED ASCEND I INC,G4204R117,18,44494,,
