name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
MICROSOFT CORP,594918104,1536305686,4511381,,MSFT
META PLATFORMS INC,30303M102,1332740573,4644019,,
MODERNA INC,60770K107,773299265,6364603,,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,403869528,4001878,,
FIRST CTZNS BANCSHARES INC N,31946M103,347849603,271027,,
NVIDIA CORPORATION,67066G104,331461551,783560,,NVDA
UBER TECHNOLOGIES INC,90353T100,298279618,6909419,,
DISNEY WALT CO,254687106,263376000,2950000,,
AMAZON COM INC,023135106,252733234,1938733,,AMZN
UNITEDHEALTH GROUP INC,91324P102,248662949,517358,,UNH
EATON CORP PLC,G29183103,210863606,1048551,,ETN
TESLA INC,88160R101,187907406,717834,,
NETFLIX INC,64110L106,171153270,388552,,NFLX
ADOBE SYSTEMS INCORPORATED,00724F101,159078227,325320,,
ALBEMARLE CORP,012653101,153837956,689578,,ALB-PA
CROWDSTRIKE HLDGS INC,22788C105,141410108,962825,,
LAM RESEARCH CORP,512807108,118324169,184059,,LRCX
ENDEAVOR GROUP HLDGS INC,29260Y109,114436031,4784115,,
ORACLE CORP,68389X105,102678564,862193,,ORCL-PD
VERTIV HOLDINGS CO,92537N108,93493548,3774467,,VRT
GENERAC HLDGS INC,368736104,83635385,560822,,
DOORDASH INC,25809K105,71334708,933456,,
PINTEREST INC,72352L106,69207164,2531352,,
LILLY ELI & CO,532457108,67897048,144776,,
EQUINIX INC,29444U700,64733846,82575,,EQIX
ADVANCED MICRO DEVICES INC,007903107,64668073,567712,,AMD
UPSTART HLDGS INC,91680M107,59618028,1664843,,
ZILLOW GROUP INC,98954M200,59276644,1179400,,
UIPATH INC,90364P105,57496956,3469943,,
C3 AI INC,12468P104,53713485,1474430,,
INTUIT,461202103,51173867,111687,,
PLUG POWER INC,72919P202,51063182,4914647,,PLUG
CHARTER COMMUNICATIONS INC N,16119P108,48627297,132366,,
DOCUSIGN INC,256163106,45818278,896815,,
CHARGEPOINT HOLDINGS INC,15961R105,41747437,4749424,,
RIVIAN AUTOMOTIVE INC,76954A103,40886172,2454152,,
SEA LTD,81141R100,39368996,678308,,SE
NOVOCURE LTD,G6674U108,36755513,885675,,NVCR
PDD HOLDINGS INC,722304102,35798134,517763,,PDD
SOLAREDGE TECHNOLOGIES INC,83417M104,33968370,126253,,
APPLOVIN CORP,03831W108,29677497,1153420,,APP
ROKU INC,77543R102,27426432,428806,,
HASHICORP INC,418100103,26451748,1010380,,
QUANTUMSCAPE CORP,74767V109,24434690,3058159,,QS
ZILLOW GROUP INC,98954M101,23727733,482271,,
ON SEMICONDUCTOR CORP,682189105,19330733,204385,,ON
PELOTON INTERACTIVE INC,70614W100,19225000,2500000,,
AMC ENTMT HLDGS INC,00165C104,14510126,3297756,,
RINGCENTRAL INC,76680R206,13463518,411351,,
FISKER INC,33813J106,13349096,2366861,,
CARVANA CO,146869102,12960000,500000,,CVNA
ALIBABA GROUP HLDG LTD,01609W102,11085800,133003,,
JD.COM INC,47215P106,9852068,288663,,
KE HLDGS INC,482497104,9516326,640830,,
SUNRUN INC,86771W105,7992779,447524,,RUN
H WORLD GROUP LTD,44332N106,7909608,203961,,HWLDF
OLAPLEX HLDGS INC,679369108,7829145,2104609,,
VICTORIAS SECRET AND CO,926400102,7782373,446493,,
NOVAVAX INC,670002401,7720684,1039123,,NVAX
HERTZ GLOBAL HLDGS INC,42806J148,7689539,762095,,
NIKOLA CORP,654110105,7200269,5217586,,
NU HLDGS LTD,G6683N103,6767987,857793,,
KANZHUN LIMITED,48553T106,6747156,448316,,
ZTO EXPRESS CAYMAN INC,98980A105,6575575,262184,,
BLOOM ENERGY CORP,093712107,6472376,395864,,BE
CROCS INC,227046109,6469123,57534,,
BEYOND MEAT INC,08862E109,6368507,490640,,
BAIDU INC,056752108,5490776,40105,,
ENPHASE ENERGY INC,29355A107,5474251,32686,,
STITCH FIX INC,860897107,5169819,1342810,,
BITDEER TECHNOLOGIES GROUP,G11448100,5001685,446579,,BTDR
NXP SEMICONDUCTORS N V,N6596X109,4761471,23263,,
NOVO-NORDISK A S,670100205,3506209,21666,,
TRIP COM GROUP LTD,89677Q107,3469970,99142,,
AGORA INC,00851L103,2807472,896956,,
BLOCK INC,852234103,2227499,33461,,
ALPHABET INC,02079K305,2183328,18240,,GOOGN
HERTZ GLOBAL HLDGS INC,42806J700,1964475,106823,,
PAYPAL HLDGS INC,70450Y103,1812921,27168,,
GDS HLDGS LTD,36165L108,1539084,140044,,
SINGULAR GENOMICS SYSTEMS IN,82933R100,1393879,1679372,,
LI AUTO INC,50202M102,1218707,34721,,LAAOF
DANAHER CORPORATION,235851102,1168320,4868,,
LINDE PLC,G54950103,1127616,2959,,LIN
APPLIED MATLS INC,038222105,1117150,7729,,
ULTA BEAUTY INC,90384S303,916248,1947,,
LUCID GROUP INC,549498103,370586,53786,,
CONSTELLATION ENERGY CORP,21037T109,176417,1927,,CEG
ROGERS COMMUNICATIONS INC,775109200,162707,3565,,RCIAF
GAP INC,364760108,103240,11561,,GAP
PARAMOUNT GLOBAL,92556H206,14717,925,,
