name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
MICROSOFT CORP,594918104,715577,3035063,,MSFT
AMAZON COM INC,023135106,532971,172255,,AMZN
TESLA INC,88160R101,480055,718720,,
SEA LTD,81141RAD2,475329,106874000,,SE
DISNEY WALT CO,254687106,468772,2540494,,
MICRON TECHNOLOGY INC,595112103,461583,5232776,,MU
NIO INC,62914V106,443912,11388201,,NIOIF
FACEBOOK INC,30303M102,412589,1400838,,
SNAP INC,83304A106,406161,7767464,,SNAP
BAIDU INC,056752108,390767,1796219,,
TWILIO INC,90138FAB8,386593,80458000,,TWLO
COSTCO WHSL CORP NEW,22160K105,377222,1070193,,
ROKU INC,77543R102,370607,1137634,,
SHOPIFY INC,82509L107,369361,333810,,SHOP
MCDONALDS CORP,580135101,356901,1592314,,MCD
PLUG POWER INC,72919P202,356809,9955622,,PLUG
MERCK & CO. INC,58933Y105,355169,4607194,,
IHS MARKIT LTD,G47567105,332542,3436059,,
NVIDIA CORPORATION,67066G104,332044,621887,,NVDA
COCA COLA CO,191216100,314483,5966281,,KO
ADOBE SYSTEMS INCORPORATED,00724F101,302682,636729,,
TWILIO INC,90138F102,299626,879288,,TWLO
VISA INC,92826C839,296325,1399543,,V
UNITED STATES STL CORP NEW,912909108,284930,10887644,,
APPLE INC,037833100,282052,2309059,,AAPL
AT&T INC,00206R102,279863,9245549,,T-PC
ALIBABA GROUP HLDG LTD,01609W102,276079,1217656,,
ZOETIS INC,98978V103,273887,1739189,,ZTS
EXPEDIA GROUP INC,30212P303,269182,1563921,,
UBER TECHNOLOGIES INC,90353T100,268306,4922136,,
COLGATE PALMOLIVE CO,194162103,258935,3284724,,CL
SNAP INC,83304AAB2,241448,102379000,,SNAP
PAYPAL HLDGS INC,70450Y103,240894,991986,,
CHEVRON CORP NEW,166764100,236556,2257431,,CVX
TERADYNE INC,880770AG7,233838,60849000,,
SQUARE INC,852234103,232127,1022359,,
CROWDSTRIKE HLDGS INC,22788C105,231514,1268502,,
DEXCOM INC,252131AH0,230323,104223000,,DXCM
LIBERTY MEDIA CORP DEL,531229607,229166,5195325,,FWONB
MEDTRONIC PLC,G5960L103,228348,1933019,,MDT
ALPHABET INC,02079K305,224035,108622,,GOOGN
MAXIM INTEGRATED PRODS INC,57772K101,223819,2449586,,
NUANCE COMMUNICATIONS INC,67020YAK6,216582,117029000,,
TENCENT MUSIC ENTMT GROUP,88034P109,212219,10357206,,
VERISIGN INC,92343E102,207637,1044660,,
AMGEN INC,031162100,207169,832638,,AMGN
SYNAPTICS INC,87157DAD1,203473,110365000,,SYNA
TARGET CORP,87612E106,202873,1024248,,TGT
WORKDAY INC,98138HAF8,201600,116984000,,
ABBOTT LABS,002824100,198561,1656888,,
TWITTER INC,90184L102,195796,3077096,,
INTEL CORP,458140100,194841,3044394,,INTC
SLACK TECHNOLOGIES INC,83088V102,192340,4733945,,
SBA COMMUNICATIONS CORP NEW,78410G104,188427,678895,,SBAC
ROPER TECHNOLOGIES INC,776696106,184204,456697,,ROP
PALO ALTO NETWORKS INC,697435AD7,177824,134675000,,PANW
RH,74967XAA1,177612,57579000,,RH
ROYAL CARIBBEAN GROUP,V7780T103,173437,2025894,,
ZILLOW GROUP INC,98954M200,172407,1329891,,
AMERICAN TOWER CORP NEW,03027X100,170109,711575,,
BILIBILI INC,090040AB2,165857,38277000,,BLBLF
RAYTHEON TECHNOLOGIES CORP,75513E101,165046,2135969,,
ALEXION PHARMACEUTICALS INC,015351109,165003,1079085,,
TJX COS INC NEW,872540109,163891,2477573,,
PINDUODUO INC,722304102,163828,1223694,,
FIDELITY NATL INFORMATION SV,31620M106,163699,1164207,,
PINTEREST INC,72352L106,163277,2205554,,
WAYFAIR INC,94419LAD3,160338,58500000,,W
SQUARE INC,852234AD5,160132,54774000,,
BIOGEN INC,09062X103,159635,570635,,BIIB
CARVANA CO,146869102,156872,597836,,CVNA
OREILLY AUTOMOTIVE INC,67103H107,153304,302225,,
WELLS FARGO CO NEW,949746101,153287,3923403,,
OKTA INC,679295AD7,152604,112935000,,
ACCENTURE PLC IRELAND,G1151C101,151360,547911,,
DOMINION ENERGY INC,25746U109,151106,1989280,,
BAXTER INTL INC,071813109,150786,1787833,,
FARFETCH LTD,30744W107,150393,2836531,,
LIBERTY MEDIA CORP DEL,531229409,150222,3407939,,FWONB
HORIZON THERAPEUTICS PUB L,G46188101,148417,1612530,,
BHP GROUP PLC,05545E209,146432,2530800,,
CAPITAL ONE FINL CORP,14040H105,146150,1148705,,
DIGITAL TURBINE INC,25400W102,145766,1813911,,
SPLUNK INC,848637AC8,145758,127602000,,
ALLY FINL INC,02005N100,145354,3215083,,
WAYFAIR INC,94419LAF8,144989,65432000,,W
VIPSHOP HOLDINGS LIMITED,92763W103,140062,4690621,,
ZSCALER INC,98980G102,139167,810665,,
VIACOMCBS INC,92556H206,138317,3066892,,
FIRSTENERGY CORP,337932107,137955,3976793,,FE
ACTIVISION BLIZZARD INC,00507V109,137746,1481143,,
CHESAPEAKE ENERGY CORP,165167735,135229,3116599,,
GRUBHUB INC,400110102,134702,2245029,,
MASTERCARD INCORPORATED,57636Q104,133532,375037,,
APA CORPORATION,03743Q108,132070,7378191,,APA
INSULET CORP,45784PAH4,131516,47000000,,PODD
VARIAN MED SYS INC,92220P105,130967,741894,,
LIBERTY BROADBAND CORP,530307305,130724,870621,,LBRDP
STITCH FIX INC,860897107,130550,2635235,,
COMCAST CORP NEW,20030N101,130295,2407966,,CCZ
QUALCOMM INC,747525103,129419,976083,,
NETFLIX INC,64110L106,129088,247457,,NFLX
ASML HOLDING N V,N07059210,126678,205193,,
ISHARES TR,464288588,122970,1134200,,
SPLUNK INC,848637AD6,122937,103900000,,
LOCKHEED MARTIN CORP,539830109,121071,327661,,LMT
RH,74967X103,119917,201000,,RH
TRANSUNION,89400J107,118994,1322157,,TRU
MACYS INC,55616P104,117519,7258761,,
AUTODESK INC,052769106,117401,423601,,
DUKE ENERGY CORP NEW,26441C204,117297,1215138,,DUK-PA
THE TRADE DESK INC,88339J105,116982,179514,,
ZILLOW GROUP INC,98954M101,116925,889975,,
BLACK KNIGHT INC,09215C105,116327,1572197,,
TWITTER INC,90184LAF9,115320,86392000,,
IQVIA HLDGS INC,46266C105,114691,593824,,
TRIP COM GROUP LTD,89677Q107,114612,2892040,,
MERCADOLIBRE INC,58733RAD4,114164,34100000,,MELI
PRICELINE GRP INC,741503AX4,113007,95729000,,
PROCTER AND GAMBLE CO,742718109,112477,830517,,
INTUIT,461202103,112216,292945,,
BILIBILI INC,090040106,110626,1033309,,BLBLF
WATERS CORP,941848103,110187,387750,,
THERMO FISHER SCIENTIFIC INC,883556102,109025,238890,,TMO
COUPA SOFTWARE INC,22266LAC0,106401,62515000,,
MONDELEZ INTL INC,609207105,104842,1791249,,
PROOFPOINT INC,743424AF0,104506,97950000,,
DELTA AIR LINES INC DEL,247361702,104137,2156947,,
MONGODB INC,60937P106,103466,386890,,
LIVE NATION ENTERTAINMENT IN,538034AQ2,103251,73885000,,
SUNCOR ENERGY INC NEW,867224107,102963,4924540,,SU
CROWN CASTLE INTL CORP NEW,22822V101,102260,594088,,
NEVRO CORP,64157F103,102213,732710,,
SYNCHRONY FINANCIAL,87165B103,101477,2495753,,SYF-PB
UNDER ARMOUR INC,904311107,101474,4579141,,
CHIPOTLE MEXICAN GRILL INC,169656105,101195,71223,,CMG
LUMENTUM HLDGS INC,55024UAB5,100465,62500000,,
SCHLUMBERGER LTD,806857108,99588,3662655,,
NORTHROP GRUMMAN CORP,666807102,97842,302316,,
REALPAGE INC,75606N109,96280,1104123,,
FIREEYE INC,31816QAF8,96106,85135000,,
CARNIVAL CORP,143658300,93960,3540316,,CCL
CHEGG INC,163092AD1,93447,53641000,,
PHILLIPS 66,718546104,93427,1145785,,PSX
PG&E CORP,69331C140,92794,810085,,PCG-PX
APPIAN CORP,03782L101,89844,675775,,APPN
SAILPOINT TECHNOLOGIES HLDGS,78781PAB1,88754,47660000,,
CROWN HLDGS INC,228368106,88638,913420,,
SERVICENOW INC,81762P102,88308,176578,,
OMNICOM GROUP INC,681919106,88026,1187140,,OMC
VULCAN MATLS CO,929160109,87106,516185,,
STARBUCKS CORP,855244109,87074,796871,,SBUX
TAIWAN SEMICONDUCTOR MFG LTD,874039100,86436,730778,,
ELECTRONIC ARTS INC,285512109,85985,635188,,EA
ALLIANCE DATA SYSTEMS CORP,018581108,85656,764175,,
DUPONT DE NEMOURS INC,26614N102,84982,1099665,,
TELADOC HEALTH INC,87918AAC9,83894,24715000,,
NATERA INC,632307104,82869,816122,,
HUAZHU GROUP LTD,16949NAC3,82066,62645000,,
INSPIRE MED SYS INC,457730109,81786,395119,,
SUNPOWER CORP,867652406,81671,2441574,,
NUANCE COMMUNICATIONS INC,67020YAG5,81267,38316000,,
SPIRIT AIRLS INC,848577AA0,81122,26433000,,
CONSTELLATION BRANDS INC,21036P108,80777,354287,,
EDWARDS LIFESCIENCES CORP,28176E108,80631,964026,,EW
CHEWY INC,16679L109,78677,928784,,
VAIL RESORTS INC,91879Q109,78178,268046,,MTN
PEPSICO INC,713448108,77388,547102,,PEP
TWITTER INC,90184LAD4,75825,73000000,,
XPO LOGISTICS INC,983793100,75794,614713,,
DISCOVERY INC,25470F302,75470,2045810,,
FMC CORP,302491303,75307,680837,,FMC
SIGNET JEWELERS LIMITED,G81276100,74383,1282911,,
RH,74967XAD5,73518,25963000,,RH
ADVANCED MICRO DEVICES INC,007903107,73481,936063,,AMD
WIX COM LTD,92940WAB5,73061,36300000,,
ZENDESK INC,98936JAB7,73023,34304000,,
DARDEN RESTAURANTS INC,237194105,73002,514098,,DRI
LULULEMON ATHLETICA INC,550021109,72507,236401,,LULU
SEAGEN INC,81181C104,72151,519592,,
PRA HEALTH SCIENCES INC,69354M108,71844,468559,,
SCHWAB CHARLES CORP,808513105,71484,1096719,,SCHW-PJ
MGM RESORTS INTERNATIONAL,552953101,71234,1875068,,MGM
ALPHABET INC,02079K107,70971,34308,,GOOGN
STANLEY BLACK & DECKER INC,854502101,70945,355310,,
CINTAS CORP,172908105,70537,206665,,CTAS
V F CORP,918204108,70271,879263,,VFC
PELOTON INTERACTIVE INC,70614W100,69594,618947,,
PENN NATL GAMING INC,707569AU3,69535,15394000,,
DOCUSIGN INC,256163106,69324,342423,,
UNITED STATES STL CORP NEW,912909AT5,69303,31925000,,
CORELOGIC INC,21871D103,69272,874100,,
ALIGN TECHNOLOGY INC,016255101,69235,127850,,ALGN
JETBLUE AWYS CORP,477143101,69103,3397398,,
MACOM TECH SOLUTIONS HLDGS I,55405Y100,68615,1182603,,
L BRANDS INC,501797104,68500,1107335,,
HUBSPOT INC,443573AB6,68461,14328000,,HUBS
HP INC,40434L105,68218,2148583,,HPQ
ZOOM VIDEO COMMUNICATIONS IN,98980L101,68080,211897,,
GOLDMAN SACHS GROUP INC,38141G104,67544,206557,,GS-PD
PNM RES INC,69349H107,67044,1366859,,
MONSTER BEVERAGE CORP NEW,61174X109,66110,725770,,MNST
FORD MTR CO DEL,345370860,65968,5385151,,
BED BATH & BEYOND INC,075896100,65504,2247140,,
IQIYI INC,46267X108,65186,3922167,,
TILRAY INC,88688T100,65115,2864727,,
GOODYEAR TIRE & RUBR CO,382550101,65033,3701347,,
II-VI INC,902104AB4,64953,42539000,,
PINDUODUO INC,722304AC6,64033,60500000,,
SALESFORCE COM INC,79466L302,63690,300609,,
GDS HLDGS LTD,36165L108,63568,783924,,
MARATHON OIL CORP,565849106,63103,5908556,,
INTERNATIONAL FLAVORS&FRAGRA,459506309,62679,1274700,,
SEMPRA ENERGY,816851109,62641,472476,,
GARTNER INC,366651107,62555,342675,,IT
ZIMMER BIOMET HOLDINGS INC,98956P102,62188,388483,,
IQIYI INC,46267XAD0,62084,66600000,,
ICON PLC,G4705A100,61991,315684,,ICLR
SPDR S&P 500 ETF TR,78462F103,61906,156199,,
WESTERN DIGITAL CORP.,958102AP0,61844,60226000,,WDC
ALLEGION PLC,G0176J109,61515,489689,,ALLE
NRG ENERGY INC,629377508,61362,1626342,,
XILINX INC,983919101,61338,495061,,
ISIS PHARMACEUTICALS INC DEL,464337AJ3,60845,59728000,,
MICROCHIP TECHNOLOGY INC.,595017104,60362,388878,,MCHPP
FORTIVE CORP,34959JAK4,59986,59020000,,FTV
PAGSEGURO DIGITAL LTD,G68707101,59897,1293661,,PAGS
SAREPTA THERAPEUTICS INC,803607AB6,59629,45717000,,
EVERSOURCE ENERGY,30040W108,59285,684660,,ES
HELIX ENERGY SOLUTIONS GRP I,42330PAK3,59262,51005000,,
CHAMPIONX CORPORATION,15872M104,59199,2724298,,
CATALENT INC,148806102,59193,562087,,
KIRBY CORP,497266106,59118,980723,,KEX
NETAPP INC,64110D104,58738,808282,,
EXACT SCIENCES CORP,30063P105,58692,445381,,
ILLUMINA INC,452327109,58659,152735,,
YY INC,98426TAD8,58571,49100000,,
YELP INC,985817105,58355,1496290,,YELP
CAREDX INC,14167L103,57446,843676,,
FLEX LTD,Y2573F102,57383,3133978,,FLEX
CREE INC,225447101,57160,528619,,
ARCH CAP GROUP LTD,G0450A105,57150,1489451,,
LAUDER ESTEE COS INC,518439104,56675,194860,,
AMEDISYS INC,023436108,56482,213308,,
GAP INC,364760108,56460,1895901,,GAP
GW PHARMACEUTICALS PLC,36197T103,56350,259796,,
ULTRAGENYX PHARMACEUTICAL IN,90400D108,56336,494780,,
AMEREN CORP,023608102,56305,692052,,AEE
WENDYS CO,95058W100,56222,2775011,,
ALLSCRIPTS HEALTHCARE SOLUTN,01988P108,55996,3729334,,
AFLAC INC,001055102,55658,1087500,,AFL
