name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
HOWMET AEROSPACE INC,443201108,1291494,41065000,,HWM
MARATHON PETE CORP,56585A102,909654,11065000,,
ISHARES TR,464288513,736100,10000000,PUT,
SELECT SECTOR SPDR TR,81369Y506,734408,10270000,PUT,
PEABODY ENGR CORP,704551100,551593,25859970,,
INVESCO QQQ TR,46090E103,493994,1762500,PUT,
NIELSEN HLDGS PLC,G6518L108,385452,16600000,,
SUNCOR ENERGY INC NEW,867224107,350744,10000000,,SU
VANECK ETF TRUST,92189H607,222133,955000,PUT,
SELECT SECTOR SPDR TR,81369Y209,210288,1639800,PUT,
SWITCH INC,87105L104,193798,5785000,,
ISHARES TR,464287242,193103,1755000,PUT,
UNITI GROUP INC,91325V108,192881,20475739,,UNIT
EQUINIX INC,29444U700,192047,292300,PUT,EQIX
DIGITAL RLTY TR INC,253868103,165897,1277800,PUT,
VANGUARD INDEX FDS,922908553,136665,1500000,PUT,
E2OPEN PARENT HOLDINGS INC,29788T103,125766,16165321,,
AEROJET ROCKETDYNE HLDGS INC,007800105,121800,3000000,,
CITRIX SYS INC,177376100,116604,1200000,,
PINTEREST INC,72352L106,90800,5000000,,
VALARIS LIMITED,G9460G101,84029,1989332,,
ISHARES TR,464287556,78812,670000,PUT,
NOBLE CORP NEW,G6610J209,72248,2850000,,
PAYPAL HLDGS INC,70450Y103,69840,1000000,,
ENDEAVOR GROUP HLDGS INC,29260Y109,61680,3000000,,
ELECTRONIC ARTS INC,285512109,60825,500000,CALL,EA
WESTERN DIGITAL CORP.,958102105,53124,1185000,,WDC
SPDR SER TR,78464A870,35991,484600,CALL,
TWITTER INC,90184LAN2,35737,40000000,,
TAKE-TWO INTERACTIVE SOFTWAR,874054109,33083,270000,CALL,
TESLA INC,88160RAG6,27103,2500000,,
HILTON WORLDWIDE HLDGS INC,43300A203,22288,200000,PUT,
MARRIOTT INTL INC NEW,571903202,19721,145000,PUT,
POLESTAR AUTOMOTIVE HLDG UK,731105201,13805,1566948,,
MICROSTRATEGY INC,594972AC5,7647,12000000,,
MERCADOLIBRE INC,58733RAD4,6505,4000000,,MELI
CORMEDIX INC,21900C308,6233,1550523,,CRMD
WAYFAIR INC,94419LAD3,4048,5000000,,W
MICROSTRATEGY INC,594972AE1,2216,5000000,,
DIAMOND OFFSHORE DRILLING IN,25271C201,1944,330000,,
PRINCIPAL FINANCIAL GROUP IN,74251V102,334,5000,,
