name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
SPDR S&P 500 ETF TR,78462F103,6036227800,11540000,PUT,
PIONEER NAT RES CO,723787107,924000000,3520000,,
UNITEDHEALTH GROUP INC,91324P102,841687527,1701410,,UNH
IQVIA HLDGS INC,46266C105,717237008,2836162,,
EXELIXIS INC,30161Q104,633080805,26678500,,
SALESFORCE INC,79466L302,587953958,1952168,,
ARAMARK,03852U106,579601911,17822937,,ARMK
NASDAQ INC,631103108,532356969,8436719,,
MICROSOFT CORP,594918104,509684610,1211458,,MSFT
ALPHABET INC,02079K107,508236267,3337950,,GOOGN
TRANSUNION,89400J107,506830229,6351256,,TRU
NEW YORK TIMES CO,650111107,483547910,11188059,,NYT
ISHARES TR,464287556,480270000,3500000,PUT,
THERMO FISHER SCIENTIFIC INC,883556102,463466153,797416,,TMO
WABTEC,929740108,430688061,2956398,,
CBRE GROUP INC,12504L109,406855077,4184030,,
NATERA INC,632307104,359225887,3927683,,
INTUIT,461202103,349100700,537078,,
S&P GLOBAL INC,78409V104,337740930,793844,,SPGI
SAREPTA THERAPEUTICS INC,803607100,317630110,2453500,,
BOSTON SCIENTIFIC CORP,101137107,314825038,4596657,,BSX
ANALOG DEVICES INC,032654105,304199042,1537990,,ADI
SERVICENOW INC,81762P102,301215091,395088,,
AIRBNB INC,009066101,265291971,1608220,,
SHERWIN WILLIAMS CO,824348106,261827774,753830,,SHW
COSTAR GROUP INC,22160N109,250614790,2594356,,
MASTERCARD INCORPORATED,57636Q104,247122943,513161,,
REVOLUTION MEDICINES INC,76155X100,241978715,7507872,,
HOWMET AEROSPACE INC,443201108,233398238,3410759,,HWM
MASIMO CORP,574795100,218742327,1489563,,
AON PLC,G0403H108,210911040,632000,,AON
CENTENE CORP DEL,15135B101,204666030,2607875,,CNC
FULL TRUCK ALLIANCE CO LTD,35969L108,191092379,26285059,,
VISA INC,92826C839,190011618,680850,,V
PROTAGONIST THERAPEUTICS INC,74366E102,166028489,5738973,,
AGIOS PHARMACEUTICALS INC,00847X104,163469202,5590602,,
IQIYI INC,46267XAE8,161375788,163100000,,
BEAM THERAPEUTICS INC,07373V105,149068319,4511753,,BEAM
INSPIRE MED SYS INC,457730109,134641971,626854,,
LONGBOARD PHARMACEUTICALS IN,54300N103,125074800,5790500,,
SUNRUN INC,86771WAB1,113345348,130846000,,RUN
ASTRAZENECA PLC,046353108,98895895,1459718,,AZN
VESTIS CORPORATION,29430C102,94707290,4914753,,VSTS
LANTHEUS HLDGS INC,516544103,92316048,1483227,,
GRAYSCALE BITCOIN TR BTC,389637109,85221194,1349077,,
CENCORA INC,03073E105,81158660,334000,,
ZTO EXPRESS CAYMAN INC,98980AAB1,73286918,75000000,,
TENET HEALTHCARE CORP,88033G407,67001529,637442,,THC
SILICON MOTION TECHNOLOGY CO,82706C108,65818246,855449,,
KE HLDGS INC,482497104,65091637,4740833,,
ICON PLC,G4705A100,60370215,179700,,ICLR
NEW ORIENTAL ED & TECHNOLOGY,647581206,53394300,615000,,
SPDR SER TR,78464A870,47445000,500000,PUT,
BIOHAVEN LTD,G1110E107,43697310,799000,,BHVN
ENANTA PHARMACEUTICALS INC,29251M106,36578700,2095000,,ENTA
EVOLENT HEALTH INC,30050B101,34014083,1037331,,
IONIS PHARMACEUTICALS INC,462222100,31818900,734000,,IONS
LIQUIDIA CORPORATION,53635D202,30311250,2055000,,LQDA
HIMS & HERS HEALTH INC,433000106,25927720,1676000,,
VAXCYTE INC,92243G108,25780194,377400,,
UNITED THERAPEUTICS CORP DEL,91307C102,25269200,110000,,UTHR
GERON CORP,374163103,24733500,7495000,,GERN
ALIBABA GROUP HLDG LTD,01609W102,23806440,329000,,
PROGYNY INC,74340E103,22607690,592600,,
VOYAGER THERAPEUTICS INC,92915B106,21338520,2292000,,
PG&E CORP,69331C108,21312720,1271642,,PCG-PX
APOGEE THERAPEUTICS INC,03770N101,20267250,305000,,
ELEVATION ONCOLOGY INC,28623U101,19938581,3886663,,
HUMANA INC,444859102,17925424,51700,,HUM
SPYRE THERAPEUTICS INC,00773J202,17675380,466000,,
ARCUTIS BIOTHERAPEUTICS INC,03969K108,17639800,1780000,,
VENTYX BIOSCIENCES INC,92332V107,17435000,3170000,,
ZYMEWORKS INC,98985Y108,16842520,1601000,,ZYME
ASCENDIS PHARMA A/S,04351P101,16477530,109000,,ASND
INTRA-CELLULAR THERAPIES INC,46116X101,15985200,231000,,
TAL EDUCATION GROUP,874080104,15492750,1365000,,TAL
AVIDITY BIOSCIENCES INC,05370A108,15466677,606061,,
IMMUNOME INC,45257U108,14659920,594000,,IMNM
METAGENOMI INC,59102M104,14170771,1343201,,
PACIFIC BIOSCIENCES CALIF IN,69404D108,14146695,3772452,,
SAVARA INC,805111101,11923609,2394299,,SVRA
QUANTERIX CORP,74766Q101,11096760,471000,,QTRX
SCREAMING EAGLE ACQUISITN CO,G79407105,10700000,1000000,,
JOYY INC,98426TAF3,10323881,10415000,,JOYY
ROIVANT SCIENCES LTD,G76279101,9471244,898600,,ROIV
RIO TINTO PLC,767204100,8764250,137500,,RTPPF
CAZOO GROUP LTD,G2007L121,8570880,714240,,
BRUKER CORP,116794108,7806414,83100,,BRKRP
GOSSAMER BIO INC,38341P102,7233721,6130272,,
CYTOKINETICS INC,23282W605,7179264,102400,,CYTK
HELIX ACQUISITION CORP II,G4444H101,6210000,600000,,
NOVAVAX INC,670002401,5406180,1131000,,NVAX
PRIME MEDICINE INC,74168J101,5250000,750000,,
ALTIMMUNE INC,02155H200,4784600,470000,,
GDS HLDGS LTD,36165L108,4721500,710000,,
ULTRAGENYX PHARMACEUTICAL IN,90400D108,4622310,99000,,
CENTESSA PHARMACEUTICALS PLC,152309100,4192300,371000,,
AMYLYX PHARMACEUTICALS INC,03237H101,3266628,1150221,,
SWIFTMERGE ACQUISITION CORP,G63836103,3246000,300000,,
COGENT BIOSCIENCES INC,19240Q201,3104640,462000,,
PRAXIS PRECISION MEDICINES I,74006W207,3051000,50000,,
BERENSON ACQUISITION CORP I,083690107,2957150,285715,,
ARRIVENT BIOPHARMA INC,04272N102,2710576,151768,,
ARYA SCIENCES ACQU CORP IV,G31659108,2254000,200000,,
METALS ACQUISITION LIMITED,G60409110,2023875,157500,,
METALS ACQUISITION LIMITED,G60409102,1749000,825000,,
SUMMIT MIDSTREAM PARTNERS LP,866142409,1634067,58214,,
MARBLEGATE ACQUISITION CORP,56608A105,1569000,150000,,
CARA THERAPEUTICS INC,140755109,1416188,1556251,,
FORTE BIOSCIENCES INC,34962G109,1268586,1810455,,
GRINDR INC,39854F119,1247400,540000,,GRND
SOLENO THERAPEUTICS INC,834203309,1187700,27750,,
VNET GROUP INC,90138A103,1007500,650000,,
MADRIGAL PHARMACEUTICALS INC,558868105,886306,3319,,
SAGE THERAPEUTICS INC,78667J108,802072,42800,,
INTUITIVE MACHINES INC,46125A118,771689,440965,,
LUFAX HOLDING LTD,54975P201,632996,149999,,LU
IOVANCE BIOTHERAPEUTICS INC,462260100,385320,26000,,
BLUEPRINT MEDICINES CORP,09627Y109,379440,4000,,
KRYSTAL BIOTECH INC,501147102,355860,2000,,
APELLIS PHARMACEUTICALS INC,03753U106,352680,6000,,
HCA HEALTHCARE INC,40412C101,333530,1000,,
AXSOME THERAPEUTICS INC,05464T104,319200,4000,,
ALNYLAM PHARMACEUTICALS INC,02043Q107,298900,2000,,
ARCELLX INC,03940C100,278200,4000,,
CHEMED CORP NEW,16359R103,256772,400,,CHE
ENCOMPASS HEALTH CORP,29261A100,247740,3000,,EHC
SPRINGWORKS THERAPEUTICS INC,85205L107,246100,5000,,
GLAUKOS CORP,377322102,245154,2600,,GKOS
BRIGHTSPRING HEALTH SVCS INC,10950A106,239140,22000,,
SYNDAX PHARMACEUTICALS INC,87164F105,238000,10000,,SNDX
CRINETICS PHARMACEUTICALS IN,22663K107,234050,5000,,
ALPINE IMMUNE SCIENCES INC,02083G100,233876,5900,,
C4 THERAPEUTICS INC,12529R107,228760,28000,,
HEALTHEQUITY INC,42226A107,228564,2800,,
MERIT MED SYS INC,589889104,227250,3000,,
ACADIA HEALTHCARE COMPANY IN,00404A109,221816,2800,,
IDEAYA BIOSCIENCES INC,45166A102,219400,5000,,
SABRA HEALTH CARE REIT INC,78573L106,206780,14000,,
R1 RCM INC,77634L105,206080,16000,,
AMICUS THERAPEUTICS INC,03152W109,188480,16000,,
GRIFOLS S A,398438408,187040,28000,,
ARDELYX INC,039697107,167900,23000,,
OSCAR HEALTH INC,687793109,163570,11000,,
SCREAMING EAGLE ACQUISITN CO,G79407121,157498,333330,,
BEYOND MEAT INC,08862E109,157320,19000,,
SEP ACQUISITION CORP,589381110,147263,866250,,
SDCL EDGE ACQUISITION CORP,G79471127,121275,866250,,
IRONWOOD PHARMACEUTICALS INC,46333X108,113230,13000,,IRWD
SOLID POWER INC,83422N113,85319,405316,,
AEON BIOPHARMA INC,00791X118,72493,49995,,
CHURCHILL CAPITAL CORP VII,17144M110,64000,200000,,
SWIFTMERGE ACQUISITION CORP,G63836111,55341,990000,,
GORES HOLDINGS IX INC,38287A119,46666,166664,,
JAWS MUSTANG ACQUISITION COR,G50737124,43000,200000,,
KENSINGTON CAPITAL ACQUISITI,G5251K129,35175,581400,,
VAST RENEWABLES LIMITED,Q9379E113,31500,450000,,
MARBLEGATE ACQUISITION CORP,56608A113,26136,1485000,,
RCF ACQUISITION CORP,G7330C110,22440,300000,,
LAMF GLOBAL VENTURES CORP I,G5338L124,20000,200000,,
NVNI GROUP LIMITED,G50716110,19725,375000,,
REVOLUTION MEDICINES INC,76155X118,19214,120085,,
CARTICA ACQUISITION CORP,G1995D117,17168,175000,,
BLOCKCHAIN COINVSTRS ACQ CRP,G11765115,6345,150000,,
RIGETTI COMPUTING INC,76655K111,5553,22675,,
SLAM CORP,G8210L121,3173,17627,,
MOVELLA HOLDINGS INC,62459N113,945,150000,,
