name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
NVIDIA CORP COM,67066G104,16049730832,86057537,,NVDA
APPLE INC,037833100,14992196101,55146752,,AAPL
ISHARES TR 7 10YR TR BD ETF,464287440,12965538648,134832971,,
MICROSOFT CORP,594918104,12235784763,25300410,,MSFT
ALPHABET INC CLASS A,02079K305,11927188753,38106033,,
AMAZON COM INC COM,023135106,7754077761,33593612,,AMZN
VANGUARD FDS INT TERM CORP,92206C870,7033021873,83976379,,
GOLDMAN SACHS GROUP INC,38141G104,5952198523,6771556,,GS-PD
TAIWAN SEMICONDUCTOR MFG L ADR,874039100,5514661759,18146900,,
CATERPILLAR INC,149123101,5438408329,9493266,,CAT
JPMORGAN CHASE  CO,46625H100,5161531796,16018656,,
ELI LILLY  CO,532457108,4950328353,4606327,,
ASML HOLDING N V NYS,N07059210,4798268297,4484949,,
BROADCOM INC COM,11135F101,4791480054,13844206,,AVGO
WALMART INC,931142103,4526237723,40626852,,WMT
MORGAN STANLEY,617446448,4441505244,25018335,,MS-PQ
META PLATFORMS INC CL A,30303M102,4363124107,6609892,,
RTX CORPORATION COM,75513E101,3998154670,21800188,,RTX
CITIGROUP INC,172967424,3954307451,33887285,,C-PR
EXXON MOBIL CORP,30231G102,3790451642,31497852,,
SAP SE ADR,803054204,3577792914,14728881,,
HOME DEPOT INC,437076102,3494152928,10154469,,
AMERICAN EXPRESS CO,025816109,3338237725,9023482,,AXP
CHEVRON CORP NEW,166764100,3272535462,21471919,,CVX
FREEPORT MCMORAN INC,35671D857,3244503695,63880757,,
UBS GROUP AG,H42097107,2968807431,64107264,,UBS
BANK AMERICA CORP,060505104,2958110226,53783821,,
SONY GROUP CORP ADR,835699307,2789928675,108981588,,
COSTCO WHSL CORP NEW,22160K105,2739039479,3176286,,
VISA INC,92826C839,2625110722,7485132,,V
MERCK  CO INC,58933Y105,2618166478,24873327,,
MASTERCARD INCORPORATED,57636Q104,2486642358,4355805,,
BP PLC SPONSORED ADR ADR,055622104,2307180745,66431924,,
BARCLAYS PLC ADR,06738E204,2284139267,89750069,,
SCHWAB CHARLES CORP COM,808513105,2179887845,21818514,,SCHW-PJ
INTUITIVE SURGICAL INC,46120E602,2143656405,3784970,,ISRG
JOHNSON CTLS INTL PLC  SHS,G51502105,2064484509,17239953,,
SHELL PLC ADR,780259305,1994451883,27142785,,
ASTRAZENECA PLC ADR,046353108,1985819827,21601433,,
