name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
BAUSCH HEALTH COS INC,071734107,186982483,34665731,,
COMCAST CORP NEW,20030N101,186979827,6521409,,CCZ
MGM RESORTS INTERNATIONAL,552953101,176606724,4771865,,MGM
WAYSTAR HLDG CORP,946784105,106975513,4443671,,
CBRE GROUP INC,12504L109,97184390,718615,,
NORWEGIAN CRUISE LINE HLDGS,G66721104,96988526,5194517,,
JAZZ PHARMACEUTICALS PLC,G50871105,89762591,475550,,JAZZ
ALLY FINL INC,02005N100,83367857,2128514,,
ELASTIC N V,N14506104,71334830,1429383,,
UNITED PARKS & RESORTS INC,81282V100,67219978,2061450,,PRKS
RESIDEO TECHNOLOGIES INC,76118Y104,56926928,1691343,,
ANI PHARMACEUTICALS INC,00182C103,51295618,667981,,ANIP
OVINTIV INC,69047Q102,49001799,825502,,OVV
VERSANT MEDIA GROUP INC,925283103,48262362,1305960,,
GULFPORT ENERGY CORP,402635502,45752012,216250,,GPOR
BAUSCH PLUS LOMB CORP,071705107,42210264,2660508,,
SMARTSTOP SELF STORAG REIT I,83192D402,40187087,1329575,,
CELANESE CORP DEL,150870103,34858566,530907,,CE
FORTUNE BRANDS INNOVATIONS I,34964C106,31368408,806332,,
TELEPHONE & DATA SYS INC,879433829,21688221,516000,,
WORKIVA INC,98139A105,21325302,358248,,WK
ARDENT HEALTH INC,03980N107,19682718,2303113,,
MPLX LP,55336V100,19671230,344686,,MPLXP
OWENS CORNING NEW,690742101,19038677,176201,,OC
CABLE ONE INC,12685J105,6640486,73180,,
ENERGY TRANSFER L P,29273V100,5014005,259793,,
VODAFONE GROUP PLC,92857W308,4499163,300000,,
LIBERTY MEDIA CORP DEL,530715AG6,3028570,75030000,,FWONB
LIBERTY MEDIA CORP DEL,530715AL5,2859562,94975000,,FWONB
