name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
STATE STR SPDR S&P 500 ETF T,78462F103,19562340262,30080174,,
MICROSOFT CORP,594918104,5603152999,15136702,,MSFT
TESLA INC,88160R101,4766198243,12820977,,
ISHARES TR,464287655,4448710338,17938348,,
NVIDIA CORPORATION,67066G104,4001779324,22945982,,NVDA
INVESCO QQQ TR,46090E103,3029183568,5248248,,
ALPHABET INC,02079K107,2940420670,10250368,,GOOGN
APPLE INC,037833100,2925654231,11527855,,AAPL
ALPHABET INC,02079K305,2656586264,9238372,,GOOGN
ISHARES TR,464287200,2565651928,3927760,,
ISHARES TR,464287465,2309652452,23778981,,
VANGUARD INDEX FDS,922908363,2078156402,3477795,,
EXXON MOBIL CORP,30231G102,2074617174,12228087,,
ISHARES TR,464287614,1977512722,4637694,,
SELECT SECTOR SPDR TR,81369Y506,1975365823,32245606,,
META PLATFORMS INC,30303M102,1952486411,3412662,,
STATE STR SPDR DOW JONES IND,78467X109,1885865579,4071473,,
SPDR SERIES TRUST,78464A870,1750675969,13706067,,
MICRON TECHNOLOGY INC,595112103,1729639341,5119700,,MU
TAIWAN SEMICONDUCTOR MANUFAC,874039100,1705444958,5046442,,
ISHARES TR,464287242,1699256006,15590935,,
BROADCOM INC,11135F101,1670896778,5398523,,AVGO
SPDR SERIES TRUST,78464A698,1529248750,23472736,,
INVESCO EXCHANGE TRADED FD T,46137V357,1524425550,7943026,,
ISHARES TR,464287598,1521407321,7120360,,
VISA INC,92826C839,1487296565,4920912,,V
GOLDMAN SACHS ETF TR,381430123,1451611808,16202833,,
ISHARES TR,46434V803,1357205650,31938008,,
COREWEAVE INC,21873S108,1357070654,17517370,,
ISHARES TR,464287507,1355919338,20078770,,
AMAZON COM INC,023135106,1348678620,6475626,,AMZN
ISHARES INC,46434G764,1301717910,16548664,,
CANADIAN NAT RES LTD MED TER,136385101,1225683794,25152551,,
SELECT SECTOR SPDR TR,81369Y605,1203083017,24368706,,
SELECT SECTOR SPDR TR,81369Y704,1141739587,7059541,,
WALMART INC,931142103,1140435504,9176340,,WMT
BLOOM ENERGY CORP,093712107,1123619925,8293010,,BE
ISHARES TR,464287523,1107339677,3369256,,
ISHARES TR,464287515,1105000354,13803877,,
GE AEROSPACE,369604301,1102476359,3885105,,
ABBVIE INC,00287Y109,1094908852,5034295,,ABBV
DBX ETF TR,233051200,975640663,19749811,,
VANGUARD TAX-MANAGED FDS,921943858,937320075,14627342,,
PDD HOLDINGS INC,722304102,915050138,8955276,,PDD
SELECT SECTOR SPDR TR,81369Y803,914352057,6880000,,
CISCO SYS INC,17275R102,889123973,11459260,,
PINTEREST INC,72352L106,887789361,48407272,,
VERIZON COMMUNICATIONS INC,92343V104,879348926,17516911,,VZ
JPMORGAN CHASE & CO,46625H100,874787958,2973851,,JPM-PM
TC ENERGY CORP,87807B107,866658251,13844381,,TRPRF
WESTERN DIGITAL CORP,958102105,863708714,3193126,,WDC
SANDISK CORP,80004C200,863500759,1359116,,SNDK
KLA CORP,482480100,858062236,582760,,KLAC
VANGUARD INDEX FDS,922908769,814692183,2539485,,
UNITED STS OIL FD LP,91232N207,802121139,6303506,,
JOHNSON & JOHNSON,478160104,794923915,3252021,,JNJ
NEXTERA ENERGY INC,65339F101,787416238,8477780,,NEE-PS
GOLDMAN SACHS ETF TR,381430180,779505185,11153315,,
HOME DEPOT INC,437076102,779193887,2369163,,
ELI LILLY & CO,532457108,768681269,835732,,LLY
MASTERCARD INCORPORATED,57636Q104,763506054,1528051,,
ENBRIDGE INC,29250N105,760531109,14047490,,ENBNF
PEPSICO INC,713448108,734739845,4731405,,PEP
VANECK ETF TRUST,92189F106,718254650,7826682,,
SHOPIFY INC,82509L107,717804041,6051290,,SHOP
HONEYWELL INTL INC,438516106,717133503,3172736,,
SELECT SECTOR SPDR TR,81369Y308,711173913,8674968,,
MERCK & CO INC,58933Y105,676813332,5626514,,
UNITEDHEALTH GROUP INC,91324P102,673335142,2488396,,UNH
CHEVRON CORPORATION,166764100,673034177,3252944,,CVX
ISHARES BITCOIN TRUST ETF,46438F101,671775659,17485051,,IBIT
BARRICK MNG CORP,06849F108,669602277,16415844,,
SEAGATE TECHNOLOGY HLDNGS PL,G7997R103,667809375,1704639,,
PRICE T ROWE GROUP INC,74144T108,660323635,7325534,,TROW
UBER TECHNOLOGIES INC,90353T100,650191692,9039228,,
VANGUARD INTL EQUITY INDEX F,922042858,638145163,11806571,,
SELECT SECTOR SPDR TR,81369Y209,637451630,4347941,,
QUALCOMM INC,747525103,636394074,4941715,,
PHILLIPS 66,718546104,628897409,3452066,,PSX
VANGUARD BD INDEX FDS,921937827,628779887,8019129,,
SYNOPSYS INC,871607107,622474085,1570001,,SNPS
PROCTER & GAMBLE CO,742718109,616994132,4271629,,PG
COSTCO WHOLESALE CORPORATION,22160K105,590331070,592446,,
AT&T INC,00206R102,584143555,20149829,,T-PC
