name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
VANGUARD INTL EQUITY INDEX F,922042775,147472974,2514887,,
MICROSOFT CORP,594918104,140110333,313481,,MSFT
ALPHABET INC,02079K305,102682149,563723,,GOOGN
APPLE INC,037833100,83907007,398381,,AAPL
BERKSHIRE HATHAWAY INC DEL,084670702,76128552,187140,,BRK-A
WATSCO INC,942622200,57932795,125060,,WSO-B
TJX COS INC NEW,872540109,53791668,488571,,
VISA INC,92826C839,48556426,184998,,V
S&P GLOBAL INC,78409V104,47764370,107095,,SPGI
AMPHENOL CORP NEW,032095101,47630264,705862,,
META PLATFORMS INC,30303M102,46529926,92281,,
DANAHER CORPORATION,235851102,45365442,181377,,
ECOLAB INC,278865100,44320346,185783,,ECL
THERMO FISHER SCIENTIFIC INC,883556102,42957135,77626,,TMO
AMERICAN TOWER CORP NEW,03027X100,39903250,203616,,
KINSALE CAP GROUP INC,49714P108,37053149,96172,,
CONSTELLATION BRANDS INC,21036P108,36944894,143598,,
NVIDIA CORPORATION,67066G104,36797872,297862,,NVDA
TE CONNECTIVITY LTD,H84989104,31866340,211835,,
CHEVRON CORP NEW,166764100,31661442,202413,,CVX
SPDR S&P 500 ETF TR,78462F103,29975957,54903,,
OREILLY AUTOMOTIVE INC,67103H107,28124990,26632,,
MERCADOLIBRE INC,58733R102,27089806,16484,,MELI
CHUBB LIMITED,H1467J104,25823166,100883,,
UNION PAC CORP,907818108,25684809,113519,,
AMERICAN WTR WKS CO INC NEW,030420103,24866788,192527,,
IDEXX LABS INC,45168D104,24246483,49767,,
AUTOMATIC DATA PROCESSING IN,053015103,22478781,93625,,
ISHARES TR,46435G516,21457152,272368,,
WALMART INC,931142103,20006003,295466,,WMT
JOHNSON & JOHNSON,478160104,19807165,135517,,JNJ
MCCORMICK & CO INC,579780206,19766084,278631,,MKC-V
ISHARES TR,46434VBD1,19498370,784327,,
PROCTER AND GAMBLE CO,742718109,17987165,109066,,
SYNOPSYS INC,871607107,17672092,29698,,SNPS
ISHARES TR,46435GAA0,17501888,734756,,
EXXON MOBIL CORP,30231G102,16374784,142241,,
YUM BRANDS INC,988498101,16011898,120881,,YUM
UBER TECHNOLOGIES INC,90353T100,15837481,217907,,
SERVICENOW INC,81762P102,15806561,20093,,
ANSYS INC,03662Q105,15309830,47620,,
PIMCO ETF TR,72201R833,14618910,145245,,
VANGUARD INDEX FDS,922908363,14580086,29049,,
ISHARES TR,46434VBG4,14376823,572098,,
AMAZON COM INC,023135106,14123677,73085,,AMZN
ISHARES TR,46432F834,13364382,197815,,
TEXAS PACIFIC LAND CORPORATI,88262P102,13216860,18000,,
BERKSHIRE HATHAWAY INC DEL,084670108,11020338,18,,BRK-A
ISHARES TR,46435U515,10988889,443637,,
ISHARES TR,46435UAA9,10982719,462820,,
STRYKER CORPORATION,863667101,10504340,30800,,SYK
GE AEROSPACE,369604301,10324625,64947,,
COSTCO WHSL CORP NEW,22160K105,7988207,9398,,
PIMCO ETF TR,72201R718,7955783,84037,,
JPMORGAN CHASE & CO.,46625H100,7569581,37425,,JPM-PM
TERRENO RLTY CORP,88146M101,7330197,122928,,
ISHARES TR,46436E205,7109947,313628,,
KENVUE INC,49177J102,6832917,375848,,KVUE
ALPHABET INC,02079K107,6528102,35591,,GOOGN
PEPSICO INC,713448108,6306594,38238,,PEP
MERCK & CO INC,58933Y105,6291596,50510,,
PAYCHEX INC,704326107,5882236,49614,,PAYX
JANUS DETROIT STR TR,47103U886,5759903,118663,,
EATON CORP PLC,G29183103,5435703,17336,,ETN
ASPEN TECHNOLOGY INC,29109X106,5139353,25874,,
COCA COLA CO,191216100,5048326,78714,,KO
ISHARES TR,464287663,4816393,54651,,
BLACKSTONE INC,09260D107,4790565,38696,,BX
VANGUARD INDEX FDS,922908769,4786945,17831,,
ISHARES TR,46434V878,4596715,90970,,
SPDR GOLD TR,78463V107,4487259,20870,,
ISHARES TR,46436E726,4120061,193794,,
ELI LILLY & CO,532457108,4103183,4532,,LLY
ABBVIE INC,00287Y109,4075144,23759,,ABBV
NUCOR CORP,670346105,3873184,24418,,NUE
INDEPENDENT BK CORP MASS,453836108,3768496,74300,,
ISHARES TR,464287614,3323967,9119,,
YANDEX N V,N97284108,3320465,222850,,
ABBOTT LABS,002824100,3291454,31676,,
VANGUARD INTL EQUITY INDEX F,922042858,2976687,68023,,
COLGATE PALMOLIVE CO,194162103,2772918,28575,,CL
GE VERNOVA INC,36828A101,2751878,16045,,GEV
EDWARDS LIFESCIENCES CORP,28176E108,2695357,29180,,EW
EMERSON ELEC CO,291011104,2661797,24163,,
ISHARES TR,464287234,2618945,61492,,
HOME DEPOT INC,437076102,2614159,7594,,
ISHARES TR,46435U259,2599478,102665,,
ISHARES TR,464287168,2519651,20827,,
MCDONALDS CORP,580135101,2383519,9353,,MCD
SYSCO CORP,871829107,2381143,33354,,SYY
MARSH & MCLENNAN COS INC,571748102,2330985,11062,,
CATERPILLAR INC,149123101,2305386,6921,,CAT
CONOCOPHILLIPS,20825C104,2283368,19963,,COP
ILLUMINA INC,452327109,2233524,21398,,
ADOBE INC,00724F101,2178828,3922,,ADBE
ILLINOIS TOOL WKS INC,452308109,2177419,9135,,
MASTERCARD INCORPORATED,57636Q104,2163890,4905,,
BANK AMERICA CORP,060505104,2076710,52218,,
ISHARES TR,464287200,2058133,3761,,
FISERV INC,337738108,1961069,13158,,FISV
ISHARES GOLD TR,464285204,1937753,44110,,
ISHARES TR,46435U432,1918839,72450,,
SELECT SECTOR SPDR TR,81369Y506,1898837,20832,,
SIMON PPTY GROUP INC NEW,828806109,1792910,11811,,
ISHARES TR,46435U325,1767663,70650,,
PFIZER INC,717081103,1727598,61744,,PFE
MORGAN STANLEY,617446448,1724443,17743,,MS-PQ
INTUITIVE SURGICAL INC,46120E602,1710449,3845,,ISRG
INVESCO QQQ TR,46090E103,1652542,3444,,
ISHARES TR,46435U283,1647534,65875,,
GE HEALTHCARE TECHNOLOGIES I,36266G107,1599542,20528,,
HERSHEY CO,427866108,1566784,8523,,HSY
ISHARES TR,46436E486,1523374,75080,,
ISHARES TR,46436E874,1518918,63341,,
BROADCOM INC,11135F101,1507593,939,,AVGO
SERVICE CORP INTL,817565104,1462860,20566,,
VANGUARD INDEX FDS,922908744,1460412,9047,,
INTERNATIONAL BUSINESS MACHS,459200101,1439564,8324,,
RTX CORPORATION,75513E101,1395321,13899,,RTX
AIR PRODS & CHEMS INC,009158106,1386245,5372,,
REGENERON PHARMACEUTICALS,75886F107,1382105,1315,,
VANGUARD INDEX FDS,922908512,1369686,9052,,
ISHARES TR,46436E866,1368889,58953,,
SHELL PLC,780259305,1367811,18950,,RYDAF
ISHARES TR,464287804,1361729,12767,,
THE CIGNA GROUP,125523100,1347073,4075,,
MASCO CORP,574599106,1338134,20071,,
NETFLIX INC,64110L106,1290371,1912,,NFLX
SELECT SECTOR SPDR TR,81369Y803,1281593,5665,,
COMCAST CORP NEW,20030N101,1199706,30636,,CCZ
ORACLE CORP,68389X105,1177891,8342,,ORCL-PD
DISNEY WALT CO,254687106,1152559,11608,,
NOVO-NORDISK A S,670100205,1146203,8030,,
GILEAD SCIENCES INC,375558103,1125891,16410,,
BRINKER INTL INC,109641100,1114517,15396,,
COUPANG INC,22266T109,1113283,53140,,
CROWDSTRIKE HLDGS INC,22788C105,1110102,2897,,
WEYERHAEUSER CO MTN BE,962166104,988853,34831,,
ISHARES TR,464287507,975236,16665,,
ALNYLAM PHARMACEUTICALS INC,02043Q107,972000,4000,,
CSX CORP,126408103,966572,28896,,CSX
UNITED PARCEL SERVICE INC,911312106,949466,6938,,UPS
QUALCOMM INC,747525103,948894,4764,,
ISHARES INC,46434G863,946552,28230,,
VANGUARD TAX-MANAGED FDS,921943858,939079,19002,,
