name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
ISHARES TR,464288513,771305000,9500000,PUT,
ISHARES TR,464287242,724555000,6500000,PUT,
SURGERY PARTNERS INC,86881A100,202116085,9339930,,
BOEING CO,097023105,126044720,584000,,BA-PA
BOEING CO,097023204,118490000,1700000,,BA-PA
NVIDIA CORPORATION,67066G104,111948000,600000,PUT,NVDA
PG&E CORP,69331CAL2,111486100,110000000,,PCG-PX
UNITI GROUP LLC,912932100,27487870,4491482,,
SL GREEN RLTY CORP,78440X887,26934237,450330,,
SPDR SERIES TRUST,78464A698,17407500,275000,,
ALLY FINL INC,02005N100,17287200,441000,,
UWM HOLDINGS CORPORATION,91823B109,17052000,2800000,,UWMC
AGNC INVT CORP,00123Q104,12971750,1325000,,
ANNALY CAPITAL MANAGEMENT IN,035710839,12126000,600000,,
VORNADO RLTY TR,929042109,11910916,293879,,
AVEANNA HEALTHCARE HLDGS INC,05356F105,11406820,1286000,,
ALTICE USA INC,02156K103,9732963,4038574,,
VALLEY NATL BANCORP,919794107,7420000,700000,,
