name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
META PLATFORMS INC,30303M102,834314512,2779103,,
AMAZON COM INC,023135106,694683978,5464789,,AMZN
MASTERCARD INCORPORATED,57636Q104,691394261,1746342,,
TAIWAN SEMICONDUCTOR MFG LTD,874039100,677833209,7800152,,
MICROSOFT CORP,594918104,572078692,1811809,,MSFT
WORKDAY INC,98138H101,554231142,2579619,,
SALESFORCE INC,79466L302,506874971,2499630,,
BOOKING HOLDINGS INC,09857L108,460893244,149449,,BKNG
UNITEDHEALTH GROUP INC,91324P102,449317490,891167,,UNH
PTC INC,69370C100,448624478,3166463,,PTC
LPL FINL HLDGS INC,50212V100,437303092,1840114,,
ALPHABET INC,02079K305,407367311,3113001,,GOOGN
KKR & CO INC,48251W104,404365931,6564382,,
TRANSDIGM GROUP INC,893641100,368228596,436740,,TDG
DICKS SPORTING GOODS INC,253393102,317320707,2922460,,
LIVE NATION ENTERTAINMENT IN,538034109,308367130,3713477,,
BATH & BODY WORKS INC,070830104,294276354,8706401,,
ICICI BANK LIMITED,45104G104,278417121,12042263,,
BILL HOLDINGS INC,090043100,276494025,2546689,,
HDFC BANK LTD,40415F101,274015354,4643541,,HDB
EPAM SYS INC,29414B104,269555813,1054229,,
ASML HOLDING N V,N07059210,223973357,380480,,
TEMPUR SEALY INTL INC,88023U101,206808598,4771772,,
FLOOR & DECOR HLDGS INC,339750101,195553124,2160808,,
BLOCK INC,852234103,172000822,3886146,,
AVIDXCHANGE HOLDINGS INC,05368X102,48164391,5080632,,
