name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
HUMANA INC,444859102,160147890,349813,,HUM
MERCK & CO INC,58933Y105,152245013,1396487,,
NOVARTIS AG,66987V109,125196944,1239942,,NVSEF
ALBERTSONS COS INC,013091103,90499388,3934756,,
ABBOTT LABS,002824100,89953056,817235,,
ZIMMER BIOMET HOLDINGS INC,98956P102,89780524,737720,,
WESTROCK CO,96145D105,87879488,2116558,,
CHURCHILL CAPITAL CORP VII,17144M102,87215163,8306206,,
ELANCO ANIMAL HEALTH INC,28414H103,86223499,5786812,,ELAN
ENCOMPASS HEALTH CORP,29261A100,83249546,1247745,,EHC
PIONEER NAT RES CO,723787107,83221117,370069,,
SPLUNK INC,848637104,83194983,546078,,
PNM RES INC,69349H107,82988381,1994913,,
KARUNA THERAPEUTICS INC,48576A100,63987244,202165,,
MCKESSON CORP,58155Q103,60013320,129624,,MCK
AMEDISYS INC,023436108,58833680,618911,,
THE CIGNA GROUP,125523100,57506378,192040,,
CAPRI HOLDINGS LIMITED,G1890L107,56597721,1126547,,
CYTOKINETICS INC,23282WAC4,54489198,30850000,,CYTK
SP PLUS CORP,78469C103,52531916,1025013,,
GSK PLC,37733W204,52168584,1407679,,GLAXF
MEDTRONIC PLC,G5960L103,52165817,633234,,MDT
OLINK HLDG AB,680710100,51533633,2049051,,
MIRATI THERAPEUTICS INC,60468T105,49020413,834390,,
IMMUNOGEN INC,45253H101,48308300,1629285,,
CEREVEL THERAPEUTICS HLDNG I,15678U128,43181347,1018428,,
UNITED STATES STL CORP NEW,912909108,38276263,786768,,
UBER TECHNOLOGIES INC,90353TAJ9,37665818,37086000,,
AKAMAI TECHNOLOGIES INC,00971TAL5,36531513,32552000,,AKAM
HAWAIIAN HOLDINGS INC,419879101,33977760,2392800,,
FORD MTR CO DEL,345370CZ1,33863636,34000000,,
RBC BEARINGS INC,75524B203,33778117,260000,,RBC
ENOVIS CORPORATION,194014502,33468197,597433,,ENOV
RAYZEBIO INC,75525N107,33439502,537872,,
OPTION CARE HEALTH INC,68404L201,33293738,988238,,
NATIONAL WESTN LIFE GROUP IN,638517102,32595156,67482,,
CHICOS FAS INC,168615102,32571957,4297092,,
ORGANON & CO,68622V106,32089734,2225363,,OGN
POST HLDGS INC,737446AT1,31466850,31100000,,
LIVANOVA PLC,G5509L101,31310978,605160,,LIVN
AIRBNB INC,009066AB7,30359783,33638000,,
GLOBUS MED INC,379577208,30148658,565747,,
IONIS PHARMACEUTICALS INC,462222AD2,30082423,28500000,,IONS
ADMA BIOLOGICS INC,000899104,28397153,6282556,,
AMERICAN AIRLINES GROUP INC,02376RAF9,28324398,25500000,,AAL
SCREAMING EAGLE ACQUISITN CO,G79407105,28304099,2670198,,
CVS HEALTH CORP,126650100,28143476,356427,,CVS
SHOCKWAVE MED INC,82489T104,27080863,142112,,
MARRIOTT VACATIONS WORLDWIDE,57164YAD9,26544438,30100000,,
CONMED CORP,207410AH4,26032008,26000000,,CNMD
SPIRIT RLTY CAP INC NEW,84860W300,25850718,591685,,
HENNESSY CAPITAL INVST CORP,42600H108,25849754,2478404,,
ELI LILLY & CO,532457108,25142505,43132,,LLY
BLOCK INC,852234AF0,24973592,25550000,,
WOLFSPEED INC,977852AD4,24569275,36600000,,
BROOGE ENERGY LTD,G1611B107,24164514,6566444,,
BENTLEY SYS INC,08265TAD1,23798758,26500000,,
WYNDHAM HOTELS & RESORTS INC,98311A105,23080002,287029,,
NCL CORP LTD,62886HBD2,22932768,25000000,,
AXONICS INC,05465P101,22405165,360038,,
UNIVERSAL HLTH SVCS INC,913903100,20904555,137133,,
ENGAGESMART INC,29283F103,20426663,891994,,
SHOPIFY INC,82509LAA5,20289812,21498000,,SHOP
STRIDE INC,86333MAA6,19780092,15600000,,
HALOZYME THERAPEUTICS INC,40637HAF6,19736670,21200000,,
DRAFTKINGS INC NEW,26142RAB0,19621880,24250000,,DKNG
AMERICAN EQTY INVT LIFE HLD,025676206,19511084,349661,,
EXACT SCIENCES CORP,30063PAC9,19484384,20786000,,
ALTC ACQUISITION CORP,02156V109,17472819,1654623,,
CHEESECAKE FACTORY INC,163072AA9,17277067,19951000,,CAKE
GE HEALTHCARE TECHNOLOGIES I,36266G107,14480490,187280,,
CLOUDFLARE INC,18915MAC1,13973139,15500000,,
NORTHERN OIL & GAS INC,665531AJ8,12497042,10596000,,
