name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
TESLA  INC,88160RAG6,512879,74200,,
AMAZON   COM   INC,023135106,423120,134378,,AMZN
MICROSOFT   CORP,594918104,331221,1574770,,MSFT
FACEBOOK        INC,30303M102,316889,1209960,,
SPDR  S&P    500   ETF  TR,78462F103,275692,823232,,
MOMENTA       PHARMACEUTICALS          INC,60877T100,260616,4966005,,
TD   AMERITRADE       HLDG  CORP,87236Y108,240790,6150446,,
QIAGEN   NV,N72482123,238158,4557179,,
APPLE   INC,037833100,202371,1747442,,AAPL
TIFFANY  &    CO   NEW,886547108,184116,1589259,,
KEURIG   DR   PEPPER  INC,49271V100,163051,5907643,,KDP
ALPHABET     INC,02079K305,159479,108815,,GOOGN
CROWN  HLDGS     INC,228368106,133086,1731533,,
BLACKSTONE       GROUP     INC,09260D107,130927,2508185,,
GENERAC   HLDGS      INC,368736104,126213,651793,,
PERSHING     SQUARE     TONTINE     HLDG,71531R109,119711,5275934,,
ALIBABA   GROUP      HLDG   LTD,01609W102,119610,406865,,
VISA   INC,92826C839,115483,577500,CALL,V
NIO   INC,62914V106,114578,5399546,,NIOIF
ENTERGY   CORP     NEW,29364G103,114026,1157270,,
SQUARE   INC,852234AD5,113531,52576,,
PARKER-HANNIFIN         CORP,701094104,110338,545308,,PH
FOLEY   TRASIMENE    ACQUISITION,344328208,107100,10500000,,
TESLA  INC,88160R101,106137,247400,CALL,
BRISTOL-MYERS     SQUIBB     CO,110122108,102963,1707800,PUT,
WILLIAMS   COS     INC,969457100,99514,5064339,,
NATERA   INC,632307104,97305,1346966,,
CHUBB   LIMITED,H1467J104,93986,809385,,
EXACT   SCIENCES    CORP,30063P105,92207,904435,,
BUNGE   LIMITED,G16962105,90763,1986061,,
TESLA  INC,88160RAC5,90602,15200,,
CACI   INTL   INC,127190304,88589,415597,,
BIO   RAD     LABS   INC,090572207,86273,167370,,
PAYPAL    HLDGS  INC,70450Y103,84920,431000,CALL,
MARATHON       PETE  CORP,56585A102,84395,2876450,,
GLOBAL   PMTS     INC,37940X102,83020,467506,,
CARRIER    GLOBAL     CORPORATION,14448C104,78996,2586636,,CARR
DARDEN   RESTAURANTS     INC,237194105,78701,781228,,DRI
AMERICAN  ELEC   PWR     CO   INC,025537101,78390,959131,,
NVIDIA  CORPORATION,67066G104,76529,141400,CALL,NVDA
PPD   INC,69355F102,76520,2068680,,
CATERPILLAR       INC  DEL,149123101,73635,493700,CALL,CAT
SELECT  SECTOR     SPDR  TR,81369Y407,73097,497329,,
ORACLE   CORP,68389X105,72930,1221600,CALL,ORCL-PD
KBR  INC,48242W106,72494,3242127,,
AVIENT   CORPORATION,05368V106,71047,2685087,,AVNT
PULTE   GROUP  INC,745867101,70796,1529392,,
VALE   S  A,91912E105,69724,6590158,,
CISCO   SYS     INC,17275R102,69301,1759349,,
INVESCO  QQQ  TR,46090E103,69136,248834,,
LOUISIANA     PAC    CORP,546347105,68655,2326516,,
TESLA  INC,88160RAD3,68624,10500,,
VARIAN   MED   SYS   INC,92220P105,68559,398600,PUT,
E    TRADE  FINANCIAL   CORP,269246401,67765,1353952,,
COSTAR   GROUP   INC,22160N109,67340,79363,,
NVR   INC,62944T105,67310,16485,,NVR
US   ECOLOGY  INC,91734M111,67023,2051500,CALL,
CATALENT   INC,148806102,67009,782268,,
