name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
ALPHABET INC,02079K305,16005188282,51134786,,GOOGN
SPDR S&P 500 ETF TR,78462F103,12891795974,18905144,,
APPLE INC,037833100,5633883914,20723475,,AAPL
VANGUARD INTL EQUITY INDEX F,922042858,2443257634,45447500,,
BROADCOM INC,11135F101,2373096256,6856678,,AVGO
SPDR SERIES TRUST,78468R663,2174713918,23798576,,
GE VERNOVA INC,36828A101,2124428092,3250498,,GEV
INTERNATIONAL BUSINESS MACHS,459200101,2014174310,6799818,,
UNITEDHEALTH GROUP INC,91324P102,2005382305,6074891,,UNH
VANGUARD INDEX FDS,922908751,1987242232,7703982,,
SELECT SECTOR SPDR TR,81369Y605,1943593729,35486465,,
VANGUARD WHITEHALL FDS,921946406,1459548588,10169652,,
VANGUARD SCOTTSDALE FDS,92206C409,1454718260,18245557,,
CISCO SYS INC,17275R102,1422611146,18468274,,
ISHARES TR,46434V621,1340747102,19313556,,
SPDR SERIES TRUST,78464A854,1312984886,16367301,,
RTX CORPORATION,75513E101,1181166022,6440381,,RTX
WILLIAMS COS INC,969457100,1159627685,19291759,,
JPMORGAN CHASE & CO.,46625H100,1159590836,3598755,,JPM-PM
ISHARES TR,464287473,1136332706,8056240,,
ISHARES TR,464287150,1083127054,7284464,,
META PLATFORMS INC,30303M102,1074198122,1627351,,
SPDR DOW JONES INDL AVERAGE,78467X109,1054635644,2194551,,
VANGUARD WORLD FD,921910816,1032100622,2500425,,
CAPITAL GROUP DIVIDEND VALUE,14020W106,996351400,22831150,,
UBER TECHNOLOGIES INC,90353T100,993723029,12161584,,
FIRST TR EXCH TRADED FD III,33739E108,970211304,53249797,,
FIRST TR EXCHANGE TRADED FD,33734X846,966376201,13525209,,
ISHARES TR,464288588,931977093,9787619,,
SHERWIN WILLIAMS CO,824348106,923322457,2849496,,SHW
PACER FDS TR,69374H881,919663959,15284426,,
CROWDSTRIKE HLDGS INC,22788C105,913667262,1949115,,
ISHARES TR,46429B697,894188900,9496483,,
WISDOMTREE TR,97717Y527,838004902,16653515,,
ISHARES TR,464287457,807330222,9748010,,
SELECT SECTOR SPDR TR,81369Y886,796464804,18656940,,
VISTRA CORP,92840M102,772528809,4788500,,VST
FIRST TR EXCHANGE-TRADED FD,33739Q408,760034773,12682041,,
ACCENTURE PLC IRELAND,G1151C101,751842325,2802244,,
FIRST TR EXCHANGE-TRADED FD,33739Q200,707372602,14150282,,
FIRST TR EXCHANGE-TRADED FD,33738D101,697446526,18416861,,
ISHARES TR,464287622,691472152,1851628,,
DANAHER CORPORATION,235851102,673231704,2940903,,
ISHARES TR,46432F396,662671879,2647404,,
ISHARES TR,464287184,635906804,16607647,,
ENERGY TRANSFER L P,29273V100,622950431,37777467,,
EXXON MOBIL CORP,30231G102,592042113,4919745,,
VANGUARD BD INDEX FDS,921937819,581887592,7471592,,
BOSTON SCIENTIFIC CORP,101137107,581181788,6095246,,BSX
CARLISLE COS INC,142339100,573204830,1792049,,
JOHNSON & JOHNSON,478160104,563262024,2721730,,JNJ
VANGUARD WHITEHALL FDS,921946810,562679922,6152869,,
ISHARES TR,464287432,560503666,6430744,,
VANGUARD SCOTTSDALE FDS,92206C847,551992057,9892330,,
ISHARES TR,464287705,522496877,3970642,,
GOLDMAN SACHS ETF TR,381430529,487566309,4878590,,
GODADDY INC,380237107,484448423,3904323,,GDDY
MORGAN STANLEY PATHWAY FDS,61769L841,483836546,9561987,,
VICTORY PORTFOLIOS II,92647X830,469848986,11931157,,
PIMCO ETF TR,72201R585,456647358,17115718,,
PUTNAM ETF TRUST,746729300,435948539,9566568,,
AMERICAN CENTY ETF TR,025072604,435660725,5656462,,
VANGUARD WORLD FD,92204A504,433296354,1505285,,
ENTERPRISE PRODS PARTNERS L,293792107,426563984,13305177,,
VANGUARD WORLD FD,921910840,420370417,2977971,,
AVERY DENNISON CORP,053611109,419985425,2309134,,AVY
COUPANG INC,22266T109,418255913,17730221,,
SOUTHERN CO,842587107,416940486,4781427,,SOMN
ISHARES TR,464288646,416595902,7878137,,
CAPITAL GRP FIXED INCM ETF T,14020Y102,416273669,18386646,,
SHOPIFY INC,82509L107,415978627,2584199,,SHOP
BLOCK INC,852234103,392736397,6033744,,
DBX ETF TR,233051200,367465055,7638018,,
ALIBABA GROUP HLDG LTD,01609W102,364302745,2485350,,
ISHARES TR,464289438,362398715,1308582,,
BANK NEW YORK MELLON CORP,064058100,358254929,3086010,,
FIRST TR EXCHANGE TRADED FD,33738R605,356903458,5672364,,
ON HLDG AG,H5919C104,353450327,7604353,,
PALANTIR TECHNOLOGIES INC,69608A108,338380009,1903685,,PLTR
PDD HOLDINGS INC,722304102,337119015,2973093,,PDD
J P MORGAN EXCHANGE TRADED F,46654Q575,332970446,6521160,,
WISDOMTREE TR,97717W851,331728224,2301111,,
ISHARES TR,464288661,330101502,2765827,,
SSGA ACTIVE ETF TR,78467V608,322513681,7814724,,
PIMCO ETF TR,72201R775,314529907,3379135,,
J P MORGAN EXCHANGE TRADED F,46641Q159,314275421,6789272,,
COCA COLA CO,191216100,313116194,4478847,,KO
ISHARES TR,464288638,310374150,5760470,,
ISHARES TR,46429B267,306779100,13323739,,
AMERICAN CENTY ETF TR,025072877,304275763,2983680,,
J P MORGAN EXCHANGE TRADED F,46641Q670,304130955,6423040,,
PROCTER AND GAMBLE CO,742718109,300036252,2093617,,
ISHARES TR,464288885,297173228,2608613,,
VANGUARD STAR FDS,921909768,283895808,3763200,,
SCHWAB STRATEGIC TR,808524300,282839315,8670733,,
ISHARES TR,464288257,282243686,1994796,,
HOME DEPOT INC,437076102,271498677,789010,,
FIRST TR EXCHANGE-TRADED FD,33738D408,271081143,6475899,,
CAPITAL GROUP CORE EQUITY ET,14020V108,270164561,6715499,,
ELECTRONIC ARTS INC,285512109,265831087,1300989,,EA
ENTERGY CORP NEW,29364G103,255130667,2760258,,
INVESCO EXCHANGE TRADED FD T,46137V464,255038500,1841965,,
CATERPILLAR INC,149123101,249156630,434927,,CAT
NVIDIA CORPORATION,67066G104,248144405,1330533,,NVDA
CAPITAL GRP FIXED INCM ETF T,14020Y201,246192200,8991680,,
PRAXIS PRECISION MEDICINES I,74006W207,245335386,832379,,
VANGUARD CHARLOTTE FDS,92203J407,243965989,5048965,,
GLOBAL X FDS,37954Y632,241349065,4745361,,
ISHARES TR,46434V738,240614465,3389891,,
EMERSON ELEC CO,291011104,233826760,1761805,,
PFIZER INC,717081103,233501443,9377568,,PFE
GILEAD SCIENCES INC,375558103,232792612,1896632,,
INVESCO ACTIVELY MANAGED EXC,46090A887,231477979,4606526,,
VANGUARD ADMIRAL FDS INC,921932703,229877792,1122176,,
AMERICAN CENTY ETF TR,025072703,229827718,2791881,,
BLACKROCK ETF TRUST,09290C780,229560914,6893721,,
BLACKBAUD INC,09227Q100,224801311,3550241,,BLKB
RIO TINTO PLC,767204100,224642122,2806973,,RTPPF
PGIM ETF TR,69344A834,223537892,4360864,,
CHEVRON CORP NEW,166764100,216278630,1419058,,CVX
FIRST TR EXCHANGE-TRADED FD,337344105,214278794,1507633,,
INVESCO EXCH TRADED FD TR II,46138G870,213522396,8776095,,
WW GRAINGER INC,384802104,211330966,209435,,
FIRST TR EXCHNG TRADED FD VI,33740F888,209826102,8336356,,
CAPITAL GRP FIXED INCM ETF T,14020Y508,205579752,7751876,,
ARK ETF TR,00214Q104,202369139,2630904,,
FIRST TR EXCHANGE-TRADED FD,33738D309,193921702,4226715,,
ISHARES TR,46435G425,193633686,1299729,,
CITIGROUP INC,172967424,191476971,1640903,,C-PR
ONEOK INC NEW,682680103,191260666,2602185,,
ISHARES TR,464289180,189862925,5118978,,
INVESCO EXCH TRADED FD TR II,46138G508,185380695,8827652,,
CAPITAL GRP FIXED INCM ETF T,14020Y300,185034631,6699298,,
VANGUARD WORLD FD,92204A306,183423128,1456663,,
SCHWAB STRATEGIC TR,808524805,181202438,7537539,,
ISHARES TR,464288281,179999013,1869536,,
CRH PLC,G25508105,178972164,1434071,,
KEYSIGHT TECHNOLOGIES INC,49338L103,178308105,877543,,
ADOBE INC,00724F101,178179418,509098,,ADBE
AUTOMATIC DATA PROCESSING IN,053015103,176300555,685381,,
ETF SER SOLUTIONS,26922B832,173768730,6033636,,
AMPHENOL CORP NEW,032095101,171934127,1272266,,
GLOBAL X FDS,37960A529,170599847,2633120,,
UPSTART HLDGS INC,91680M107,167528974,3830985,,
ISHARES U S ETF TR,46431W507,167031679,3268721,,
WESTERN MIDSTREAM PARTNERS L,958669103,166926171,4225979,,
WISDOMTREE TR,97717X594,165533922,3401847,,
METTLER TOLEDO INTERNATIONAL,592688105,164071075,117682,,
T ROWE PRICE ETF INC,87283Q503,163463372,3821023,,
SPDR SERIES TRUST,78464A847,163458260,2822625,,
