name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
APPLE INC,037833100,4960461173,38177951,,AAPL
SPDR S&P 500 ETF TR,78462F103,4753275245,12429138,,
FLEXSHARES TR,33939L407,4425911439,101815308,,
MICROSOFT CORP,594918104,4268789525,17799973,,MSFT
VANGUARD INDEX FDS,922908769,1716252979,8976688,,
AMAZON COM INC,023135106,1669359048,19873322,,AMZN
FLEXSHARES TR,33939L795,1493242147,29621943,,
FLEXSHARES TR,33939L506,1388518300,59035642,,
VANGUARD TAX-MANAGED FDS,921943858,1341189920,31955919,,
JOHNSON & JOHNSON,478160104,1334939987,7556977,,JNJ
UNITEDHEALTH GROUP INC,91324P102,1285423001,2424503,,UNH
ALPHABET INC,02079K107,1272028311,14335944,,GOOGN
JPMORGAN CHASE & CO,46625H100,1248325502,9308915,,JPM-PM
PROCTER AND GAMBLE CO,742718109,1237223079,8163256,,
ALPHABET INC,02079K305,1229898937,13939691,,GOOGN
ISHARES TR,464287465,1217941273,18554864,,
HOME DEPOT INC,437076102,1143055015,3618866,,
EXXON MOBIL CORP,30231G102,1127813198,10224961,,
ISHARES TR,464287200,1127122682,2933611,,
BERKSHIRE HATHAWAY INC DEL,084670702,1118449057,3620748,,BRK-A
CHEVRON CORP NEW,166764100,1045969001,5827450,,CVX
FLEXSHARES TR,33939L100,922377586,6207117,,
ISHARES TR,464287226,917224731,9456900,,
ISHARES TR,464288372,910275226,19857662,,
ABBVIE INC,00287Y109,894621891,5535684,,ABBV
MERCK & CO INC,58933Y105,865960090,7804958,,
ISHARES TR,464287614,848740254,3961633,,
LILLY ELI & CO,532457108,820629240,2243137,,
PEPSICO INC,713448108,806862066,4466191,,PEP
ABBOTT LABS,002824100,805038469,7332530,,
VANGUARD INTL EQUITY INDEX F,922042775,784313145,15642464,,
VISA INC,92826C839,772980014,3720543,,V
MASTERCARD INCORPORATED,57636Q104,770892026,2216927,,
ISHARES TR,464287507,762334477,3151575,,
PFIZER INC,717081103,758509204,14803068,,PFE
NVIDIA CORPORATION,67066G104,744300665,5093066,,NVDA
MCDONALDS CORP,580135101,728488365,2764347,,MCD
VANGUARD INTL EQUITY INDEX F,922042858,719898232,18468400,,
ISHARES TR,464288646,699264951,14035828,,
ACCENTURE PLC IRELAND,G1151C101,698766970,2618674,,
FLEXSHARES TR,33939L662,696606931,17480726,,
BROADCOM INC,11135F101,668949282,1196411,,AVGO
FLEXSHARES TR,33939L860,656391297,12478922,,
FLEXSHARES TR,33939L886,642570703,8636703,,
ISHARES TR,464287804,640926308,6772256,,
CISCO SYS INC,17275R102,625750400,13134979,,
COCA COLA CO,191216100,623673468,9804645,,KO
DANAHER CORPORATION,235851102,615308588,2318245,,
NIKE INC,654106103,603748315,5159801,,
ISHARES TR,464287655,603171045,3459343,,
ISHARES TR,464287622,593681978,2820074,,
COSTCO WHSL CORP NEW,22160K105,586387489,1284529,,
ISHARES TR,46435U853,570794505,16530394,,
ISHARES TR,464287499,570671922,8460666,,
ISHARES TR,464287598,545566334,3597536,,
META PLATFORMS INC,30303M102,535688817,4451461,,
TESLA INC,88160R101,528834405,4293184,,
STARBUCKS CORP,855244109,517899789,5220764,,SBUX
NEXTERA ENERGY INC,65339F101,506512587,6058763,,NEE-PS
SPDR INDEX SHS FDS,78463X541,506088936,8875639,,
TEXAS INSTRS INC,882508104,487255589,2949132,,
BANK AMERICA CORP,060505104,477954256,14430986,,
UNITED PARCEL SERVICE INC,911312106,474853174,2731553,,UPS
WALMART INC,931142103,470448302,3317923,,WMT
BLACKROCK INC,09247X101,467574624,659829,,
ADOBE SYSTEMS INCORPORATED,00724F101,466239094,1385431,,
THERMO FISHER SCIENTIFIC INC,883556102,458732480,833014,,TMO
SPDR S&P MIDCAP 400 ETF TR,78467Y107,458243371,1034900,,
AMGEN INC,031162100,454879873,1731952,,AMGN
ISHARES TR,464287234,446307254,11775917,,
ORACLE CORP,68389X105,445743996,5453193,,ORCL-PD
DISNEY WALT CO,254687106,433295581,4987288,,
BRISTOL-MYERS SQUIBB CO,110122108,431914555,6002982,,
MONDELEZ INTL INC,609207105,413692618,6206941,,
SALESFORCE INC,79466L302,408139068,3078204,,
AUTOMATIC DATA PROCESSING IN,053015103,401806470,1682184,,
RAYTHEON TECHNOLOGIES CORP,75513E101,385440426,3819267,,
ISHARES TR,464287168,385227274,3194256,,
LOWES COS INC,548661107,376831578,1891345,,
HONEYWELL INTL INC,438516106,375599110,1752679,,
VERIZON COMMUNICATIONS INC,92343V104,366993822,9314564,,VZ
CVS HEALTH CORP,126650100,365250657,3919419,,CVS
QUALCOMM INC,747525103,350774344,3190598,,
AMERICAN TOWER CORP NEW,03027X100,346730288,1636601,,
EATON CORP PLC,G29183103,346043360,2204800,,ETN
COMCAST CORP NEW,20030N101,345853160,9889996,,CCZ
VANGUARD MUN BD FDS,922907746,339086921,6851625,,
DEERE & CO,244199105,336449258,784703,,DE
CATERPILLAR INC,149123101,334099000,1394636,,CAT
NETFLIX INC,64110L106,330000208,1119100,,NFLX
LOCKHEED MARTIN CORP,539830109,322343896,662591,,LMT
TJX COS INC NEW,872540109,314874755,3955713,,
INTERNATIONAL BUSINESS MACHS,459200101,314800812,2234373,,
AMERICAN EXPRESS CO,025816109,313677978,2123032,,AXP
CONOCOPHILLIPS,20825C104,312842308,2651206,,COP
LINDE PLC,G5494J103,310231103,951104,,LIN
FLEXSHARES TR,33939L803,303237343,5025478,,
FLEXSHARES TR,33939L605,302153772,12792285,,
AIR PRODS & CHEMS INC,009158106,299431434,971360,,
PACCAR INC,693718108,293363509,2964166,,PCAR
WELLS FARGO CO NEW,949746101,292984302,7095769,,
PHILIP MORRIS INTL INC,718172109,292561978,2890643,,
GILEAD SCIENCES INC,375558103,285558992,3326255,,
ANALOG DEVICES INC,032654105,285353641,1739643,,ADI
ISHARES TR,464288638,284691362,5750179,,
UNION PAC CORP,907818108,284148494,1372234,,
AT&T INC,00206R102,283693626,15409757,,T-PC
SCHWAB CHARLES CORP,808513105,283637346,3406646,,SCHW-PJ
PROLOGIS INC.,74340W103,283279217,2512900,,
MARSH & MCLENNAN COS INC,571748102,281956408,1703870,,
NORFOLK SOUTHN CORP,655844108,280746799,1139302,,
US BANCORP DEL,902973304,267087483,6124455,,
DIMENSIONAL ETF TRUST,25434V500,266220354,5204699,,
INTEL CORP,458140100,264576590,10010465,,INTC
INTERCONTINENTAL EXCHANGE IN,45866F104,260661698,2540810,,
EMERSON ELEC CO,291011104,257225626,2677760,,
MEDTRONIC PLC,G5960L103,255649059,3289360,,MDT
GOLDMAN SACHS GROUP INC,38141G104,253725542,738906,,GS-PD
ILLINOIS TOOL WKS INC,452308109,248953760,1130067,,
MORGAN STANLEY,617446448,242820011,2856034,,MS-PQ
PNC FINL SVCS GROUP INC,693475105,241131104,1526726,,
INTUIT,461202103,234479361,602434,,
S&P GLOBAL INC,78409V104,234346130,699666,,SPGI
BOEING CO,097023105,229622170,1205429,,BA-PA
CIGNA CORP NEW,125523100,227011306,685131,,
ELEVANCE HEALTH INC,036752103,226779420,442091,,
ISHARES TR,464287689,226461375,1026198,,
3M CO,88579Y101,224499234,1872075,,MMM
SPDR SER TR,78464A607,223762593,2567557,,
TRUIST FINL CORP,89832Q109,218785691,5084492,,
