name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
CHESAPEAKE ENERGY CORP,165167735,774314,12001153,,
VISTRA CORP,92840M102,658048,28899812,,VST
STAR BULK CARRIERS CORP,Y8162K204,589266,25993242,,SBLK
GARRETT MOTION INC,366505204,576835,68834814,,GTX
TORM PLC,G89479102,424974,53812988,,TRMD
PG&E CORP,69331C108,364200,30000000,,PCG-PX
ALLY FINANCIAL INC,02005N100,327303,6874687,,ALLY
STATE STREET CORP,78462F103,299225,630000,PUT,STT-PG
RUNWAY GROWTH FINANCE CORP,78163D100,256139,19979676,,RWAYI
INFINERA CORP,45667G103,241431,25175384,,
CEMEX SAB DE CV,151290889,172568,25452572,,CXMSF
EAGLE BULK SHIPPING INC,Y2187A150,172061,3781561,,
WEATHERFORD INTERNATIONAL PLC,G48833118,169339,6108916,,WFRD
SUNOPTA INC,8676EP108,144046,20726126,,
FRONTIER COMMUNICATIONS PARENT INC,35909D109,117454,3982849,,
NMI HOLDINGS INC,629209305,116242,5320000,,
ISHARES RUSSELL 2000 ETF,464287655,111225,500000,PUT,
BERRY CORP,08579X101,108730,12913313,,
VALE SA,91912E105,107505,7668042,,
KILROY REALTY CORP,49427F108,102016,1535011,,KRC
PETROLEO BRASILEIRO SA,71654V408,97092,8842639,,
ANGLOGOLD ASHANTI LTD,035128206,89245,4253821,,
ITAU UNIBANCO HOLDING SA,465562106,84489,22530531,,
FREEPORT-MCMORAN INC,35671D857,82853,1985458,,FCX
ICICI BANK LTD,45104G104,81326,4109451,,IBN
CBL & ASSOCIATES PROPERTIES INC,124830878,67526,2164299,,CBL
CIVITAS RESOURCES INC,17888H103,64825,1323788,,
CBL & ASSOCIATES PROPERTIES INC,12511CAC4,62826,32852258,,CBL
MR COOPER GROUP INC,62482R107,62718,1507286,,
FORTRESS TRANSPORTATION AND INFRASTRUCTURE INVESTORS LLC,34960P101,58797,2033110,,
SUPER MICRO COMPUTER INC,86800U104,57706,1313000,,
EAGLE BULK SHIPPING INC,269442AB5,57555,40495000,,
LIBERTY GLOBAL PLC,G5480U120,52668,1875000,,
MAGNACHIP SEMICONDUCTOR CORP,55933J203,48231,2300000,,MX
UNITI GROUP INC,91325V108,47600,3397592,,UNIT
CVENT HOLDING CORP,126677103,40850,5000000,,
CREDICORP LTD,G2519Y108,40079,328331,,BAP
DISH NETWORK CORP,25470MAB5,39908,42051000,,
VALARIS LTD,G9460G101,38886,1080184,,VAL-WT
AZUL SA,05501U106,36890,2794724,,AZUXY
PAR PACIFIC HOLDINGS INC,69888T207,36442,2210000,,
MGIC INVESTMENT CORP,552848103,34002,2358000,,MTG
OAKTREE SPECIALTY LENDING CORP,67401P108,33498,4490368,,OCSL
BANCO BRADESCO SA,059460303,30343,8872492,,
OCWEN FINANCIAL CORP,675746606,30252,756870,,
BATTALION OIL CORP,07134L107,29497,3009912,,BATL
ACRES COMMERCIAL REALTY CORP,76120WAC8,29045,29021000,,ACR-PD
GARRETT MOTION INC,366505105,28852,3593111,,GTX
CHESAPEAKE ENERGY CORP,165167180,26462,808001,CALL,
HIMS & HERS HEALTH INC,433000106,24716,3773437,,
AFYA LTD,G01125106,24532,1561576,,AFYA
GRUPO TELEVISA SAB,40049J206,23657,2524761,,
FORTIVE CORP,34959JAK4,23592,23475000,,FTV
PRECIGEN INC,46122TAA0,23527,29429000,,
HOPE BANCORP INC,43940TAB5,21149,21636000,,HOPE
LENDINGTREE INC,52603BAD9,20525,24618000,,
SUPERNUS PHARMACEUTICALS INC,868459AD0,19714,19901000,,
SFL CORP LTD,824689AG8,19286,18930000,,SFL
BANK OF AMERICA CORP,060505682,19090,13208,,
DIGITALBRIDGE GROUP INC,19624RAA4,18922,18293000,,
KAMAN CORP,483548AF0,18765,18096000,,
LIGAND PHARMACEUTICALS INC,53220KAF5,18683,18672000,,LGNZZ
APOLLO COMMERCIAL REAL ESTATE FINANCE INC,03762UAC9,18627,18218000,,
MFA FINANCIAL INC,55272XAA0,17914,17225000,,
DISH NETWORK CORP,25470MAD1,17833,18552000,,
MANDIANT INC,31816QAD3,17630,17585000,,
PAMPA ENERGIA SA,697660207,17500,829000,,
NEW MOUNTAIN FINANCE CORP,647551AC4,17475,16467000,,NMFCZ
WESTERN DIGITAL CORP,958102AP0,17345,17100000,,WDC
GOLDMAN SACHS BDC INC,38147UAB3,17230,17060000,,
IONIS PHARMACEUTICALS INC,462222AB6,17143,19075000,,IONS
VISTA OIL & GAS SAB DE CV,92837L109,17135,3215002,,
REDWOOD TRUST INC,749772AD1,16231,15797000,,RWTS
TILRAY INC,88688TAB6,15004,15214000,,
KKR REAL ESTATE FINANCE TRUST INC,48251KAB6,14261,13452000,,KREF-PA
LIBERTY BROADBAND CORP,530307305,14015,86999,,LBRDP
PENNYMAC MORTGAGE INVESTMENT TRUST,70932AAD5,13425,13375000,,PMT-PC
BLACKSTONE MORTGAGE TRUST INC,09257WAB6,12733,12607000,,
EZCORP INC,302301AE6,12346,13596000,,EZPW
BLACKSTONE MORTGAGE TRUST INC,09257WAC4,11663,11317000,,
BLACKROCK TCP CAPITAL CORP,87238QAD5,11346,11248000,,TCPC
TELECOM ARGENTINA SA,879273209,11324,2220500,,TCMFF
NEW YORK MORTGAGE TRUST INC,649604AD7,11182,11066000,,
NICE LTD,653656AB4,10626,8715000,,NCSYF
ALTERYX INC,02156BAD5,10421,11042000,,
INNOVIVA INC,88338TAB0,10379,9501000,,
AKAMAI TECHNOLOGIES INC,00971TAL5,10298,8769000,,AKAM
TRAVERE THERAPEUTICS INC,761299AB2,10281,9310000,,
ARBOR REALTY TRUST INC,038923AP3,10161,9225000,,ABR-PF
HELLO GROUP INC,60879BAB3,9973,11530000,,MOMO
WELLS FARGO & CO,949746804,9564,6417,,
WEIBO CORP,948596AC5,9260,9449000,,WEIBF
PRETIUM RESOURCES INC,74139CAB8,8859,8804000,,
TRANSPORTADORA DE GAS DEL SUR SA,893870204,8718,1963575,,
SPLUNK INC,848637AD6,8699,7881000,,
VEECO INSTRUMENTS INC,922417AD2,8556,8358000,,VECO
NEW RELIC INC,64829BAB6,8477,7101000,,
REDWOOD TRUST INC,758075AC9,8318,8071000,,RWTS
HELIX ENERGY SOLUTIONS GROUP INC,42330PAH0,7787,7752000,,HLX
CHEGG INC,163092AF6,7710,9262000,,
STARWOOD PROPERTY TRUST INC,85571BAH8,7669,7291000,,
NORTHVIEW ACQUISITION CORP,66718N202,7537,750000,,
THERAVANCE BIOPHARMA INC,88339KAA0,7287,7509000,,
TRANSOCEAN LTD,893830BJ7,7106,7841000,,RIG
SAGALIAM ACQUISITION CORP,78661R205,7017,700000,,
LARKSPUR HEALTH ACQUISITION CORP,51724W206,7014,700000,,
