name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
BROOKFIELD CORP,11271J107,2004606527,34893064,,
RESTAURANT BRANDS INTL INC,76131D103,1499199575,23000914,,
CHIPOTLE MEXICAN GRILL INC,169656105,1486608040,24653533,,CMG
HOWARD HUGHES HOLDINGS INC,44267T102,1450100763,18852064,,HHH
ALPHABET INC,02079K107,1437361516,7547582,,GOOGN
NIKE INC,654106103,1420246144,18768946,,
HILTON WORLDWIDE HLDGS INC,43300A203,1344685349,5440546,,
CANADIAN PACIFIC KANSAS CITY,13646K108,1076695603,14877651,,
ALPHABET INC,02079K305,754642178,3986488,,GOOGN
SEAPORT ENTMT GROUP INC,812215200,140414651,5023780,,
