name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
NOVO-NORDISK A S,670100205,1516507,9370988,,
META PLATFORMS INC,30303M102,1300602,4532030,,
APPLE INC,037833100,954678,4921796,,AAPL
NVIDIA CORPORATION,67066G104,785081,1855904,,NVDA
VERISIGN INC,92343E102,690698,3056590,,
AIRBNB INC,009066101,678547,5294527,,
PALANTIR TECHNOLOGIES INC,69608A108,610121,39799157,,PLTR
GILEAD SCIENCES INC,375558103,599714,7781416,,
HERSHEY CO,427866108,573253,2295767,,HSY
FORTINET INC,34959E109,552264,7306045,,
TESLA INC,88160R101,547570,2091807,,
FRANCO NEV CORP,351858105,499201,3500703,,
UNITED THERAPEUTICS CORP DEL,91307C102,482827,2187214,,UTHR
BOEING CO,097023105,466600,2209700,,BA-PA
UBER TECHNOLOGIES INC,90353T100,448575,10390900,,
VERTEX PHARMACEUTICALS INC,92532F100,447686,1272161,,
CROWDSTRIKE HLDGS INC,22788C105,420243,2861329,,
KROGER CO,501044101,394788,8399754,,KR
SNOWFLAKE INC,833445109,386927,2198699,,SNOW
ZOOM VIDEO COMMUNICATIONS IN,98980L101,372394,5486068,,
ATLASSIAN CORPORATION,049468101,369387,2201223,,TEAM
HORIZON THERAPEUTICS PUB L,G46188101,354704,3448749,,
CATERPILLAR INC,149123101,329709,1340010,,CAT
LULULEMON ATHLETICA INC,550021109,328841,868800,,LULU
CHIPOTLE MEXICAN GRILL INC,169656105,328123,153400,,CMG
TAIWAN SEMICONDUCTOR MFG LTD,874039100,322916,3199720,,
BERKSHIRE HATHAWAY INC DEL,084670108,316382,611,,BRK-A
BIOGEN INC,09062X103,316052,1109537,,BIIB
FORD MTR CO DEL,345370860,313509,20721009,,
ALPHABET INC,02079K305,313130,2615960,,GOOGN
PFIZER INC,717081103,308539,8411641,,PFE
AMERICAN AIRLS GROUP INC,02376R102,306906,17107332,,
MOLINA HEALTHCARE INC,60855R100,301763,1001737,,
INCYTE CORP,45337C102,300555,4828189,,INCY
DOMINOS PIZZA INC,25754A201,293628,871325,,DPZ
ROBLOX CORP,771049103,287346,7130182,,RBLX
ASML HOLDING N V,N07059210,283039,390535,,
ULTA BEAUTY INC,90384S303,281745,598700,,
EXELIXIS INC,30161Q104,279915,14647589,,
CBOE GLOBAL MKTS INC,12503M108,276534,2003724,,
MCDONALDS CORP,580135101,276145,925386,,MCD
GENERAL MLS INC,370334104,273391,3564415,,
LI AUTO INC,50202M102,266704,7598400,,LAAOF
GENERAL MTRS CO,37045V100,255642,6629712,,
MONSTER BEVERAGE CORP NEW,61174X109,250910,4368218,,MNST
DROPBOX INC,26210C104,247973,9297833,,
NATIONAL GRID PLC,636274409,245462,3645654,,NMKBP
KEURIG DR PEPPER INC,49271V100,244312,7812970,,KDP
NOVARTIS AG,66987V109,237627,2354845,,NVSEF
HOLOGIC INC,436440101,235507,2908577,,
E L F BEAUTY INC,26856L103,220510,1930400,,
COINBASE GLOBAL INC,19260Q107,218728,3057000,,
INTERNATIONAL BUSINESS MACHS,459200101,216598,1618700,,
NETFLIX INC,64110L106,208939,474333,,NFLX
CAMPBELL SOUP CO,134429109,197997,4331580,,
BANK AMERICA CORP,060505104,197346,6878566,,
AUTOMATIC DATA PROCESSING IN,053015103,195842,891043,,
GENERAL ELECTRIC CO,369604301,195780,1782245,,GE
NIKE INC,654106103,192589,1744938,,
KIMBERLY-CLARK CORP,494368103,189556,1372994,,
VISA INC,92826C839,188961,795693,,V
ALLISON TRANSMISSION HLDGS I,01973R101,188826,3344419,,
CHEVRON CORP NEW,166764100,185087,1176277,,CVX
SPOTIFY TECHNOLOGY S A,L8681T102,182160,1134600,,
