name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
NU HLDGS LTD,G6683N103,3005699388,251944626,,
SNOWFLAKE INC,833445109,1218603784,7540865,,SNOW
PDD HOLDINGS INC,722304102,325370846,2798889,,PDD
DATADOG INC,23804L103,295330705,2389407,,
ROBINHOOD MKTS INC,770700102,259047857,12868746,,
MAPLEBEAR INC,565394103,188397247,5052219,,CART
DOORDASH INC,25809K105,113412420,823500,,
FULL TRUCK ALLIANCE CO LTD,35969L108,94930962,13057904,,
AIRBNB INC,009066101,84957039,515016,,
KE HLDGS INC,482497104,67746690,4934209,,
UNITY SOFTWARE INC,91332UAB7,60000000,60000000,,U
BRIDGEBIO PHARMA INC,10806X102,57522455,1860364,,
FRESHWORKS INC,358054104,52541368,2885303,,FRSH
UNITY SOFTWARE INC,91332U101,48206343,1805481,,U
BLOCK INC,852234103,45727839,540646,,
AMPLITUDE INC,03213A104,30452587,2798951,,
AURORA INNOVATION INC,051774107,2606853,924416,,
BITDEER TECHNOLOGIES GROUP,G11448100,969939,138168,,BTDR
MATTERPORT INC,577096100,607481,268797,,
COINBASE GLOBAL INC,19260Q107,549859,2074,,
ROIVANT SCIENCES LTD,G76279101,282124,26767,,ROIV
PRESTO AUTOMATION INC,74113T105,4226,24288,,
