name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
ENDEAVOR GROUP HLDGS INC,29260Y109,2366554882,91976482,,
FIRST ADVANTAGE CORP NEW,31846B108,1452628165,89557840,,FA
UNITY SOFTWARE INC,91332U101,927435287,34735404,,U
N-ABLE INC,62878D100,803463468,61473869,,
SOLARWINDS CORP,83417Q204,714941120,61473871,,
GLOBAL BLUE GROUP HOLDING AG,H33700107,660776104,126102310,,
EVERCOMMERCE INC,29977X105,631941981,67085136,,EVCM
MADISON SQUARE GRDN SPRT COR,55825T103,350580988,1899962,,
SOFI TECHNOLOGIES INC,83406F102,227425405,31154165,,
DELL TECHNOLOGIES INC,24703L202,50119490,440921,,DELL
GOODRX HLDGS INC,38246G108,25079160,3532276,,
VACASA INC,91854V206,21303498,3123680,,
SNOWFLAKE INC,833445109,1530514,9471,,SNOW
COINBASE GLOBAL INC.,19260QAB3,1152477,4347,,
GLOBAL BLUE GROUP HOLDING AG,H33700115,312662,9250350,,
