name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
ISHARES TR,464287242,265627778,2423390,,
ISHARES TR,464288513,188875000,2500000,PUT,
SEA LTD,81141RAF7,167004537,137225000,,SE
DIGITALOCEAN HLDGS INC,25402DAB8,162277766,206518000,,
ALPHABET INC,02079K305,147201168,1419080,,GOOGN
OKTA INC,679295AD7,139153083,152196000,,
HORIZON THERAPEUTICS PUB L,G46188101,138935220,1273000,CALL,
SPLUNK INC,848637AF1,137276719,159732000,,
FIRST HORIZON CORPORATION,320517105,129962679,7309487,,FHN-PH
UNITY SOFTWARE INC,91332UAB7,125906607,161500000,,U
CLOUDFLARE INC,18915MAC1,123424672,146000000,,
LIBERTY BROADBAND CORP,530307305,113554258,1389893,,LBRDP
RINGCENTRAL INC,76680RAF4,111826000,126500000,,
NIO INC,62914VAE6,107239538,115308000,,NIOIF
SEA LTD,81141RAG5,106918480,134511000,,SE
INVESCO QQQ TR,46090E103,105906900,330000,PUT,
BLACKLINE INC,09239BAD1,101413139,119000000,,
WAYFAIR INC,94419LAF8,100754993,152450000,,W
LYFT INC,55087PAB0,99309598,112000000,,
CONFLUENT INC,20717MAB9,97345847,122900000,,
SNAP INC,83304AAH9,95054734,134000000,,SNAP
MICROSTRATEGY INC,594972AC5,88550323,95642000,,
PELOTON INTERACTIVE INC,70614WAB6,88525509,116476000,,
SNAP INC,83304AAB2,88408271,96000000,,SNAP
NCL CORP LTD,62886HAX9,82273038,76000000,,
OKTA INC,679295AF2,82238773,95500000,,
SPDR S&P 500 ETF TR,78462F103,81878000,200000,PUT,
LUMENTUM HLDGS INC,55024UAD1,73621790,84000000,,
AMAZON COM INC,023135106,72980686,706561,,AMZN
AFFIRM HLDGS INC,00827BAB2,71553362,110500000,,
SPLUNK INC,848637104,69513000,725000,CALL,
DISH NETWORK CORPORATION,25470MAF6,66027151,123150000,,
WOLFSPEED INC,977852AB8,62840681,74600000,,
LUMENTUM HLDGS INC,55024UAF6,61924080,80500000,,
SPDR INDEX SHS FDS,78463X202,61724030,1374700,,
CERIDIAN HCM HLDG INC,15677JAD0,56189821,62275000,,
BLOCK INC,852234AK9,54456142,70709000,,
ZILLOW GROUP INC,98954MAE1,53789577,46000000,,
MICROSTRATEGY INC,594972AE1,53385851,98735000,,
BOWLERO CORP,10258P102,50850000,3000000,,
FIVE9 INC,338307101,50603000,700000,CALL,
AMERICAN WTR WKS CO INC NEW,030420103,46349436,316400,,
NCL CORP LTD,62886HBK6,45139511,59750000,,
ARAMARK,03852U106,43845155,1224725,,ARMK
OKTA INC,679295105,43120000,500000,CALL,
ACADEMY SPORTS & OUTDOORS IN,00402L107,42412500,650000,PUT,
ISHARES TR,464287234,39460000,1000000,CALL,
LAUDER ESTEE COS INC,518439104,39211047,159097,,
