name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
ALIBABA GROUP HLDG LTD,01609W102,48586,328172,,
ISHARES TR,464288281,44234,401906,,
LOGITECH INTL S A,H50430232,40153,450000,,
ISHARES INC,46434G772,36362,586392,,
LINDE PLC,G5494J103,29944,100891,,LIN
TAIWAN SEMICONDUCTOR MFG LTD,874039100,28928,259096,,
ISHARES INC,464286400,25897,806009,,
ISHARES TR,464287184,25341,650942,,
ISHARES INC,464286772,24549,304355,,
ISHARES TR,464287465,16913,216800,,
XILINX INC,983919101,10687,70781,,
VANECK ETF TRUST,92189F403,9176,302647,,
VANECK ETF TRUST,92189F676,7720,30126,,
SELECT SECTOR SPDR TR,81369Y605,6315,168263,,
JACKSON FINANCIAL INC,46817M107,5351,205823,,JXN-PA
NETEASE INC,64110W102,4790,56088,,
SHOPIFY INC,82509L107,3488,2573,,SHOP
TOYOTA MOTOR CORP,892331307,3149,17717,,
MICROSOFT CORP,594918104,2993,10615,,MSFT
LAM RESEARCH CORP,512807108,2965,5210,,LRCX
APPLE INC,037833100,2783,19668,,AAPL
BAIDU INC,056752108,2391,15551,,
PINDUODUO INC,722304102,1912,21086,,
AVIS BUDGET GROUP,053774105,1727,14825,,
BOEING CO,097023105,1650,7504,,BA-PA
BHP GROUP LTD,088606108,1643,30695,,BHPLF
DOLE PLC,G27907107,1563,92150,,DOLE
FACEBOOK INC,30303M102,1269,3739,,
AMAZON COM INC,023135106,1261,384,,AMZN
ALPHABET INC,02079K305,1179,441,,GOOGN
INVESCO EXCH TRADED FD TR II,46138G706,1165,14573,,
TESLA INC,88160R101,1162,1498,,
ALPHABET INC,02079K107,1111,417,,GOOGN
ISHARES TR,464288513,1037,11848,,
DBX ETF TR,233051879,1028,26981,,
GOLDMAN SACHS GROUP INC,38141G104,1001,2649,,GS-PD
VALE S A,91912E105,908,65067,,
ELBIT SYS LTD,M3760D101,837,5750,,
ISHARES INC,464286509,744,20501,,
KE HLDGS INC,482497104,646,35396,,
BILIBILI INC,090040106,631,9536,,BLBLF
FERRARI N V,N3167Y103,622,2964,,
SQUARE INC,852234103,550,2293,,
ANGLOGOLD ASHANTI LIMITED,035128206,534,33410,,
QIAGEN NV,N72482123,497,9566,,
VIACOMCBS INC,92556H206,449,11375,,
LIVEPERSON INC,538146101,448,7604,,LPSN
PERION NETWORK LTD,M78673114,444,25201,,PERI
NIKE INC,654106103,439,3023,,
ISHARES TR,464288224,433,20000,,
COSTCO WHSL CORP NEW,22160K105,413,918,,
COMCAST CORP NEW,20030N101,383,6844,,CCZ
ENBRIDGE INC,29250N105,382,9600,,ENBNF
GLOBAL X FDS,37954Y319,346,12802,,
PROCTER AND GAMBLE CO,742718109,318,2277,,
SEA LTD,81141R100,306,960,,SE
SALESFORCE COM INC,79466L302,296,1091,,
CIA ENERGETICA DE MINAS GERA,204409601,284,112597,,
PAYPAL HLDGS INC,70450Y103,275,1056,,
NETFLIX INC,64110L106,268,439,,NFLX
MICROSTRATEGY INC,594972408,265,458,,
ALCOA CORP,013872106,264,5339,,AA
STMICROELECTRONICS N V,861012102,255,5849,,
VISA INC,92826C839,252,1133,,V
JD.COM INC,47215P106,249,3430,,
ISHARES INC,464286715,242,11371,,
ADOBE SYSTEMS INCORPORATED,00724F101,235,409,,
WALMART INC,931142103,216,1553,,WMT
MASTERCARD INCORPORATED,57636Q104,211,606,,
FUELCELL ENERGY INC,35952H601,205,30619,,FCELB
GOLDEN OCEAN GROUP LTD,G39637205,176,16687,,
KAMADA LTD,M6240T109,141,26658,,KMDA
EVOGENE LTD,M4119S104,113,42546,,EVGN
OPKO HEALTH INC,68375N103,97,26549,,
COMPUGEN LTD,M25722105,96,15935,,CGEN
AURORA CANNABIS INC,05156X884,69,10000,,ACB
TRANSOCEAN INC,893830BJ7,40,47000,,
PLURISTEM THERAPEUTICS INC,72940R300,35,13164,,
