name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
GE AEROSPACE,369604301,9085855306,48180376,,
MOODYS CORP,615369105,6286784100,13246769,,
S&P GLOBAL INC,78409V104,5372887780,10400077,,SPGI
MICROSOFT CORP,594918104,5159550877,11990590,,MSFT
CANADIAN PACIFIC KANSAS CITY,13646K108,4696733365,54913285,,
VISA INC,92826C839,4618386566,16797187,,V
CANADIAN NATL RY CO,136375102,4150341855,35437277,,
ALPHABET INC,02079K107,2830034493,16927056,,GOOGN
ALPHABET INC,02079K305,999645949,6027410,,GOOGN
FERROVIAL SE,N3168P101,820309341,19095244,,
