name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
BAXTER INTL INC,071813109,1463350,17500000,,
UNITED TECHNOLOGIES CORP,913017109,779800,5207000,,
CAMPBELL SOUP CO,134429109,711648,14400000,,
ALLERGAN PLC,G0177J108,688212,3600000,,
DANAHER CORPORATION,235851102,569411,3710000,,
SALESFORCE COM INC,79466L302,357808,2200000,,
FIDELITY NATL INFORMATION SV,31620M106,347725,2500000,,
BURLINGTON STORES INC,122017106,319242,1400000,,
ADOBE INC,00724F101,313320,950000,,ADBE
IQVIA HLDGS INC,46266C105,309020,2000000,,
IAA INC,449253103,305890,6500000,,
VISA INC,92826C839,281850,1500000,,V
BOSTON SCIENTIFIC CORP,101137107,226100,5000000,,BSX
S&P GLOBAL INC,78409V104,218440,800000,,SPGI
FOX CORP,35137L105,185350,5000000,,FOX
FAR PT ACQUISITION CORP,30734W109,162104,15692500,,
FIVE BELOW INC,33829M101,153432,1200000,,
CENTENE CORP DEL,15135B101,150888,2400000,,CNC
TD AMERITRADE HLDG CORP,87236Y108,149100,3000000,,
AMAZON COM INC,023135106,129349,70000,,AMZN
AVANTOR INC,05352A100,127050,7000000,,
BLACK KNIGHT INC,09215C105,122512,1900000,,
RAYTHEON CO,755111507,122000,555200,,
VIACOMCBS INC,92556H206,115418,2750000,,
SONY CORP,835699307,102000,1500000,,
THE CHARLES SCHWAB CORPORATI,808513105,47560,1000000,,
FAR PT ACQUISITION CORP,30734W208,43200,4000000,,
KADMON HLDGS INC,48283N106,42617,9407745,,
GROCERY OUTLET HLDG CORP,39874R101,37318,1150000,,
XP INC,G98239109,30816,800000,,XP
FERRARI N V,N3167Y103,24831,150000,,
BRISTOL MYERS SQUIBB CO,110122157,21070,7000000,,CELG-RI
GTT COMMUNICATIONS INC,362393100,17252,1520000,,
REPLAY ACQUISITION CORP,G75130123,10370,1000000,,
CANNAE HLDGS INC,13765N107,6508,175000,,
ISHARES TR,464287457,3581,42309,,
CLEAR CHANNEL OUTDOOR HLDGS,18453H106,715,250000,,
