name_of_issuer,cusip,value_usd_thousands,shares,put_call,ticker
CITIGROUP INC,172967424,1936002,28025500,,C-PR
SEAGATE TECHNOLOGY PLC,G7945M107,1697309,31554360,,
KKR & CO INC,48251W104,1291485,48100000,,
MORGAN STANLEY,617446448,949408,22250000,,MS-PQ
CBRE GROUP INC,12504L109,542059,10225592,,
LKQ CORP,501889208,504229,16032718,,LKQ
ALLIANCE DATA SYSTEMS CORP,018581108,475061,3707646,,
TRINITY INDS INC,896522109,444014,22561698,,
BAUSCH HEALTH COS INC,071734107,391805,17931594,,
SLM CORP,78442P106,345801,39184254,,SLMBP
STARS GROUP INC,85570W100,204177,13630000,,
HAWAIIAN ELEC INDUSTRIES,419870100,73922,1620747,,
AES CORP,00130H105,71022,4346500,,AES
STRATEGIC ED INC,86272C103,68044,500765,,
ENVIVA PARTNERS LP,29414J107,67231,2104261,,
ARCOSA INC,039653100,53958,1577265,,
LINDBLAD EXPEDITIONS HLDGS I,535219109,47937,2860188,,
DARLING INGREDIENTS INC,237266101,42851,2240000,,DAR
UNIFI INC,904677200,31062,1417054,,UFI
PG&E CORP,69331C108,14448,1444800,,PCG-PX
PARSONS CORPORATION,70202L102,9828,298000,,PSN
ARMSTRONG FLOORING INC,04238R106,7813,1222756,,
