fund,quarter,reason
soros,2026Q2,no_filing
de_shaw,2026Q2,no_filing
bridgewater,2026Q2,no_filing
aqr,2026Q2,no_filing
citadel,2026Q2,no_filing
point72,2026Q2,no_filing
millennium,all,cik_mismatch NTS REALTY HOLDINGS LP -> search 0001273087
millennium,2026Q2,no_filing
tiger_global,all,cik_mismatch TSG5 LP -> search 0001167483
tiger_global,2026Q2,no_filing
viking,2019Q3,xml_parse_error 0001103804-19-000014
viking,2026Q2,no_filing
lone_pine,2026Q2,no_filing
pershing_square,2026Q2,no_filing
coatue,all,cik_from_search replaced Coatue Management LLC
coatue,2026Q2,no_filing
third_point,all,cik_mismatch SOHU COM INC -> search 0001040273
third_point,2026Q2,no_filing
berkshire,2026Q2,no_filing
baupost,2026Q2,no_filing
valueact,2026Q2,no_filing
canyon,all,cik_mismatch RESIDENTIAL ASSET FUNDING CORP -> search 0001074034
canyon,2026Q2,no_filing
farallon,all,cik_from_search replaced Farallon Capital Management LLC
farallon,2026Q2,no_filing
magnetar,all,cik_mismatch SKILLICORN JEFF -> search 0001352851
magnetar,2026Q2,no_filing
davidson_kempner,all,cik_mismatch GOLFSMITH INTERNATIONAL HOLDINGS INC -> search 0001595082
davidson_kempner,2026Q2,no_filing
goldentree,all,cik_mismatch GSRWB INC -> search 0001278951
goldentree,2026Q2,no_filing
king_street,2026Q2,no_filing
appaloosa,2026Q2,no_filing
jennison,all,cik_from_search replaced Jennison Associates LLC
geode,2026Q2,no_filing
two_sigma,2026Q2,no_filing
jane_street,2026Q2,no_filing
anchorage,2026Q2,no_filing
oaktree,2026Q2,no_filing
silver_lake,2026Q2,no_filing
renaissance,2019Q1,no_filing
renaissance,2019Q2,no_filing
renaissance,2019Q3,no_filing
renaissance,2026Q2,no_filing
tci,2026Q2,no_filing
elliott,2019Q1,no_filing
elliott,2019Q2,no_filing
elliott,2019Q3,no_filing
elliott,2019Q4,no_filing
elliott,2026Q2,no_filing
susquehanna,2024Q4,xml_parse_error 0001765924-25-000001
susquehanna,2025Q1,xml_parse_error 0001765924-25-000002
susquehanna,2025Q2,xml_parse_error 0001765924-25-000004
susquehanna,2025Q3,xml_parse_error 0001765924-25-000006
susquehanna,2025Q4,xml_parse_error 0001765924-26-000001
susquehanna,2026Q1,xml_parse_error 0001765924-26-000002
susquehanna,2026Q2,no_filing
balyasny,2026Q2,no_filing
sequoia,2026Q2,no_filing
artisan,2026Q2,no_filing
blackrock,2019Q1,no_filing
blackrock,2019Q2,no_filing
blackrock,2019Q3,no_filing
blackrock,2019Q4,no_filing
blackrock,2020Q1,no_filing
blackrock,2020Q2,no_filing
blackrock,2020Q3,no_filing
blackrock,2020Q4,no_filing
blackrock,2021Q1,no_filing
blackrock,2021Q2,no_filing
blackrock,2021Q3,no_filing
blackrock,2021Q4,no_filing
blackrock,2022Q1,no_filing
blackrock,2022Q2,no_filing
blackrock,2022Q3,no_filing
blackrock,2022Q4,no_filing
blackrock,2023Q1,no_filing
blackrock,2023Q2,no_filing
blackrock,2023Q3,no_filing
blackrock,2024Q3,no_filing
blackrock,2024Q4,no_filing
blackrock,2025Q1,no_filing
blackrock,2025Q2,no_filing
blackrock,2025Q3,no_filing
blackrock,2025Q4,no_filing
blackrock,2026Q1,no_filing
blackrock,2026Q2,no_filing
vanguard,2019Q1,no_filing
vanguard,2019Q2,no_filing
vanguard,2019Q3,no_filing
vanguard,2019Q4,no_filing
vanguard,2020Q1,no_filing
vanguard,2020Q2,no_filing
vanguard,2020Q3,no_filing
vanguard,2020Q4,no_filing
vanguard,2021Q1,no_filing
vanguard,2021Q2,no_filing
vanguard,2021Q3,no_filing
vanguard,2021Q4,no_filing
vanguard,2022Q1,no_filing
vanguard,2022Q2,no_filing
vanguard,2022Q3,no_filing
vanguard,2022Q4,no_filing
vanguard,2023Q1,no_filing
vanguard,2023Q2,no_filing
vanguard,2023Q3,no_filing
vanguard,2023Q4,no_filing
vanguard,2024Q1,no_filing
vanguard,2024Q2,no_filing
vanguard,2024Q3,no_filing
vanguard,2024Q4,no_filing
vanguard,2026Q1,xml_parse_error 0000102909-26-002707
vanguard,2026Q2,no_filing
state_street,2019Q1,no_filing
state_street,2019Q2,no_filing
state_street,2019Q3,no_filing
state_street,2019Q4,no_filing
state_street,2020Q1,no_filing
state_street,2020Q2,no_filing
state_street,2020Q3,no_filing
state_street,2020Q4,no_filing
state_street,2021Q1,no_filing
state_street,2021Q2,no_filing
state_street,2021Q3,no_filing
state_street,2021Q4,no_filing
state_street,2022Q1,no_filing
state_street,2022Q2,no_filing
state_street,2022Q3,no_filing
state_street,2022Q4,no_filing
state_street,2023Q1,no_filing
state_street,2023Q2,no_filing
state_street,2023Q3,no_filing
state_street,2023Q4,no_filing
state_street,2024Q1,no_filing
state_street,2024Q2,no_filing
fmr,all,cik_from_search replaced FMR LLC
fmr,2019Q1,no_filing
fmr,2019Q2,no_filing
fmr,2019Q3,no_filing
fmr,2019Q4,no_filing
fmr,2020Q1,no_filing
fmr,2020Q2,no_filing
fmr,2020Q3,no_filing
fmr,2020Q4,no_filing
fmr,2021Q1,no_filing
fmr,2021Q2,no_filing
fmr,2021Q3,no_filing
fmr,2021Q4,no_filing
fmr,2022Q1,no_filing
fmr,2022Q2,no_filing
fmr,2022Q3,no_filing
fmr,2022Q4,no_filing
fmr,2023Q1,no_filing
fmr,2023Q2,no_filing
fmr,2023Q3,no_filing
fmr,2023Q4,no_filing
fmr,2024Q1,no_filing
fmr,2024Q2,no_filing
fmr,2024Q3,no_filing
fmr,2024Q4,no_filing
fmr,2025Q1,no_filing
fmr,2026Q2,no_filing
morgan_stanley,2019Q1,no_filing
morgan_stanley,2019Q2,no_filing
morgan_stanley,2019Q3,no_filing
morgan_stanley,2019Q4,no_filing
morgan_stanley,2020Q1,no_filing
morgan_stanley,2020Q2,no_filing
morgan_stanley,2020Q3,no_filing
morgan_stanley,2020Q4,no_filing
morgan_stanley,2021Q1,no_filing
morgan_stanley,2021Q2,no_filing
morgan_stanley,2021Q3,no_filing
morgan_stanley,2021Q4,no_filing
morgan_stanley,2022Q1,no_filing
morgan_stanley,2022Q2,no_filing
morgan_stanley,2022Q3,no_filing
morgan_stanley,2022Q4,no_filing
morgan_stanley,2023Q1,no_filing
morgan_stanley,2023Q2,no_filing
morgan_stanley,2023Q3,no_filing
morgan_stanley,2023Q4,no_filing
morgan_stanley,2024Q1,no_filing
morgan_stanley,2024Q2,no_filing
morgan_stanley,2024Q3,no_filing
morgan_stanley,2024Q4,no_filing
morgan_stanley,2025Q1,no_filing
morgan_stanley,2026Q2,no_filing
goldman_sachs,2019Q1,no_filing
goldman_sachs,2019Q2,no_filing
goldman_sachs,2019Q3,no_filing
goldman_sachs,2019Q4,no_filing
goldman_sachs,2020Q1,no_filing
goldman_sachs,2020Q2,no_filing
goldman_sachs,2020Q3,no_filing
goldman_sachs,2020Q4,no_filing
goldman_sachs,2021Q1,no_filing
goldman_sachs,2021Q2,no_filing
goldman_sachs,2021Q3,no_filing
goldman_sachs,2021Q4,no_filing
goldman_sachs,2022Q1,no_filing
goldman_sachs,2022Q2,no_filing
goldman_sachs,2022Q3,no_filing
goldman_sachs,2022Q4,no_filing
goldman_sachs,2023Q1,no_filing
goldman_sachs,2023Q2,no_filing
goldman_sachs,2023Q3,no_filing
goldman_sachs,2023Q4,no_filing
goldman_sachs,2024Q1,no_filing
goldman_sachs,2024Q2,no_filing
goldman_sachs,2024Q3,no_filing
goldman_sachs,2024Q4,no_filing
goldman_sachs,2025Q1,no_filing
goldman_sachs,2025Q4,xml_parse_error 0000886982-26-000052
goldman_sachs,2026Q2,no_filing
t_rowe,all,cik_unverified_not_13f_filer name_mismatch EDGAR=LAST ROBERT ROY                                         /BD
capital_world,all,cik_from_search replaced Capital World Investors
capital_world,2019Q1,no_filing
capital_world,2019Q2,no_filing
capital_world,2019Q3,no_filing
capital_world,2026Q2,no_filing
northern_trust,2019Q1,no_filing
northern_trust,2019Q2,no_filing
northern_trust,2019Q3,no_filing
northern_trust,2019Q4,no_filing
northern_trust,2026Q2,no_filing
jp_morgan,2019Q1,no_filing
jp_morgan,2019Q2,no_filing
jp_morgan,2019Q3,no_filing
jp_morgan,2019Q4,no_filing
jp_morgan,2020Q1,no_filing
jp_morgan,2020Q2,no_filing
jp_morgan,2020Q3,no_filing
jp_morgan,2020Q4,no_filing
jp_morgan,2021Q1,no_filing
jp_morgan,2021Q2,no_filing
jp_morgan,2021Q3,no_filing
jp_morgan,2021Q4,no_filing
jp_morgan,2022Q1,no_filing
jp_morgan,2022Q2,no_filing
jp_morgan,2022Q3,no_filing
jp_morgan,2022Q4,no_filing
jp_morgan,2023Q1,no_filing
jp_morgan,2023Q2,no_filing
jp_morgan,2023Q3,no_filing
jp_morgan,2023Q4,no_filing
jp_morgan,2024Q1,no_filing
jp_morgan,2024Q2,no_filing
jp_morgan,2024Q3,no_filing
jp_morgan,2024Q4,no_filing
jp_morgan,2025Q1,no_filing
jp_morgan,2026Q2,no_filing
wellington,2019Q2,no_filing
wellington,2026Q2,no_filing
