quarter,symbol,error
2019Q1,QQQ,Failed GDELT API requests
2019Q1,XLE,Failed GDELT API requests
2019Q1,V,Failed GDELT API requests
2019Q1,V,Failed GDELT API requests
2019Q1,V,Failed GDELT API requests
2019Q1,V,Failed GDELT API requests
2019Q1,GLD,Failed GDELT API requests
2019Q1,^VIX,Failed GDELT API requests
2019Q1,V,Failed GDELT API requests
2019Q1,UNH,Failed GDELT API requests
2019Q1,V,Failed GDELT API requests
2019Q1,V,Failed GDELT API requests
2019Q1,GOOGL,Failed GDELT API requests
2019Q1,V,Failed GDELT API requests
2019Q1,AAPL,Failed GDELT API requests
2019Q1,WMT,Failed GDELT API requests
2019Q1,XLF,Failed GDELT API requests
2019Q1,AAPL,Failed GDELT API requests
2019Q1,HYG,Failed GDELT API requests
2019Q1,XLE,Failed GDELT API requests
2019Q1,QQQ,Failed GDELT API requests
2019Q1,HYG,Failed GDELT API requests
2019Q1,MSFT,Failed GDELT API requests
2019Q1,TLT,Failed GDELT API requests
2019Q1,SPY,Failed GDELT API requests
2019Q1,IWM,[Errno 22] Invalid argument
2019Q1,NVDA,Failed GDELT API requests
2019Q1,HYG,[Errno 22] Invalid argument
