date,open,high,low,close,volume,source
2019-01-02,109.62771544,111.00272595,109.16088688,110.4595108,2190100,yfinance
2019-01-03,109.07597916,109.7465181,106.99648475,107.12380219,3854000,yfinance
2019-01-04,108.97413825,111.5204613,108.25268135,111.39315033,2161300,yfinance
2019-01-07,111.18094632,112.16551463,109.91626799,110.79050446,3455800,yfinance
2019-01-08,111.59685735,112.40319046,109.5428248,111.44408417,2275600,yfinance
2019-01-09,111.91937645,111.91937645,109.89080645,111.5459137,1844500,yfinance
2019-01-10,110.78201816,112.53049104,110.77352213,112.42864227,2051900,yfinance
2019-01-11,111.86844329,112.03819554,110.90932429,111.74111938,1185700,yfinance
2019-01-14,110.4764761,111.74114164,110.34066909,111.10456085,1787800,yfinance
2019-01-15,111.14699328,113.07371459,111.14699328,112.31830597,3286100,yfinance
2019-01-16,112.59841128,113.35381995,111.90241008,112.68328094,2081000,yfinance
2019-01-17,112.14856961,113.52358005,112.0806661,112.83607483,2194800,yfinance
2019-01-18,113.9479508,114.90706991,112.92092819,114.73730469,2281000,yfinance
2019-01-22,113.72726636,114.17711568,112.07214621,113.03126526,2908900,yfinance
2019-01-23,113.41324769,114.27051825,112.58993536,114.0922699,1923000,yfinance
2019-01-24,114.29594314,115.19564177,113.62540423,114.37232971,1903200,yfinance
2019-01-25,115.45027434,116.06139283,114.80519764,115.78129578,1712000,yfinance
2019-01-28,114.55060913,115.20415615,113.98191883,115.00894165,1930600,yfinance
2019-01-29,114.89859569,115.33147895,113.53206827,113.73577881,1726500,yfinance
2019-01-30,116.2820799,119.49892882,114.59301437,118.32762909,3734300,yfinance
2019-01-31,117.83533147,119.80448101,117.24119208,118.69258881,5836600,yfinance
2019-02-01,118.58225076,120.26282007,118.58225076,120.20339966,2940900,yfinance
2019-02-04,120.29680555,121.96040926,120.00822533,121.90948486,2848000,yfinance
2019-02-05,123.08926066,123.48818564,122.32535597,123.31842041,2802400,yfinance
2019-02-06,123.07226149,123.99742228,122.73275699,123.53059387,2039600,yfinance
2019-02-07,122.24051159,123.82771582,122.16411204,123.64946747,2638200,yfinance
2019-02-08,122.49511884,124.64251688,122.25745011,124.60855865,1712000,yfinance
2019-02-11,124.93107386,125.39790225,124.59155642,125.20267487,1949600,yfinance
2019-02-12,126.22124335,127.25673617,125.84778055,126.89176941,2181800,yfinance
2019-02-13,127.31614686,128.46199737,127.22278117,127.70658875,2136700,yfinance
2019-02-14,127.00209826,127.3161406,125.67801247,125.74590302,2656900,yfinance
2019-02-15,126.93418487,127.58774463,125.99204499,127.03603363,2862900,yfinance
2019-02-19,126.48435621,127.78297991,126.48435621,127.57926941,1354800,yfinance
2019-02-20,127.87635601,127.91879732,126.86631239,127.79147339,1622000,yfinance
2019-02-21,127.43495152,128.58928489,126.98510225,128.1479187,1309200,yfinance
2019-02-22,128.69114257,130.04070341,128.35163806,130.01522827,1608800,yfinance
