date,open,high,low,close,volume,source
2019-01-02,125.38999939,129.63999939,124.65000153,128.96000671,1517500,yfinance
2019-01-03,126.48999786,127.5,121.12000275,121.84999847,2564700,yfinance
2019-01-04,124.37000275,129.36999512,121.80999756,128.27999878,2480600,yfinance
2019-01-07,128.27000427,133.3999939,128.1499939,132.72000122,1634600,yfinance
2019-01-08,134.25999451,135.69999695,132.25,133.86999512,1324800,yfinance
2019-01-09,134.72000122,137.77999878,133.41000366,136.77000427,1770500,yfinance
2019-01-10,135.21000671,137.52999878,134.8500061,136.71000671,1517600,yfinance
2019-01-11,135.77999878,137.5,135.25,136.74000549,903200,yfinance
2019-01-14,135.36999512,136.17999268,134.11999512,134.75,906300,yfinance
2019-01-15,131.88000488,137.44999695,131.88000488,135.88000488,1574000,yfinance
2019-01-16,136.17999268,137.5,134.80000305,135.30000305,1425800,yfinance
2019-01-17,134.63000488,137.8999939,134.25999451,136.5,2127900,yfinance
2019-01-18,138.28999329,141.83999634,135.46000671,141.72999573,2684500,yfinance
2019-01-22,140.27999878,141.52000427,138.11999512,139.05999756,2015500,yfinance
2019-01-23,139.46000671,141.13999939,136.55999756,137.49000549,1637900,yfinance
2019-01-24,136.02000427,137.5,135.24000549,136.05000305,2117900,yfinance
2019-01-25,138.11000061,142.47999573,137.75999451,142.08000183,1959500,yfinance
2019-01-28,140.6499939,141.08999634,138.74000549,140.77000427,1314600,yfinance
2019-01-29,140.91999817,141.77000427,139.00999451,140.16000366,806600,yfinance
2019-01-30,141.67999268,146.05999756,140.61000061,146.0,1295800,yfinance
2019-01-31,146.19999695,148.57000732,145.86000061,147.19999695,1416300,yfinance
2019-02-01,147.77999878,149.55999756,146.8999939,149.07000732,1647400,yfinance
2019-02-04,149.05999756,152.6499939,149.0,151.58999634,1717500,yfinance
2019-02-05,151.72999573,153.69000244,151.66999817,152.41999817,1591400,yfinance
2019-02-06,152.16000366,153.13999939,150.78999329,152.27999878,1325800,yfinance
2019-02-07,151.0,151.92999268,149.13999939,150.55999756,1859600,yfinance
2019-02-08,149.11999512,154.41000366,149.11999512,154.30999756,1407900,yfinance
2019-02-11,155.0,156.27000427,153.80000305,154.57000732,1432200,yfinance
2019-02-12,156.3999939,159.61000061,155.88999939,159.53999329,1738900,yfinance
2019-02-13,159.97000122,161.1000061,159.21000671,160.02999878,1898000,yfinance
2019-02-14,158.83999634,161.05000305,158.00999451,159.94000244,1470400,yfinance
2019-02-15,161.50999451,161.50999451,159.38999939,160.3500061,1699100,yfinance
2019-02-19,160.42999268,160.97000122,159.0,160.67999268,1758600,yfinance
2019-02-20,160.55000305,161.49000549,158.47999573,159.80000305,1175500,yfinance
2019-02-21,159.63999939,160.67999268,158.8500061,159.83000183,1050500,yfinance
2019-02-22,160.86999512,161.77999878,160.19000244,161.50999451,948800,yfinance
2019-02-25,163.53999329,166.28999329,163.49000549,163.94000244,1976500,yfinance
2019-02-26,163.77999878,164.28999329,161.71000671,163.30999756,1576000,yfinance
2019-02-27,162.58999634,164.32000732,160.66000366,164.27999878,1530900,yfinance
2019-02-28,164.07000732,164.66999817,162.58999634,163.00999451,2233300,yfinance
2019-03-01,167.77000427,169.05000305,158.3999939,159.77000427,3836700,yfinance
2019-03-04,161.0,161.83999634,153.25,157.78999329,4197500,yfinance
2019-03-05,158.19999695,158.19999695,154.16999817,154.71000671,2193300,yfinance
2019-03-06,154.75999451,155.96000671,152.03999329,153.50999451,1803500,yfinance
2019-03-07,152.8999939,153.97000122,150.88000488,152.77000427,3167600,yfinance
2019-03-08,150.28999329,152.5,149.5,152.36999512,1692100,yfinance
2019-03-11,152.38999939,155.27999878,151.86000061,154.03999329,2074600,yfinance
2019-03-12,154.36000061,155.38999939,152.88000488,154.80999756,1418600,yfinance
2019-03-13,155.33999634,157.08999634,153.21000671,153.38000488,2143600,yfinance
2019-03-14,153.05000305,154.25999451,151.92999268,153.1499939,2233800,yfinance
2019-03-15,152.69999695,154.67999268,152.46000671,153.27999878,3513600,yfinance
2019-03-18,153.28999329,155.32000732,152.33000183,153.8500061,1925200,yfinance
2019-03-19,154.61999512,156.11999512,153.66000366,155.1000061,2172900,yfinance
2019-03-20,156.0,156.27000427,152.36000061,154.30999756,1805700,yfinance
2019-03-21,154.27000427,159.03999329,154.27000427,158.82000732,1550300,yfinance
2019-03-22,158.0,158.82000732,153.94000244,154.22000122,1858300,yfinance
2019-03-25,153.52999878,155.55000305,152.42999268,154.69000244,1768900,yfinance
2019-03-26,155.49000549,157.38999939,154.86000061,155.91000366,1511400,yfinance
2019-03-27,155.6499939,156.1000061,151.1499939,153.1000061,1595400,yfinance
2019-03-28,153.74000549,154.52999878,151.19999695,153.02999878,1483500,yfinance
2019-03-29,154.69000244,155.94000244,153.86000061,155.82000732,1833400,yfinance
2019-04-01,158.22000122,163.97000122,157.28999329,163.82000732,3886200,yfinance
2019-04-02,163.52999878,164.8500061,163.02999878,164.3500061,1904100,yfinance
2019-04-03,165.55000305,168.55999756,165.0,166.6499939,2655600,yfinance
2019-04-04,166.69000244,168.0,163.22000122,165.05000305,2234600,yfinance
2019-04-05,166.03999329,167.1499939,165.13999939,166.33000183,1259100,yfinance
2019-04-08,165.82000732,166.92999268,163.13000488,166.74000549,1699100,yfinance
2019-04-09,166.1499939,167.36999512,165.55999756,167.05999756,1214000,yfinance
2019-04-10,167.30000305,170.91000366,167.16999817,170.46000671,1643500,yfinance
2019-04-11,171.32000732,172.11000061,170.02999878,171.88000488,1601300,yfinance
2019-04-12,173.02000427,173.44000244,170.6499939,171.86999512,1404500,yfinance
2019-04-15,172.00999451,173.22000122,170.99000549,172.77000427,984600,yfinance
2019-04-16,173.0,174.3999939,171.33999634,172.66999817,1516600,yfinance
2019-04-17,173.11999512,173.3999939,167.61000061,168.02999878,1862600,yfinance
2019-04-18,168.3500061,169.38000488,164.80999756,169.19999695,1634600,yfinance
2019-04-22,168.69000244,172.30999756,167.8999939,172.1499939,1245600,yfinance
2019-04-23,173.0,176.21000671,172.5,175.27999878,1889400,yfinance
2019-04-24,175.03999329,177.36999512,175.03999329,176.30999756,1168800,yfinance
2019-04-25,176.75999451,177.47999573,172.91999817,175.32000732,1415500,yfinance
2019-04-26,175.36999512,177.11000061,174.30999756,176.99000549,1263700,yfinance
2019-04-29,177.28999329,178.55999756,176.3500061,176.67999268,1188500,yfinance
2019-04-30,176.66999817,178.41999817,175.38000488,178.21000671,1072200,yfinance
2019-05-01,178.92999268,178.94999695,173.8999939,173.97000122,1292200,yfinance
2019-05-02,173.63999939,174.66000366,171.33000183,173.36000061,996700,yfinance
2019-05-03,174.72000122,176.88000488,174.05999756,176.69999695,959600,yfinance
2019-05-06,171.80000305,175.50999451,169.80000305,175.27999878,1271000,yfinance
2019-05-07,173.0,174.21000671,168.86999512,170.72000122,1725400,yfinance
2019-05-08,170.33999634,172.78999329,169.72000122,171.50999451,1097200,yfinance
2019-05-09,169.22999573,172.00999451,167.46000671,171.41999817,1267600,yfinance
2019-05-10,170.63999939,174.19000244,167.80999756,173.77000427,1302200,yfinance
2019-05-13,168.05000305,170.71000671,164.6000061,164.92999268,1802100,yfinance
2019-05-14,166.72999573,170.75,166.13999939,169.96000671,1339700,yfinance
2019-05-15,168.16999817,173.92999268,168.16999817,173.32000732,1475000,yfinance
2019-05-16,174.1499939,178.41999817,173.75999451,176.67999268,1261200,yfinance
2019-05-17,174.97000122,177.69999695,173.88999939,174.33000183,1276100,yfinance
2019-05-20,172.42999268,172.83000183,168.30999756,170.61000061,1717800,yfinance
2019-05-21,172.75999451,174.94000244,172.22999573,174.22999573,1478600,yfinance
2019-05-22,173.86999512,175.47000122,173.24000549,174.02999878,1257000,yfinance
2019-05-23,170.00999451,173.74000549,167.13999939,169.53999329,2521800,yfinance
2019-05-24,160.67999268,165.17999268,158.50999451,161.22000122,6108900,yfinance
2019-05-28,161.52000427,165.3500061,160.69999695,161.08999634,3036900,yfinance
2019-05-29,160.0,162.28999329,159.25999451,161.52000427,2439300,yfinance
2019-05-30,161.86999512,163.55999756,161.30999756,162.61999512,1110100,yfinance
2019-05-31,160.0,162.47000122,159.78999329,160.91000366,1862900,yfinance
2019-06-03,161.41999817,161.77000427,153.55000305,154.82000732,2980100,yfinance
2019-06-04,157.58000183,160.05000305,155.80999756,159.91000366,1877000,yfinance
2019-06-05,162.32000732,162.55999756,158.44999695,161.30999756,1229200,yfinance
2019-06-06,161.08999634,161.47999573,158.36999512,161.16000366,1236500,yfinance
2019-06-07,162.03999329,166.0,161.66999817,165.30000305,1388900,yfinance
2019-06-10,166.38000488,168.1499939,164.99000549,165.11999512,1504300,yfinance
2019-06-11,166.94000244,167.92999268,162.02999878,163.19999695,1363600,yfinance
2019-06-12,163.46000671,163.80999756,161.72000122,163.77000427,901800,yfinance
2019-06-13,164.53999329,164.88000488,161.77000427,162.32000732,1121400,yfinance
2019-06-14,161.8500061,163.0,156.22000122,158.16000366,1573800,yfinance
2019-06-17,158.38999939,158.80999756,157.08999634,157.38000488,1423300,yfinance
2019-06-18,159.86999512,163.38000488,159.27000427,161.8999939,1427800,yfinance
2019-06-19,163.00999451,166.78999329,162.3500061,165.63000488,2892600,yfinance
2019-06-20,169.02999878,171.11000061,167.88999939,169.44999695,2739900,yfinance
2019-06-21,169.33000183,171.67999268,169.0,170.88999939,3079900,yfinance
2019-06-24,171.36999512,171.83000183,168.28999329,168.5,2507700,yfinance
2019-06-25,169.27999878,169.36999512,162.83999634,163.16000366,2368300,yfinance
2019-06-26,164.16999817,165.80999756,162.32000732,162.47999573,1157300,yfinance
2019-06-27,163.1499939,166.07000732,162.77999878,165.25,1624000,yfinance
2019-06-28,166.11999512,166.36000061,162.86999512,162.8999939,4849700,yfinance
2019-07-01,166.99000549,170.05999756,165.52000427,169.28999329,2262200,yfinance
2019-07-02,169.11000061,170.32000732,168.3999939,170.1000061,862200,yfinance
2019-07-03,170.36000061,172.17999268,168.83999634,172.0,852800,yfinance
2019-07-05,170.38999939,172.33999634,169.44000244,172.22999573,1233400,yfinance
2019-07-08,170.75,171.38999939,168.77000427,169.86999512,1766300,yfinance
2019-07-09,168.77000427,171.42999268,168.25999451,171.3500061,1257400,yfinance
2019-07-10,172.50999451,175.27999878,172.0,172.74000549,1419100,yfinance
2019-07-11,173.11000061,174.80000305,171.5,173.33000183,1111200,yfinance
2019-07-12,174.46000671,174.46000671,170.92999268,174.19000244,1224400,yfinance
2019-07-15,174.8999939,174.8999939,172.69999695,173.71000671,812500,yfinance
2019-07-16,174.02000427,174.66000366,170.66999817,171.00999451,1076000,yfinance
2019-07-17,170.6499939,172.02000427,169.77000427,171.61999512,1102600,yfinance
2019-07-18,170.67999268,173.63000488,170.57000732,172.38000488,904300,yfinance
2019-07-19,173.30000305,174.3500061,169.21000671,169.30999756,1155900,yfinance
2019-07-22,170.30999756,172.27000427,170.08999634,170.36000061,1072300,yfinance
2019-07-23,171.44999695,171.44999695,167.97000122,169.74000549,952300,yfinance
2019-07-24,169.02000427,173.94999695,167.92999268,173.50999451,1086400,yfinance
2019-07-25,171.91000366,172.75999451,167.1499939,169.91999817,1591000,yfinance
2019-07-26,170.22999573,171.50999451,167.77000427,167.99000549,1159200,yfinance
2019-07-29,168.30999756,168.61999512,160.69999695,162.77000427,1930100,yfinance
2019-07-30,162.08000183,162.8500061,160.00999451,160.28999329,1036500,yfinance
2019-07-31,160.27999878,160.6000061,154.28999329,156.16999817,1676100,yfinance
2019-08-01,156.11999512,158.83000183,153.02999878,153.47000122,2680300,yfinance
2019-08-02,153.22999573,154.27000427,146.1000061,147.75999451,3830700,yfinance
2019-08-05,143.58000183,144.05000305,141.05999756,143.57000732,3382200,yfinance
2019-08-06,145.25999451,146.66999817,142.05999756,143.66999817,2234200,yfinance
2019-08-07,141.88000488,144.96000671,140.63999939,144.16999817,1790600,yfinance
2019-08-08,146.47999573,152.22000122,146.19000244,152.08999634,3198600,yfinance
2019-08-09,151.03999329,152.66999817,149.46000671,151.33999634,1888200,yfinance
2019-08-12,149.52999878,150.36000061,147.8500061,148.86999512,2587100,yfinance
2019-08-13,148.58999634,154.52000427,148.13999939,151.80999756,1795400,yfinance
2019-08-14,148.52000427,148.66999817,143.61000061,146.91999817,2198600,yfinance
2019-08-15,144.99000549,144.99000549,141.46000671,142.91999817,3180500,yfinance
2019-08-16,144.71000671,145.32000732,143.53999329,144.13000488,1951800,yfinance
2019-08-19,146.75,146.80000305,145.46000671,146.17999268,1900500,yfinance
2019-08-20,145.72000122,147.41999817,144.52999878,146.55999756,1078300,yfinance
2019-08-21,147.75,148.1000061,145.00999451,145.94999695,1967100,yfinance
2019-08-22,145.8999939,146.42999268,143.16999817,145.21000671,2616000,yfinance
2019-08-23,144.3999939,147.11000061,143.24000549,143.99000549,2552500,yfinance
2019-08-26,145.82000732,147.86000061,145.66000366,147.80000305,2027100,yfinance
2019-08-27,149.44999695,151.3999939,148.69000244,150.21000671,4223900,yfinance
2019-08-28,131.42999268,141.36000061,129.69999695,140.08000183,18498400,yfinance
2019-08-29,142.02000427,142.97999573,140.16000366,142.63000488,3284400,yfinance
