date,open,high,low,close,volume,source
2019-01-02,135.08329719,136.00529923,134.30241279,135.5160675,961600,yfinance
2019-01-03,134.82920962,135.54424359,133.24863542,133.48384094,1027400,yfinance
2019-01-04,134.66933221,136.19346007,133.40863351,135.99589539,1882800,yfinance
2019-01-07,135.37488713,137.48233373,134.99856404,135.69476318,926500,yfinance
2019-01-08,135.67598784,136.47567817,133.4838702,136.34396362,1277200,yfinance
2019-01-09,136.91788817,138.80893611,136.2216744,136.54156494,1428300,yfinance
2019-01-10,136.50390379,139.16643261,135.8547341,138.89360046,931700,yfinance
2019-01-11,137.89633475,138.57371361,136.56035442,138.53608704,963200,yfinance
2019-01-14,137.67053493,139.13821548,137.67053493,138.87478638,808700,yfinance
2019-01-15,138.89368182,140.85059507,138.48912053,140.82235718,832700,yfinance
2019-01-16,140.96345191,142.51580346,139.94736178,142.05480957,923000,yfinance
2019-01-17,141.46204366,143.84232296,141.46204366,143.47540283,800100,yfinance
2019-01-18,144.00232921,145.54527796,143.63540891,145.27244568,839800,yfinance
2019-01-22,144.95249939,146.07206587,143.64474261,144.60438538,759100,yfinance
2019-01-23,144.88666818,145.59228507,143.46603134,144.94311523,724200,yfinance
2019-01-24,144.74553964,145.45115648,143.93643176,144.80198669,998300,yfinance
2019-01-25,145.46990985,146.51422296,144.61377264,145.25352478,706300,yfinance
2019-01-28,144.37859198,144.83018265,143.16492321,144.57615662,836000,yfinance
2019-01-29,144.19981163,144.61377567,142.67567002,143.38128662,978500,yfinance
2019-01-30,143.62593088,145.59224597,143.42835188,145.35704041,2153700,yfinance
2019-01-31,145.03636145,148.92262144,144.47983879,147.3662262,1879100,yfinance
2019-02-01,148.85655069,158.93062184,148.60186528,157.95906067,3265100,yfinance
2019-02-04,158.94003323,158.94003323,155.78953395,157.33648682,1771300,yfinance
2019-02-05,157.82701157,159.39281959,156.93089885,159.1758728,1114500,yfinance
2019-02-06,158.71369449,159.17589932,157.21390725,158.79859924,1175500,yfinance
2019-02-07,157.77981401,158.11938971,155.34619053,157.41194153,1060400,yfinance
2019-02-08,157.03464982,158.62876892,156.94975948,158.62876892,847900,yfinance
2019-02-11,159.15701262,161.12844634,158.71367716,161.07183838,1103000,yfinance
2019-02-12,161.87365701,162.41131041,160.75116971,161.56237793,1101000,yfinance
2019-02-13,161.84530894,163.26963302,161.5246025,163.14701843,1073100,yfinance
2019-02-14,161.86421052,162.3641396,159.958812,159.99653625,961100,yfinance
2019-02-15,161.72269424,162.33582479,160.62850397,162.2131958,1257900,yfinance
2019-02-19,161.59063142,163.68467966,161.19446207,162.86404419,1080500,yfinance
2019-02-20,162.93953069,163.48662589,161.92080321,162.99612427,1005000,yfinance
2019-02-21,163.11871869,163.50546058,162.19432354,162.61878967,929200,yfinance
2019-02-22,162.67541016,162.86406019,161.65668272,162.2980957,998100,yfinance
2019-02-25,162.50562721,163.39229825,161.28882218,161.45860291,982500,yfinance
2019-02-26,161.25105777,162.33582054,160.94922062,161.62837219,993400,yfinance
2019-02-27,160.99638863,161.71327891,160.51532888,161.47746277,662000,yfinance
2019-02-28,161.39257514,162.52448975,160.97753642,161.798172,1205600,yfinance
2019-03-01,162.9489585,163.09988429,161.18505832,161.91136169,899800,yfinance
2019-03-04,162.23207437,162.57165018,160.1191566,160.94923401,1663400,yfinance
2019-03-05,161.60009331,162.89236117,147.23416352,148.32835388,6699600,yfinance
2019-03-06,157.07240404,157.11012828,154.04451875,154.69537354,2534200,yfinance
2019-03-07,154.12935684,154.68589363,152.57297674,153.32759094,1644300,yfinance
2019-03-08,152.42213716,152.96923241,151.19589019,152.84660339,934700,yfinance
2019-03-11,153.5540166,155.39339383,153.43140201,155.36509705,1064300,yfinance
2019-03-12,155.51599646,157.53458169,155.11039967,157.03465271,959500,yfinance
2019-03-13,157.28932471,158.89287117,157.20443438,157.61003113,818300,yfinance
2019-03-14,157.77041738,159.64751894,157.58176736,159.01553345,833400,yfinance
2019-03-15,159.14760294,160.60966594,158.42128518,160.35498047,1828900,yfinance
2019-03-18,160.35495623,161.03410779,159.23246924,159.6003418,825900,yfinance
2019-03-19,159.60034859,159.85503404,158.2231905,158.43070984,702500,yfinance
2019-03-20,158.01562501,158.44009103,156.27058046,156.30831909,716200,yfinance
2019-03-21,156.23293696,159.02499241,155.94995467,158.65711975,784800,yfinance
2019-03-22,156.68567858,158.16659647,156.49702854,156.87432861,822700,yfinance
2019-03-25,157.11958687,157.47801762,155.84617394,157.18560791,814800,yfinance
2019-03-26,157.43082693,158.32693965,156.60076402,158.24203491,777200,yfinance
2019-03-27,158.33642831,159.10989795,157.43088778,158.44961548,982200,yfinance
2019-03-28,158.86458844,159.71353504,158.39295624,159.57203674,676600,yfinance
2019-03-29,160.35497647,161.13788779,159.91164097,161.01525879,1170800,yfinance
2019-04-01,161.97740665,163.73187947,161.57179537,163.599823,1035000,yfinance
2019-04-02,164.22234317,165.31651897,163.08098687,163.31680298,836700,yfinance
2019-04-03,163.91107544,164.10915292,162.08114001,162.93951416,1072300,yfinance
2019-04-04,163.24134077,163.75071162,161.86418275,162.75083923,537600,yfinance
2019-04-05,162.7130833,163.67521687,162.18485763,162.79797363,672700,yfinance
2019-04-08,162.43009561,163.06208091,161.88300063,162.98661804,430500,yfinance
2019-04-09,162.10942915,162.56219205,161.6660937,162.2414856,731000,yfinance
2019-04-10,162.4395515,163.21302074,162.19429357,163.03379822,390100,yfinance
2019-04-11,163.01496079,164.32609773,162.13771741,164.02424622,939300,yfinance
2019-04-12,165.26937161,166.29752641,164.74113142,166.12773132,724200,yfinance
2019-04-15,166.04285819,166.72200982,165.70328238,165.97683716,554000,yfinance
2019-04-16,165.89192658,166.92009585,165.87307165,166.89178467,718200,yfinance
2019-04-17,167.91047477,168.72168266,163.97706432,165.42025757,955900,yfinance
2019-04-18,164.68453332,165.88248318,163.48659786,165.23162842,838300,yfinance
2019-04-22,164.75059773,165.95797526,164.59967194,164.96754456,600500,yfinance
2019-04-23,165.00523257,168.34439657,164.82602443,168.25950623,900000,yfinance
2019-04-24,168.26890799,169.88189618,167.86331127,168.17457581,1087500,yfinance
2019-04-25,167.27852431,169.84420492,166.87292748,169.41973877,883600,yfinance
2019-04-26,170.16488378,172.24950434,167.04268107,169.94793701,899600,yfinance
2019-04-29,169.58953605,170.44791029,167.88222943,168.43876648,787300,yfinance
2019-04-30,168.0699801,170.53798245,166.75560426,170.33940125,1005800,yfinance
2019-05-01,170.05564858,170.06511376,165.97068935,166.1598053,853600,yfinance
2019-05-02,166.01805987,167.28515324,164.77931876,166.87854004,687100,yfinance
2019-05-03,167.44586814,169.6112731,167.38913479,169.02500916,866700,yfinance
2019-05-06,167.07710052,170.40559732,167.07710052,169.90441895,831600,yfinance
