date,open,high,low,close,volume,source
2019-01-02,131.5189587,134.34337401,130.28223783,133.35733032,956900,yfinance
2019-01-03,132.98135953,133.02314333,128.92857325,129.78091431,1114800,yfinance
2019-01-04,132.0871827,135.29597801,131.51895136,135.04528809,1082200,yfinance
2019-01-07,135.0035367,136.55779929,133.54119334,133.64146423,1349500,yfinance
2019-01-08,132.32119823,134.2347735,130.82542263,132.10392761,2100300,yfinance
2019-01-09,131.52730965,132.23759568,129.49674795,131.01757812,2292400,yfinance
2019-01-10,130.81706322,131.4855656,129.80595162,131.36021423,1502000,yfinance
2019-01-11,131.03429419,131.61922887,129.98976342,131.01757812,1047300,yfinance
2019-01-14,130.15691546,130.61651165,128.81155901,129.62211609,1047900,yfinance
2019-01-15,128.99535454,129.85604678,128.37700055,129.58865356,845700,yfinance
2019-01-16,129.58029537,130.17358162,128.68617105,129.20425415,1151600,yfinance
2019-01-17,128.84498134,130.35746008,128.76977817,130.34074402,1898900,yfinance
2019-01-18,131.20141209,133.15678332,130.57469365,132.54676819,1447300,yfinance
2019-01-22,131.92005194,132.43814786,131.0342919,131.78636169,982900,yfinance
2019-01-23,131.80309202,132.36295909,129.55525934,130.48280334,1358800,yfinance
2019-01-24,129.91457611,131.03431018,129.33799302,130.77526855,1007800,yfinance
2019-01-25,133.69996656,135.28764857,132.02871698,134.46038818,2060000,yfinance
2019-01-28,134.25984914,134.61081006,132.63873481,133.60806274,1364400,yfinance
2019-01-29,134.0509114,136.55778547,134.0509114,136.40737915,1354500,yfinance
2019-01-30,136.81685063,137.87809774,135.34615551,137.02575684,1037800,yfinance
2019-01-31,135.17899947,138.31259182,134.58570037,137.36833191,1305600,yfinance
2019-02-01,137.87805975,139.43232202,136.88366443,138.62176514,1102100,yfinance
2019-02-04,138.50479093,139.45740256,137.8530047,139.4490509,754600,yfinance
2019-02-05,139.99220685,140.5186545,139.28192074,140.31809998,1140500,yfinance
2019-02-06,140.39332324,141.99772138,139.54934675,141.98101807,1533500,yfinance
2019-02-07,141.72195277,141.92249453,137.86972243,138.89753723,1157400,yfinance
2019-02-08,138.01178805,138.63014221,136.64971562,138.63014221,855400,yfinance
2019-02-11,138.91429288,140.12594648,138.58839967,140.00059509,1206500,yfinance
2019-02-12,141.43779777,143.28453352,140.9029986,143.15919495,1462300,yfinance
2019-02-13,143.7274603,144.89732988,143.25951247,143.70239258,1095200,yfinance
2019-02-14,142.82499254,143.82773978,141.9643,143.40992737,882500,yfinance
2019-02-15,144.94744723,145.6827882,144.55470265,145.4655304,1326300,yfinance
2019-02-19,144.79705337,147.01981823,144.56307946,146.32624817,1074600,yfinance
2019-02-20,146.48502501,149.22587324,145.91679353,148.44038391,1789100,yfinance
2019-02-21,148.34844431,149.42640726,148.34844431,149.30105591,1243700,yfinance
2019-02-22,150.26204861,151.01410578,149.77738472,150.51272583,1401400,yfinance
2019-02-25,150.8219028,152.29259764,150.33723896,151.39012146,1145600,yfinance
2019-02-26,151.34831159,152.20900384,150.94721538,151.62406921,821200,yfinance
2019-02-27,151.39849231,152.14221061,150.77177372,151.74946594,673800,yfinance
2019-02-28,151.49879745,151.9583937,150.56288889,151.39851379,1324200,yfinance
2019-03-01,152.46815414,153.34555026,149.72729222,150.49607849,1362800,yfinance
2019-03-04,151.35671602,151.35671602,148.74120646,150.99739075,1018800,yfinance
2019-03-05,150.3038373,151.24809746,149.72725412,149.75233459,796800,yfinance
2019-03-06,150.98066042,151.24806644,149.82750704,150.66313171,802400,yfinance
2019-03-07,150.7884822,150.98903673,149.00024576,150.11997986,1059800,yfinance
2019-03-08,149.73561533,151.69932603,149.11724836,151.54891968,923900,yfinance
2019-03-11,152.25923177,153.81349473,151.45702619,153.71321106,884200,yfinance
2019-03-12,154.10593004,154.96662259,153.69646928,153.79675293,820100,yfinance
2019-03-13,154.2396049,155.64344824,154.2396049,154.6741333,843500,yfinance
2019-03-14,154.17276831,155.13373169,153.47084658,154.7660675,1012300,yfinance
2019-03-15,154.74934983,156.08634179,153.94714446,154.46524048,1558200,yfinance
2019-03-18,154.60724307,155.18382599,153.59613185,154.89970398,871400,yfinance
2019-03-19,155.79391914,156.05296083,153.77170827,154.50704956,850800,yfinance
2019-03-20,154.56550173,154.99166573,153.48753872,154.2980957,944900,yfinance
2019-03-21,153.9304652,156.66294938,153.9304652,156.42062378,691800,yfinance
2019-03-22,155.45125765,156.74647845,155.40947387,155.67687988,1573500,yfinance
2019-03-25,155.71870033,156.26185139,155.20060423,155.359375,1178500,yfinance
2019-03-26,156.28691828,156.44568904,155.41787402,156.39555359,948600,yfinance
2019-03-27,156.59607123,157.23950585,155.61839182,156.80497742,1168400,yfinance
2019-03-28,157.69909805,158.94418347,156.9386765,158.91075134,1066400,yfinance
2019-03-29,158.96962697,160.71839528,158.85192203,160.55024719,1551100,yfinance
2019-04-01,161.55073702,162.19812064,160.07101587,160.99584961,1134700,yfinance
2019-04-02,160.83609127,161.17238742,159.02846417,160.14666748,1198700,yfinance
2019-04-03,161.30692919,162.2149443,160.02057767,161.18922424,1080800,yfinance
2019-04-04,161.58437705,162.15608313,160.09624013,161.23126221,852200,yfinance
2019-04-05,161.63478463,162.76980646,161.10510607,162.4250946,769200,yfinance
2019-04-08,162.72775303,163.35831781,161.58432839,162.29055786,844100,yfinance
2019-04-09,161.36575018,162.19810044,160.65952059,161.66001892,600100,yfinance
2019-04-10,162.16443947,162.42507084,161.55068055,162.2989502,594300,yfinance
2019-04-11,161.83655652,163.06404877,160.98738774,162.72775269,765800,yfinance
2019-04-12,163.47605623,164.24954765,162.88753155,163.24064636,1349200,yfinance
2019-04-15,162.5175907,163.20700163,161.66001887,163.04725647,1209400,yfinance
2019-04-16,163.55169134,165.90580247,163.03042855,165.71243286,1156800,yfinance
2019-04-17,166.58686546,167.02406078,165.72929346,166.25897217,1091000,yfinance
2019-04-18,166.52798583,166.74657703,165.71245423,166.5532074,1322900,yfinance
2019-04-22,165.98992232,166.30100978,165.07350428,165.30891418,750900,yfinance
2019-04-23,165.28367509,165.80495082,164.51018366,165.35093689,992100,yfinance
2019-04-24,166.00670963,169.80691752,164.92214369,167.66299438,1741300,yfinance
2019-04-25,167.65458591,168.17584875,165.6031462,167.81433105,1118900,yfinance
2019-04-26,168.42810937,171.01763106,167.58735607,170.31140137,1055900,yfinance
2019-04-29,170.67287944,171.65655903,170.18524111,171.15211487,928900,yfinance
2019-04-30,171.8079266,173.25402317,171.25302639,173.01860046,1425600,yfinance
2019-05-01,173.80051579,173.98548253,169.95826721,169.95826721,974500,yfinance
2019-05-02,170.21888424,174.64124108,169.32767514,174.5823822,1404500,yfinance
2019-05-03,174.45629461,176.44047274,174.11158271,176.20506287,1268000,yfinance
2019-05-06,174.27973655,174.48152195,172.55620264,173.18676758,2010900,yfinance
2019-05-07,171.57246871,171.87512747,167.69659692,169.13427734,1556700,yfinance
2019-05-08,168.3944365,173.53143857,168.20106688,172.61502075,1500100,yfinance
2019-05-09,170.67291916,172.4048689,168.69714378,171.88360596,1271200,yfinance
2019-05-10,171.68180579,175.40634924,171.23620761,175.1204834,1329400,yfinance
2019-05-13,171.3455093,173.1531236,169.5799224,171.97607422,1422400,yfinance
2019-05-14,172.68229496,174.33857975,172.16943501,173.00178528,1218500,yfinance
2019-05-15,171.421191,173.64077921,170.85788782,172.37124634,920800,yfinance
2019-05-16,174.07796494,176.35639909,173.60714517,176.07894897,974200,yfinance
2019-05-17,175.35585119,176.68422957,174.75891094,176.49085999,1130600,yfinance
2019-05-20,175.65013543,176.67585524,172.35438483,172.69909668,1391800,yfinance
2019-05-21,173.82573435,174.75056805,172.7159339,174.019104,1294900,yfinance
2019-05-22,173.44739464,174.62444403,172.58982275,173.41375732,976900,yfinance
2019-05-23,172.19466029,172.66548002,170.26092537,171.69021606,1065600,yfinance
2019-05-24,173.92661258,173.92661258,171.59773542,171.92562866,776000,yfinance
2019-05-28,172.53937655,173.09427675,169.90781487,170.03393555,2362700,yfinance
2019-05-29,168.74756652,171.07644346,168.15062616,170.65606689,1183700,yfinance
2019-05-30,170.72334339,171.79950647,170.52157083,171.71543884,752000,yfinance
2019-05-31,170.22729063,172.22828723,169.638766,171.16893005,926800,yfinance
2019-06-03,171.66499498,175.68380737,171.10169183,175.68380737,1815700,yfinance
2019-06-04,176.51612323,179.65212892,176.13778687,179.62690735,1874700,yfinance
2019-06-05,180.67783652,182.67883301,178.77773913,182.67883301,1544000,yfinance
2019-06-06,183.13286688,186.57154437,181.76243507,186.21842957,1839900,yfinance
2019-06-07,186.5967669,188.71546855,186.45384039,187.53840637,1659000,yfinance
2019-06-10,188.57254584,188.84159305,185.86533211,186.08392334,1109900,yfinance
2019-06-11,187.47959294,187.77384891,183.39353117,184.16702271,1552900,yfinance
2019-06-12,184.3687601,185.41129866,184.15016889,184.92366028,1101000,yfinance
2019-06-13,185.42810704,186.14273951,184.04927241,185.11701965,921800,yfinance
2019-06-14,185.20110351,185.30198978,184.04927579,184.33512878,721000,yfinance
2019-06-17,184.46125691,184.53693445,181.24958618,182.33415222,838000,yfinance
2019-06-18,183.60372283,184.77236949,182.51914381,184.057724,941700,yfinance
2019-06-19,183.93998122,185.49537974,180.49288802,185.29359436,1342500,yfinance
2019-06-20,186.73127973,187.36184459,185.29358619,186.6892395,1397200,yfinance
2019-06-21,187.00872061,188.25304453,186.03345669,186.76490784,1542200,yfinance
2019-06-24,187.29458037,189.40486613,186.7733047,188.02603149,765100,yfinance
2019-06-25,188.49682929,189.46370298,187.97556651,188.91720581,926300,yfinance
2019-06-26,189.12740818,189.15262975,186.13432919,188.26983643,843700,yfinance
2019-06-27,188.63979163,189.25355071,187.42910497,187.90834045,738700,yfinance
2019-06-28,188.87177161,191.55086227,188.13650437,191.31422424,1522000,yfinance
2019-07-01,192.27766791,193.51157716,190.24933843,193.3848114,810700,yfinance
2019-07-02,193.19044936,194.61029053,192.26925033,194.61029053,729500,yfinance
2019-07-03,194.23001349,195.60758244,193.4355801,195.56532288,696600,yfinance
2019-07-05,194.04408115,194.88922086,192.37915491,194.87231445,569700,yfinance
2019-07-08,194.68635033,194.7962226,192.63265448,192.95381165,1006200,yfinance
2019-07-09,192.97912574,192.97912574,190.35074172,191.04376221,1124600,yfinance
2019-07-10,192.55658972,193.10593816,190.73108522,191.2212677,848600,yfinance
2019-07-11,190.57895727,192.4889679,189.62394551,192.4889679,763100,yfinance
