date,open,high,low,close,volume,source
2019-01-02,151.04069005,151.74836378,148.4889845,149.75462341,1534312,yfinance
2019-01-03,148.40052047,148.84961903,143.38556174,143.71218872,2464182,yfinance
2019-01-04,145.14110102,148.74071127,145.14110102,147.65197754,2574744,yfinance
2019-01-07,147.53633603,151.56463147,147.2097226,148.77476501,2164960,yfinance
2019-01-08,149.8498871,151.7483521,149.59810765,151.53741455,1475902,yfinance
2019-01-09,152.59896192,155.83111831,152.29955833,154.76960754,1546176,yfinance
2019-01-10,154.00745697,156.29379137,153.33380245,156.13047791,1096626,yfinance
2019-01-11,155.40237147,156.18489251,154.17754768,155.73579407,1222182,yfinance
2019-01-14,154.73555741,155.94676296,154.02107446,154.04148865,1234177,yfinance
2019-01-15,154.47018309,157.28047744,154.47018309,157.0355072,1102624,yfinance
2019-01-16,157.59346777,158.52568393,156.60680476,157.36891174,1011749,yfinance
2019-01-17,159.96828295,161.34280216,157.86567575,160.66233826,2153095,yfinance
2019-01-18,161.47883587,164.84028522,160.79157651,164.72460938,1761955,yfinance
2019-01-22,163.79922933,164.47288392,161.64218904,162.75813293,1382810,yfinance
2019-01-23,162.66286328,163.93531136,160.60788048,162.72410583,943169,yfinance
2019-01-24,162.38390771,164.00338372,161.66942463,163.79925537,1067551,yfinance
2019-01-25,164.67021609,166.56187196,163.93531894,165.39149475,1607194,yfinance
2019-01-28,164.07139819,164.80629528,163.10514936,164.56132507,965725,yfinance
2019-01-29,164.58853871,166.56185108,164.4864678,164.97639465,1296108,yfinance
2019-01-30,165.31666118,167.66422504,164.54774484,167.03820801,1119573,yfinance
2019-01-31,166.54823239,170.02535771,165.60920713,169.74636841,2027539,yfinance
2019-02-01,169.61710416,170.18868776,167.05178045,168.35826111,1306668,yfinance
2019-02-04,168.06572059,168.75298026,166.14682735,168.18139648,1280332,yfinance
2019-02-05,168.75294115,172.83566989,164.25513301,164.94918823,2770575,yfinance
2019-02-06,164.83351051,167.01096491,164.58855383,165.39828491,1630923,yfinance
2019-02-07,164.15986799,165.50036798,163.2752758,164.37081909,1252821,yfinance
2019-02-08,163.76523336,164.84714475,161.77830198,164.81312561,1280201,yfinance
2019-02-11,165.33025261,166.58228656,164.50009377,165.20095825,999232,yfinance
2019-02-12,165.83377415,167.74585763,164.92197216,167.56893921,1428313,yfinance
2019-02-13,168.24257891,168.56919229,166.52782818,166.74557495,1140303,yfinance
2019-02-14,166.23524402,167.35799706,165.35065195,166.37814331,1130525,yfinance
2019-02-15,168.01123893,169.01830257,166.71156747,168.98428345,1926495,yfinance
2019-02-19,168.51481097,169.16124223,168.06571235,168.78018188,952165,yfinance
2019-02-20,168.53521759,169.56270916,168.01806719,169.47424316,1122963,yfinance
2019-02-21,169.46739736,169.46739736,167.65739841,168.54197693,908749,yfinance
2019-02-22,168.87544352,170.01180169,168.66449241,169.88250732,875632,yfinance
2019-02-25,170.50849537,171.47474417,170.10703447,170.30436707,1360776,yfinance
2019-02-26,170.26353574,170.51530164,168.80055084,169.50822449,1025830,yfinance
2019-02-27,168.71892179,170.33160193,168.61005515,170.31118774,918657,yfinance
2019-02-28,170.25676107,171.35910012,169.1748362,169.29051208,1583987,yfinance
2019-03-01,170.47449992,173.15549992,170.04581554,173.08744812,1275899,yfinance
2019-03-04,173.81551576,173.93800086,170.01857225,172.05993652,1072245,yfinance
2019-03-05,172.05314474,172.06674969,170.20230379,171.6312561,748512,yfinance
2019-03-06,171.82178871,171.94426028,168.36506356,169.14759827,1102102,yfinance
2019-03-07,169.23630878,169.46837934,167.55035486,168.3694458,937693,yfinance
2019-03-08,167.65276716,168.60154073,166.26033002,168.40359497,1049429,yfinance
2019-03-11,169.20902027,170.62194856,169.09298497,170.60147095,833780,yfinance
2019-03-12,171.18848853,172.24646704,170.68337852,171.03831482,1076026,yfinance
2019-03-13,171.86423867,174.01432055,171.52294959,173.12016296,1044996,yfinance
2019-03-14,173.19521914,173.19521914,171.54340354,172.18501282,1141086,yfinance
2019-03-15,172.56045696,175.52964362,172.3898192,173.31811523,2627418,yfinance
2019-03-18,170.13047946,170.13047946,165.20914418,167.00430298,2546843,yfinance
2019-03-19,167.01804498,169.03845867,165.60512963,168.9838562,1773690,yfinance
2019-03-20,169.02475664,169.02475664,165.31157246,165.96684265,1755436,yfinance
2019-03-21,165.83026475,167.69367293,165.59136382,167.51620483,1450347,yfinance
2019-03-22,166.84051611,167.05212268,163.84403509,163.89865112,1426618,yfinance
2019-03-25,164.31500084,164.85423568,162.59493538,164.66993713,1491417,yfinance
2019-03-26,166.09654011,169.29779771,166.09654011,168.59474182,1800417,yfinance
2019-03-27,168.74490916,169.20905042,166.65624635,167.6391449,1402758,yfinance
2019-03-28,167.99408761,168.86095088,167.00435862,168.59474182,1290762,yfinance
2019-03-29,169.45478422,170.63562857,168.7244339,170.4581604,1934318,yfinance
2019-04-01,171.24308064,172.51948245,170.77210907,171.59118652,1462864,yfinance
2019-04-02,171.60486163,172.02123079,170.92228344,171.14753723,1280201,yfinance
