date,open,high,low,close,volume,source
2019-01-02,41.1100734,41.39798511,39.87118905,40.19399643,1305100,yfinance
2019-01-03,39.89736789,40.2812469,38.88532019,39.56583405,1582700,yfinance
2019-01-04,39.77522177,41.06645471,39.73159969,41.05773163,1830200,yfinance
2019-01-07,40.94430971,41.02283079,40.54298125,40.87451172,1008800,yfinance
2019-01-08,41.20604564,41.54630253,40.63895194,40.99665833,2127700,yfinance
2019-01-09,40.26379217,40.99665437,39.92353198,40.52552795,2045500,yfinance
2019-01-10,40.50807257,41.06644305,40.28123248,40.90940094,946600,yfinance
2019-01-11,40.97921415,41.06645832,40.33359596,40.88324356,1470600,yfinance
2019-01-14,40.57787411,40.69129417,39.3738888,39.71414566,1965700,yfinance
2019-01-15,39.82757662,40.28125034,39.65308493,40.13293457,1261800,yfinance
2019-01-16,40.17655099,40.23762258,39.32154552,39.57455826,2037800,yfinance
2019-01-17,39.53966371,39.71415539,39.40879412,39.6530838,2226600,yfinance
2019-01-18,39.69669883,40.3597631,39.60072825,40.05440521,3516300,yfinance
2019-01-22,40.05439966,40.05439966,39.46113013,39.99332809,2265500,yfinance
2019-01-23,40.16782561,40.71746982,40.01950655,40.70002365,2408200,yfinance
2019-01-24,40.49935759,40.49935759,39.64435213,39.7926712,1490100,yfinance
2019-01-25,40.10675595,40.28124428,39.51348631,39.69670105,1557500,yfinance
2019-01-28,39.54838846,39.69670422,39.2604767,39.61818314,722700,yfinance
2019-01-29,39.61818675,40.10676282,39.61818675,39.91482162,745700,yfinance
2019-01-30,40.06313121,40.77854736,40.06313121,40.59532928,691300,yfinance
2019-01-31,40.75237656,41.2496757,40.24635434,41.22350311,1307200,yfinance
2019-02-01,41.34564445,41.52885921,40.81344633,41.48523712,1255700,yfinance
2019-02-04,41.58119276,41.58119276,40.9268517,41.36307907,565800,yfinance
2019-02-05,41.45905644,41.73824173,41.15369523,41.55502701,712100,yfinance
2019-02-06,41.57248462,41.76442247,41.24095077,41.48523712,734600,yfinance
2019-02-07,41.45032579,41.97380066,41.21476592,41.97380066,855500,yfinance
2019-02-08,41.87783503,41.98252869,41.6771708,41.98252869,961300,yfinance
2019-02-11,42.03487563,42.392582,41.860384,42.06977463,801300,yfinance
2019-02-12,42.06976773,42.29660449,41.83420456,42.17446136,631800,yfinance
2019-02-13,42.35768783,42.67177215,42.21809517,42.37513733,702500,yfinance
2019-02-14,42.12212134,42.22681832,41.75569188,41.98252869,740200,yfinance
2019-02-15,42.28789573,42.68922424,42.08723148,42.68922424,1510800,yfinance
2019-02-19,42.71539286,42.71539286,42.17447174,42.19192123,935200,yfinance
2019-02-20,42.18318264,42.55833842,42.01741745,42.08721542,703500,yfinance
2019-02-21,41.96508008,42.41875703,41.75569276,42.2355423,712800,yfinance
2019-02-22,42.11338458,42.61068344,41.9214435,42.61068344,731400,yfinance
2019-02-25,42.86371053,42.88988312,42.20064294,42.35768509,771100,yfinance
2019-02-26,42.3838591,43.18651598,42.28788853,42.91605377,1631900,yfinance
2019-02-27,42.88989194,42.97713612,42.46238748,42.81137085,1263900,yfinance
2019-02-28,42.88115303,43.23013294,42.62814035,43.17778778,1752800,yfinance
2019-03-01,43.51570592,43.64701597,43.18305959,43.61199951,966400,yfinance
2019-03-04,43.91837111,44.69747201,43.883358,44.61868668,1766400,yfinance
2019-03-05,44.82877131,45.68665407,44.34730694,45.07388306,2992600,yfinance
2019-03-06,44.50489329,44.75875757,41.32722198,42.76286316,3972900,yfinance
2019-03-07,42.8153888,43.76956546,42.76286412,43.56822586,2746800,yfinance
2019-03-08,43.55070904,44.06718994,43.17429058,43.69952393,1717400,yfinance
2019-03-11,43.62950189,44.00592041,43.20055869,44.00592041,1333300,yfinance
2019-03-12,44.01466415,44.39983838,43.79581637,44.18974304,1045700,yfinance
2019-03-13,44.36482447,44.36482447,43.90086822,43.91837311,904700,yfinance
2019-03-14,43.89210987,44.04968053,43.69077031,43.93587875,1118500,yfinance
2019-03-15,43.90087493,44.42610837,43.76081246,44.38233948,2648400,yfinance
