date,open,high,low,close,volume,source
2019-01-02,320.61329351,324.66370886,319.63389686,323.21951294,926800,yfinance
2019-01-03,319.57574859,320.83734282,313.14323149,313.72424316,781000,yfinance
2019-01-04,319.69197693,326.13277715,317.05255054,325.21148682,647800,yfinance
2019-01-07,324.48110537,330.490314,323.21951098,326.11621094,714500,yfinance
2019-01-08,330.14177057,332.70647501,326.68895747,330.26626587,642900,yfinance
2019-01-09,331.58595721,334.61546089,328.09993701,332.15866089,640500,yfinance
2019-01-10,331.27050207,332.76452135,328.03349828,331.58590698,487100,yfinance
2019-01-11,327.85926392,331.69387104,323.42705404,330.26626587,706500,yfinance
2019-01-14,326.08292676,331.95935591,324.62211493,329.02944946,919700,yfinance
2019-01-15,329.1373974,332.93051394,326.52289526,332.59020996,846600,yfinance
2019-01-16,333.73565209,350.11989087,333.18784748,342.82418823,1331500,yfinance
2019-01-17,341.13089239,346.06110731,335.06357855,342.39248657,917200,yfinance
2019-01-18,346.17737386,349.0657912,343.28067372,348.14450073,1031800,yfinance
2019-01-22,345.62130621,347.93702002,341.20568731,343.28900146,905600,yfinance
2019-01-23,342.81583736,344.09404795,335.12172542,339.03933716,660100,yfinance
2019-01-24,338.56624794,341.40484168,333.49492061,337.44573975,838400,yfinance
2019-01-25,341.31358489,343.67909677,339.59547385,340.25949097,573000,yfinance
2019-01-28,336.85648648,338.54139037,333.992968,336.44976807,640400,yfinance
2019-01-29,341.54594396,341.96094511,337.2216391,338.32553101,602800,yfinance
2019-01-30,339.63700988,341.08120602,333.51158779,338.91488647,869900,yfinance
2019-01-31,337.16352597,345.24774004,337.16352597,344.51733398,750100,yfinance
2019-02-01,346.47615256,346.5923397,342.06053436,345.95324707,585900,yfinance
2019-02-04,345.69593448,347.5551314,342.93203816,346.92434692,534800,yfinance
2019-02-05,347.04051331,347.88713176,343.6623983,346.57571411,523400,yfinance
2019-02-06,347.30610857,349.2483106,344.50900532,345.60461426,424600,yfinance
2019-02-07,343.91148495,346.84139229,340.30927773,344.45928955,469400,yfinance
2019-02-08,342.08543699,343.66243626,337.08883235,341.76174927,567000,yfinance
2019-02-11,343.41345396,344.34305249,341.13094762,342.54196167,595600,yfinance
2019-02-12,345.43868824,353.37350887,344.80787834,353.17431641,617300,yfinance
2019-02-13,354.16201362,360.01352006,353.66400714,354.78451538,803500,yfinance
2019-02-14,352.2613346,352.97512453,346.89952599,351.40643311,542500,yfinance
2019-02-15,352.90876724,359.08398791,352.90876724,358.51959229,600300,yfinance
2019-02-19,355.59781415,359.39093005,355.38203082,357.78903198,438000,yfinance
2019-02-20,358.37840107,363.11770723,356.7100883,362.89361572,563300,yfinance
2019-02-21,362.37910616,363.20080055,359.2665967,361.06768799,451800,yfinance
2019-02-22,361.48262471,362.66954736,359.76453905,362.4786377,400300,yfinance
2019-02-25,364.60346368,369.18506794,363.57426878,364.31295776,516300,yfinance
2019-02-26,363.26710532,367.69931441,361.6236917,365.64089966,472000,yfinance
2019-02-27,365.34218332,369.10209334,364.27147309,366.86938477,461100,yfinance
2019-02-28,366.869331,369.11863018,365.5247313,367.87362671,512100,yfinance
2019-03-01,371.47579365,375.09461652,366.94398859,368.33007812,657200,yfinance
2019-03-04,370.08973677,371.01102716,360.2707954,362.9848938,686100,yfinance
2019-03-05,363.16893768,364.38994757,360.57636215,361.72210693,433500,yfinance
2019-03-06,361.72206252,362.95981485,359.10442446,359.49746704,272700,yfinance
2019-03-07,363.32783307,363.77944925,351.70308711,353.91931152,467400,yfinance
