date,open,high,low,close,volume,source
2019-01-02,78.60584576,78.60584576,75.95985153,76.81135559,815000,yfinance
2019-01-03,76.69873789,78.34545185,76.57910632,77.13504791,708400,yfinance
2019-01-04,77.85988149,79.11250708,77.43764893,78.47212219,600900,yfinance
2019-01-07,78.69028547,79.50660652,78.34546279,78.96473694,760900,yfinance
2019-01-08,79.2884241,81.32922072,79.16175382,81.30107117,1241900,yfinance
2019-01-09,82.44111478,82.82815904,81.32923164,82.64519501,879800,yfinance
2019-01-10,82.39890175,84.1089484,82.26519806,83.89783478,654700,yfinance
2019-01-11,83.60228509,83.96117991,83.18004704,83.84858704,431900,yfinance
2019-01-14,83.53895131,83.94711192,82.84226709,83.13079071,476100,yfinance
2019-01-15,83.1589153,83.95412544,83.07447201,83.79226685,422800,yfinance
2019-01-16,83.90487006,84.36932431,83.33485096,84.32710266,545100,yfinance
2019-01-17,84.28488103,85.07305253,83.98931873,84.74230194,608900,yfinance
2019-01-18,84.91822466,85.57268705,84.36228304,85.51638794,822000,yfinance
2019-01-22,85.46713263,85.60084168,84.42562589,85.29824066,856000,yfinance
2019-01-23,84.95342196,85.46713663,84.37636945,84.99564362,621400,yfinance
2019-01-24,84.51709515,85.34044942,83.9118932,85.19970703,518900,yfinance
2019-01-25,85.83307556,86.94495893,85.51639706,86.89569855,722100,yfinance
2019-01-28,86.75494877,88.17647188,86.17085754,87.87387085,607100,yfinance
2019-01-29,87.73311558,88.97870788,87.35310464,88.94351959,590800,yfinance
2019-01-30,89.72466153,91.8428634,88.81685843,91.80768585,1111000,yfinance
2019-01-31,91.72320906,92.94065699,90.80836745,92.79990387,880400,yfinance
2019-02-01,92.94769556,92.94769556,91.02653559,92.31433868,1128200,yfinance
2019-02-04,92.21582267,93.21511841,91.65988644,93.21511841,1031700,yfinance
2019-02-05,93.25030407,93.25030407,92.41288296,92.9265976,1198100,yfinance
2019-02-06,93.03918032,93.08140197,91.94840802,92.60990906,711200,yfinance
2019-02-07,92.21581371,93.36288509,91.51209104,93.32066345,823200,yfinance
2019-02-08,92.75769586,93.33475368,92.48324441,93.17288971,505000,yfinance
2019-02-11,93.29956903,93.91884852,93.02511757,93.82032776,507100,yfinance
2019-02-12,93.79215454,94.10179423,93.10250935,93.37696075,592500,yfinance
2019-02-13,93.27142241,94.31997333,93.15883491,94.0947876,461200,yfinance
2019-02-14,93.96106767,94.23551912,93.34882156,93.67253876,517000,yfinance
2019-02-15,94.39033859,94.46774852,93.68661582,94.03143311,661600,yfinance
2019-02-19,93.97514554,94.94628652,93.76403728,94.72813416,408200,yfinance
2019-02-20,94.54516162,94.54516162,93.4614225,94.20736694,425200,yfinance
2019-02-21,93.82737127,94.81257899,92.94068432,94.69294739,401200,yfinance
2019-02-22,95.00256713,95.69925648,94.46069762,95.47406006,453200,yfinance
2019-02-25,95.77667619,95.86111949,94.68590372,94.81256866,457900,yfinance
2019-02-26,95.16442796,95.16442796,94.22144202,94.30588531,475400,yfinance
2019-02-27,93.76402499,93.97513323,92.40583447,93.17288971,701000,yfinance
2019-02-28,93.24325173,94.91107099,92.93361205,93.37696075,883300,yfinance
2019-03-01,93.51771102,93.77808499,92.34952874,92.77176666,995700,yfinance
2019-03-04,93.03919896,93.51772532,92.4339969,93.10253143,877800,yfinance
2019-03-05,92.947711,94.14403764,92.947711,93.79920959,888800,yfinance
2019-03-06,94.20033431,94.34812082,93.23623751,93.24327087,519700,yfinance
2019-03-07,93.14474184,94.08772773,92.84917958,93.21511841,1242500,yfinance
2019-03-08,92.98289962,93.97514063,92.60992738,93.19400787,725300,yfinance
2019-03-11,93.49662242,93.91886044,93.03216274,93.73588562,720400,yfinance
2019-03-12,94.00327854,95.25590408,93.89068033,95.00256348,586000,yfinance
2019-03-13,94.3832923,95.34739977,94.3832923,95.03071594,590200,yfinance
2019-03-14,94.90405987,95.34740869,94.60849758,95.19258881,442400,yfinance
2019-03-15,94.99553899,95.1855364,93.20104381,93.41216278,1458500,yfinance
