date,open,high,low,close,volume,source
2019-01-02,105.81862302,109.10332463,104.93985939,107.82357025,4783200,yfinance
2019-01-03,106.91066498,107.07276927,102.7557338,103.66862488,6165800,yfinance
2019-01-04,105.93805305,109.7090606,105.53706235,109.33366394,5456600,yfinance
2019-01-07,109.70907333,110.57078294,108.09658334,109.40193176,4653400,yfinance
2019-01-08,110.82671587,112.19179231,109.40192433,110.71581268,4202600,yfinance
2019-01-09,111.84199492,112.80608069,110.83526109,111.14240265,4865600,yfinance
2019-01-10,109.72612375,113.5739133,108.56581278,113.43741608,3418500,yfinance
2019-01-11,111.83345309,112.8913879,110.9546896,112.70368958,2908600,yfinance
2019-01-14,111.17651899,112.95111317,110.1697852,112.44774628,4482300,yfinance
2019-01-15,112.71221622,113.56538566,110.53663152,111.50071716,3224100,yfinance
2019-01-16,111.56046284,113.06204981,111.11682398,112.32832336,3636900,yfinance
2019-01-17,111.31303005,115.94573436,110.19538004,114.78542328,6878500,yfinance
2019-01-18,116.00473721,118.25441768,114.76826721,117.29272461,6122400,yfinance
2019-01-22,115.85877615,115.86737112,112.63022516,113.54899597,5188700,yfinance
2019-01-23,114.23586717,114.62227379,111.7543458,113.18831635,3123600,yfinance
2019-01-24,112.83629673,114.19297849,112.65597271,113.96971893,3943600,yfinance
2019-01-25,115.72138324,117.54173465,114.96575974,117.51597595,6417400,yfinance
2019-01-28,109.04102442,109.73654216,105.74377943,106.79134369,17421400,yfinance
2019-01-29,107.85608532,110.24315469,107.85608532,108.6460495,8550800,yfinance
2019-01-30,109.84815639,112.78477275,108.45712758,111.72003174,7181600,yfinance
2019-01-31,111.90032716,114.49346513,110.80123277,114.33891296,6643300,yfinance
2019-02-01,114.22728765,114.93997546,111.72000754,112.40693665,5646700,yfinance
2019-02-04,112.38119507,112.75041182,111.71144269,112.38119507,4541700,yfinance
2019-02-05,112.16654538,113.42877421,112.14078668,113.34290314,3614500,yfinance
2019-02-06,112.71610167,113.42878977,111.93471931,112.08927155,3098200,yfinance
2019-02-07,111.01592922,112.00339415,109.35872494,110.57801819,3682100,yfinance
2019-02-08,109.46176983,110.42346954,108.6632173,110.42346954,3135000,yfinance
2019-02-11,110.72397157,111.68567766,110.50072516,110.70679474,2648100,yfinance
2019-02-12,111.84882045,114.68239533,111.62557402,113.91819,4505600,yfinance
2019-02-13,115.2319615,115.32641446,113.72930921,114.28744507,3189600,yfinance
2019-02-14,113.1540199,114.41624898,112.71610876,113.87528992,2877500,yfinance
2019-02-15,115.14606732,116.99217717,114.78541935,116.94924164,5217500,yfinance
2019-02-19,116.21939561,117.6189996,115.91885999,116.60578918,3881300,yfinance
2019-02-20,117.11237163,120.80460388,117.0694361,120.47830963,6199000,yfinance
2019-02-21,119.99753229,121.05367863,118.84693297,119.25050354,4051100,yfinance
2019-02-22,119.16456825,119.94595026,118.43470364,119.0786972,3485000,yfinance
2019-02-25,121.06224714,122.40175209,120.36672286,121.42288208,4444100,yfinance
2019-02-26,117.2325791,119.37922416,116.1506747,118.47763062,7275600,yfinance
2019-02-27,118.37461599,119.90302649,117.75638106,119.85150909,3441000,yfinance
2019-02-28,118.96712114,119.35351479,117.75640968,117.92813873,4024000,yfinance
