date,open,high,low,close,volume,source
2019-01-02,112.99405984,113.84383808,111.59546352,112.67539215,1391900,yfinance
2019-01-03,111.92299282,112.63999179,110.16146667,110.3562088,1746200,yfinance
2019-01-04,111.90528571,114.10940515,111.90528571,113.65795135,1977800,yfinance
2019-01-07,113.17110526,113.99432907,112.23280963,112.73736572,1398900,yfinance
2019-01-08,113.22420641,113.60483012,111.07320298,111.86986542,1627500,yfinance
2019-01-09,112.843585,113.64910125,112.35672969,113.26847076,2402000,yfinance
2019-01-10,113.68451529,114.74675008,113.10914937,114.65822601,1307300,yfinance
2019-01-11,114.18905989,115.02113737,113.516323,114.64936066,1300400,yfinance
2019-01-14,114.27759404,115.95944315,113.88810978,115.81781006,1877700,yfinance
2019-01-15,116.57021355,117.84488429,115.36635936,117.24295044,2143900,yfinance
2019-01-16,118.15471484,118.53535214,117.04823149,117.69442749,1803600,yfinance
2019-01-17,117.74752146,118.32288733,117.02166199,117.60588837,2090800,yfinance
2019-01-18,118.19896616,118.80090007,117.66784879,118.2520752,2240700,yfinance
2019-01-22,117.83605065,118.16357892,115.64963839,116.09223175,2432100,yfinance
2019-01-23,116.11875952,117.16328662,115.22472601,116.89772797,1212600,yfinance
2019-01-24,116.56133899,117.49078742,115.83549316,117.20753479,1270100,yfinance
2019-01-25,117.82717779,118.99561696,116.84462021,117.10131836,1579400,yfinance
2019-01-28,116.58791852,117.2872099,115.71157903,116.83576965,1323200,yfinance
2019-01-29,116.51711735,116.93315614,115.7027473,116.31351471,1128000,yfinance
2019-01-30,116.4905514,117.76520864,115.83550851,117.55277252,1317600,yfinance
2019-01-31,117.14558236,117.96881286,116.39318191,117.77407074,2602500,yfinance
2019-02-01,117.90683918,118.43795648,117.30491884,118.23436737,1331300,yfinance
2019-02-04,117.88029498,118.56189243,117.31377611,118.55303192,1560500,yfinance
2019-02-05,118.61500409,119.0664444,117.64129343,119.0664444,1903100,yfinance
2019-02-06,116.50825651,116.84463174,114.69363478,114.96804047,3748800,yfinance
2019-02-07,115.01228885,116.1099251,114.50773951,115.62306976,2226000,yfinance
2019-02-08,115.18046872,115.48144241,113.81728739,115.38407135,1883200,yfinance
2019-02-11,115.73813874,115.90632634,114.47232848,115.57881165,1444300,yfinance
2019-02-12,116.1984586,117.34920398,115.57883063,117.05709076,1425200,yfinance
2019-02-13,117.24296488,118.31404663,116.9862667,117.29607391,1490100,yfinance
2019-02-14,116.5702334,116.5702334,114.97689471,115.71160126,1787000,yfinance
2019-02-15,116.75612734,117.94228786,116.75612734,117.91573334,1420100,yfinance
2019-02-19,117.72095064,118.67695363,117.20754088,118.40253448,1070600,yfinance
2019-02-20,118.60615476,119.34086124,117.89800279,119.33200073,1166500,yfinance
2019-02-21,119.38512699,120.12869409,118.80976104,119.24350739,1499800,yfinance
2019-02-22,119.66837831,119.8100114,118.80974623,119.0664444,1414400,yfinance
2019-02-25,119.55330731,120.33227589,119.1372685,119.82771301,1339600,yfinance
2019-02-26,119.44708377,120.44734897,119.10186153,119.65067291,1290100,yfinance
2019-02-27,118.88940829,119.52674372,117.75637054,117.75637054,1505200,yfinance
2019-02-28,117.82717498,118.54417388,117.72980393,118.52646637,2090400,yfinance
2019-03-01,119.24346929,119.85423658,118.6415355,118.72119904,1670900,yfinance
2019-03-04,118.93365876,119.3496975,117.25180981,118.23436737,1301400,yfinance
2019-03-05,118.40252865,118.67694778,117.53504975,118.20778656,1314600,yfinance
2019-03-06,118.07504292,119.11070965,117.72982068,117.98651886,922700,yfinance
2019-03-07,117.53507252,117.87144774,116.84462807,117.44654846,1245200,yfinance
2019-03-08,116.85347124,117.5970382,116.51710953,117.16329193,1048000,yfinance
2019-03-11,117.75639053,118.34061701,117.42001524,118.09276581,1367900,yfinance
2019-03-12,118.47336458,119.24348606,118.349439,118.70352173,1128100,yfinance
2019-03-13,118.92480679,119.69491469,118.52646207,119.07528687,1501000,yfinance
2019-03-14,119.44704701,120.34108035,118.96019182,119.85422516,1408000,yfinance
2019-03-15,119.53556205,121.19971675,119.53556205,120.69516754,2307700,yfinance
2019-03-18,120.99613753,122.04951156,120.72173189,121.60691833,1679400,yfinance
2019-03-19,121.19090138,122.19115306,120.08441812,120.11981964,1679900,yfinance
2019-03-20,120.3588255,120.90763688,119.22578771,119.25234222,1451000,yfinance
2019-03-21,118.7717096,121.41503767,118.68271684,121.1925354,1154900,yfinance
2019-03-22,120.46276891,122.8746866,120.15126021,121.59307098,1558500,yfinance
2019-03-25,121.76218164,122.18048714,121.1213738,121.63758087,1159900,yfinance
2019-03-26,122.09146605,122.59877785,121.65537019,122.22497559,1369900,yfinance
2019-03-27,122.45635908,124.44998452,122.34066712,123.56887054,1818600,yfinance
2019-03-28,123.62225438,124.19185964,122.63434377,123.78246307,1325900,yfinance
2019-03-29,124.24528476,124.76147812,123.86257375,124.67248535,2007500,yfinance
2019-04-01,125.14422812,126.01643357,124.90392177,125.90074158,1445700,yfinance
2019-04-02,125.90068062,125.98967338,124.35206006,124.52116394,1372100,yfinance
2019-04-03,124.41437099,124.59238368,122.09144661,122.6788559,1937000,yfinance
2019-04-04,122.46527944,122.48306985,121.20145435,121.72657013,2271700,yfinance
2019-04-05,121.93125771,122.64326777,121.61085386,122.45635986,1391200,yfinance
2019-04-08,122.21610472,122.37629991,121.45959126,122.07369995,1065900,yfinance
2019-04-09,121.48626919,121.54857635,120.79206302,121.54857635,1099200,yfinance
2019-04-10,121.57526778,122.42966905,121.43286305,122.2961731,1003400,yfinance
2019-04-11,122.56316882,123.15947333,122.28725457,122.8123703,1111000,yfinance
2019-04-12,123.248486,124.07620173,122.71448856,123.8625946,1544000,yfinance
2019-04-15,123.78244064,124.09393561,123.39972975,123.67564392,1155800,yfinance
2019-04-16,124.07621303,124.85051686,124.04060505,124.78822327,1172400,yfinance
2019-04-17,123.3998081,124.24532797,122.24280665,122.63439941,1417100,yfinance
2019-04-18,122.64330562,125.01073403,122.64330562,123.40871429,1302200,yfinance
2019-04-22,122.83908978,122.94588655,122.07368122,122.85688019,855000,yfinance
2019-04-23,123.05267979,123.72909555,122.70557671,123.35529327,993200,yfinance
2019-04-24,123.71128043,125.85620589,123.22177265,125.09079742,1882700,yfinance
2019-04-25,124.59241282,126.39022192,123.96050021,126.12322998,1314900,yfinance
2019-04-26,126.27455299,127.32475769,126.123253,127.2535553,1207800,yfinance
2019-04-29,127.24462189,128.51732859,126.95091722,127.83203125,1162800,yfinance
2019-04-30,128.2147296,129.26494757,127.44932111,129.2293396,2025900,yfinance
2019-05-01,126.71061012,129.58534972,126.38131105,128.36602783,1930800,yfinance
2019-05-02,128.59745236,129.35395214,127.54723429,128.45504761,1327700,yfinance
2019-05-03,128.84666942,129.72777006,128.13465915,129.09587097,1196900,yfinance
2019-05-06,127.94773841,129.35395481,127.72523608,128.90005493,936500,yfinance
2019-05-07,129.7277479,129.7277479,126.55931703,127.08441925,1524600,yfinance
2019-05-08,127.13780001,128.07229866,126.53258679,127.07549286,1041200,yfinance
2019-05-09,126.15878275,127.52049551,125.85618293,126.95978546,1112500,yfinance
2019-05-10,126.46142626,129.01576235,126.20332952,128.81105042,1162000,yfinance
2019-05-13,127.3069409,128.48175985,126.72844021,127.58285522,1314700,yfinance
2019-05-14,127.37811919,129.40733919,127.37811919,128.05453491,1213100,yfinance
2019-05-15,127.12002548,128.80214245,127.12002548,127.86763,967900,yfinance
2019-05-16,128.10792523,129.98584517,127.5472151,129.60313416,957400,yfinance
2019-05-17,128.60634052,130.11045837,128.53513814,129.04244995,1440700,yfinance
2019-05-20,129.04240909,130.2172139,128.61519499,129.71881104,1306400,yfinance
2019-05-21,129.82563668,130.51984276,129.7366439,130.12825012,1249000,yfinance
2019-05-22,130.12825177,132.06846532,129.71884156,131.73916626,1155600,yfinance
2019-05-23,130.86694873,131.17845739,129.763346,130.8936615,1305700,yfinance
2019-05-24,131.24967685,132.0595886,130.68007142,131.87268066,939500,yfinance
2019-05-28,131.84594729,132.34435021,130.31513056,130.35073853,1106100,yfinance
2019-05-29,129.62095223,129.9947545,128.57074779,129.90576172,1414400,yfinance
2019-05-30,130.38638283,130.78688437,128.86446072,129.74557495,1187100,yfinance
2019-05-31,129.14921691,130.17272191,128.8377083,130.00363159,1265700,yfinance
2019-06-03,129.02465338,131.66798217,129.02465338,131.55227661,1393100,yfinance
2019-06-04,132.2286958,132.51349173,130.98267456,131.1428833,2151000,yfinance
2019-06-05,131.18736118,133.18098684,130.95596366,132.98518372,1459200,yfinance
2019-06-06,133.39461998,133.45691358,132.10409542,132.30880737,1459400,yfinance
2019-06-07,132.37110852,133.78623394,132.12190695,133.00302124,1795900,yfinance
2019-06-10,133.50136708,133.58146465,132.21975179,132.60246277,1397200,yfinance
2019-06-11,132.99408279,133.18099072,132.02397591,132.26428223,1028700,yfinance
2019-06-12,132.55794663,133.30555096,132.18414447,132.40664673,1158000,yfinance
2019-06-13,132.56686518,132.60247315,131.6501568,132.46896362,1190700,yfinance
2019-06-14,132.76269639,133.97310968,132.21089492,133.73280334,1161300,yfinance
2019-06-17,134.17778367,135.28139998,131.85485909,132.06846619,1198100,yfinance
2019-06-18,132.27319073,133.07420733,131.63238288,131.82818604,1608300,yfinance
2019-06-19,132.17526052,133.21656965,131.9883662,133.01187134,1768500,yfinance
2019-06-20,131.98322469,133.79905512,131.98322469,133.6022644,1836000,yfinance
2019-06-21,132.38573044,134.58620197,132.38573044,133.85270691,2185400,yfinance
2019-06-24,132.8508922,135.19447339,132.8508922,134.24630737,1371600,yfinance
2019-06-25,134.62198256,135.37335779,134.13000581,135.01556396,1637300,yfinance
2019-06-26,134.97080774,134.97080774,131.43754324,131.49121094,1453700,yfinance
2019-06-27,131.47338259,132.02798093,131.01719328,131.63439941,1521100,yfinance
2019-06-28,132.2604961,132.32310388,131.34810418,131.75062561,2769700,yfinance
2019-07-01,132.75246997,132.81507774,131.56278583,132.24259949,2115900,yfinance
2019-07-02,131.93849208,133.04767482,131.58963831,132.76142883,2103700,yfinance
2019-07-03,133.28020814,134.74718438,133.17287274,134.39833069,1287100,yfinance
2019-07-05,134.35363423,134.44308951,133.19078378,133.83482361,1051000,yfinance
2019-07-08,133.72749265,134.11212036,133.29813729,133.66487122,1173200,yfinance
2019-07-09,132.61831747,134.06741405,132.36785903,133.50387573,1117800,yfinance
2019-07-10,133.62906739,134.13893784,133.12815065,133.41438293,1161400,yfinance
2019-07-11,133.48597659,133.63803966,132.56464444,133.10134888,1039500,yfinance
