date,open,high,low,close,volume,source
2019-01-02,169.70675307,170.84602301,166.64156163,169.23657227,3478200,yfinance
2019-01-03,168.17864944,170.66516173,166.8314069,167.78985596,3614700,yfinance
2019-01-04,168.98339314,172.81714839,167.5457401,170.6109314,2936200,yfinance
2019-01-07,170.52959569,171.51515576,168.43187619,168.63079834,2340700,yfinance
2019-01-08,169.55303796,172.03955056,167.28352126,171.7321167,3097300,yfinance
2019-01-09,172.76289272,172.76289272,169.16422111,172.11187744,4118500,yfinance
2019-01-10,171.91297458,173.55858675,170.17693825,173.40487671,2646300,yfinance
2019-01-11,171.66882895,176.16263642,171.38853338,176.00892639,3923700,yfinance
2019-01-14,175.12280115,175.94561402,173.31442849,173.64898682,2489900,yfinance
2019-01-15,173.9112187,178.42311406,173.46817617,177.71784973,2946000,yfinance
2019-01-16,177.57319512,179.38156821,177.06685286,177.88061523,2911000,yfinance
2019-01-17,176.68708609,177.87156819,174.5893668,175.86427307,2536700,yfinance
2019-01-18,177.62742103,179.01082516,175.97275821,176.16264343,2521400,yfinance
2019-01-22,175.08667978,176.7051676,174.05590768,174.58033752,3701000,yfinance
2019-01-23,175.864254,178.7666984,175.36694872,178.05238342,2241600,yfinance
2019-01-24,177.57318098,178.51352884,174.54415078,174.57128906,1923200,yfinance
2019-01-25,176.26211777,178.00719109,175.891398,177.47372437,1988700,yfinance
2019-01-28,176.82267745,177.07584852,174.60742369,176.38867188,1510100,yfinance
2019-01-29,175.87332816,179.46295002,175.67440601,179.38157654,1575300,yfinance
2019-01-30,180.15912786,181.09043868,176.5604701,180.65643311,2719500,yfinance
2019-01-31,180.3670984,182.69086406,179.80650725,180.66548157,2894900,yfinance
2019-02-01,176.31638352,180.27672516,170.53863181,175.46644592,5566700,yfinance
2019-02-04,173.90218251,174.85158105,171.37045768,173.667099,3346300,yfinance
2019-02-05,174.26386144,174.77020368,168.18772702,168.58557129,4061100,yfinance
2019-02-06,168.08824481,169.98704175,167.47340468,169.51686096,2268200,yfinance
2019-02-07,168.07018052,168.91106729,166.00863653,168.14251709,2349200,yfinance
2019-02-08,167.57290996,167.81704421,163.20568688,163.99232483,3036100,yfinance
2019-02-11,164.20931108,165.49325426,163.5492588,165.3666687,3930300,yfinance
2019-02-12,165.97243665,168.4679997,164.76083031,167.38296509,2836900,yfinance
2019-02-13,167.70852781,171.20773935,167.50056875,170.71043396,2392100,yfinance
2019-02-14,170.39393236,173.89314328,169.34507278,173.80271912,2363100,yfinance
2019-02-15,175.27652729,179.14644371,174.51700028,178.91134644,2842700,yfinance
2019-02-19,178.79384984,180.05066856,177.25672169,179.28210449,3208200,yfinance
2019-02-20,178.79377794,178.93843724,175.11373361,175.52061462,3195800,yfinance
2019-02-21,175.41218884,176.30733848,172.36508461,173.48626709,1601100,yfinance
2019-02-22,173.62188212,175.75576265,171.92200722,175.20420837,1734100,yfinance
2019-02-25,175.91850308,176.80460189,172.85331175,173.26019287,1886400,yfinance
2019-02-26,173.26019331,173.26019331,170.03225504,170.12266541,1948200,yfinance
2019-02-27,169.03761752,169.42642478,162.30143268,163.40454102,4645600,yfinance
2019-02-28,162.82591466,163.63064014,156.64128201,157.7263031,5918900,yfinance
2019-03-01,159.13681463,163.06098049,158.56717275,161.17123413,3150400,yfinance
2019-03-04,161.83129221,162.74452938,154.55258829,155.23072815,3045900,yfinance
2019-03-05,155.43869559,156.09874784,152.11128229,153.81115723,3938100,yfinance
2019-03-06,153.54899616,153.63036966,148.76584066,149.10943604,2440600,yfinance
2019-03-07,149.29023711,150.06783807,146.85797316,148.11479187,3355900,yfinance
2019-03-08,147.37317382,149.91455625,147.01141641,147.54501343,2011700,yfinance
2019-03-11,147.6987727,149.20009232,146.91194267,147.9881897,2090800,yfinance
2019-03-12,148.74790961,150.90040398,148.3680601,148.59416199,1997800,yfinance
2019-03-13,149.66130435,153.38747151,149.18196962,151.94041443,2659900,yfinance
2019-03-14,152.70014392,154.72602149,152.2208091,153.35131836,3755200,yfinance
2019-03-15,153.29703445,154.29188798,150.33961877,150.53858948,3753100,yfinance
2019-03-18,150.6290626,151.91331952,150.53861634,151.13552856,1696400,yfinance
2019-03-19,151.83189862,156.83326977,151.45204921,156.26348877,3452200,yfinance
2019-03-20,155.73893063,156.84230862,151.64196676,151.82284546,2314700,yfinance
2019-03-21,151.03602708,153.48697706,151.03602708,152.7272644,1625000,yfinance
2019-03-22,152.17559044,152.51023057,149.43523701,150.21302795,1595600,yfinance
2019-03-25,149.57088822,149.57088822,146.92096757,148.11479187,1654400,yfinance
2019-03-26,148.67548536,148.83828582,144.62374534,145.37440491,2614000,yfinance
2019-03-27,145.11218633,146.3060109,143.42094866,144.51527405,1949800,yfinance
2019-03-28,144.51523714,145.64574627,143.61082983,144.42480469,1682700,yfinance
2019-03-29,144.7775414,146.32407036,143.53850765,145.44680786,3332000,yfinance
2019-04-01,147.07468291,147.49975536,145.10308199,146.39637756,1894500,yfinance
2019-04-02,146.92098979,146.95717381,143.37571418,143.45710754,2712800,yfinance
2019-04-03,144.02686782,145.81759048,142.89635866,143.80076599,2286400,yfinance
2019-04-04,143.80075969,146.2064864,143.22193957,146.04368591,1703700,yfinance
2019-04-05,147.10181402,151.442971,146.85763403,150.24916077,3692900,yfinance
2019-04-08,150.28536422,151.51535874,148.91066122,151.39778137,2385400,yfinance
2019-04-09,150.54763665,154.55415413,149.38998267,152.96240234,2742600,yfinance
2019-04-10,152.3383701,153.46887924,150.936536,152.12130737,2082300,yfinance
2019-04-11,152.2117635,152.28411775,146.8395815,148.33184814,3368000,yfinance
2019-04-12,149.17295804,149.22722027,144.46098943,145.24783325,3592700,yfinance
2019-04-15,146.23359673,149.68842492,144.84985487,148.1599884,2669700,yfinance
2019-04-16,150.76469061,151.27115648,136.12233456,136.60166931,6383100,yfinance
2019-04-17,136.66496278,137.2528219,128.38059011,131.5821991,8670300,yfinance
2019-04-18,131.99823841,134.80190647,130.45170971,134.75668335,5347700,yfinance
2019-04-22,135.21795109,137.2166976,133.61715986,133.84326172,2654200,yfinance
2019-04-23,134.54870621,140.89763686,134.48539106,139.1159668,4360000,yfinance
2019-04-24,138.71799285,139.67666236,137.04483386,139.47769165,1821200,yfinance
2019-04-25,138.59137217,142.64311279,137.58747956,141.82009888,2290900,yfinance
2019-04-26,142.09144639,145.7542991,142.01909214,145.55532837,2343900,yfinance
2019-04-29,145.55530527,145.95324667,143.17670978,145.31111145,1795300,yfinance
2019-04-30,145.7452148,145.76330681,141.2231788,143.65603638,3430200,yfinance
2019-05-01,143.72843095,147.26466741,143.15864984,146.51400757,3204400,yfinance
2019-05-02,148.12383974,148.31377137,137.92212559,143.09533691,4885300,yfinance
2019-05-03,143.05011313,143.56563196,135.48926691,138.22058105,5762400,yfinance
2019-05-06,136.71021678,144.1173151,135.88720279,143.61988831,3249500,yfinance
2019-05-07,142.53459103,143.71030943,138.56424367,140.32783508,2350500,yfinance
2019-05-08,140.1741234,142.71550627,138.76323611,141.54881287,1800900,yfinance
2019-05-09,140.03842293,142.3265723,139.28776322,140.96092224,1682200,yfinance
2019-05-10,141.21417173,143.50232136,138.76322159,143.29431152,2195600,yfinance
2019-05-13,140.59918891,142.58888255,139.43249557,142.28138733,2341000,yfinance
2019-05-14,142.28137903,143.52945186,140.40924909,140.44541931,2778500,yfinance
2019-05-15,140.31881462,141.07852739,136.76449986,140.42735291,2094100,yfinance
2019-05-16,140.19218427,142.93253755,138.72704872,139.08880615,2208700,yfinance
2019-05-17,138.71801469,141.99196514,138.49191284,140.05653381,1558400,yfinance
2019-05-20,139.27871116,140.93377802,138.19342527,138.98025513,2028800,yfinance
2019-05-21,139.45055311,141.29553779,138.32004407,139.87562561,2979600,yfinance
2019-05-22,140.15601229,140.15601229,136.45698943,138.22058105,2531000,yfinance
2019-05-23,136.88203639,137.83165291,134.76571303,135.67012024,2370600,yfinance
2019-05-24,135.96857136,136.41173585,134.53056727,135.19078064,2269700,yfinance
2019-05-28,134.95567696,135.86912349,132.27862492,132.48664856,4552300,yfinance
2019-05-29,131.98012857,134.72049493,130.62351785,134.22306824,2054400,yfinance
2019-05-30,134.04223246,135.36265959,132.94789339,133.84326172,1291500,yfinance
2019-05-31,132.84840703,134.19597907,131.14811665,133.87039185,2375600,yfinance
2019-06-03,133.49954794,136.79158961,133.40006259,136.03189087,2479200,yfinance
2019-06-04,137.3704361,139.99321198,136.95440264,139.32395935,2251100,yfinance
2019-06-05,140.52679852,140.52679852,137.59651415,139.10687256,2194000,yfinance
2019-06-06,139.00742068,139.8756579,138.48286271,139.0255127,1300600,yfinance
2019-06-07,139.67669954,142.8963881,139.21544288,142.41705322,1862400,yfinance
2019-06-10,142.77875597,143.3304449,141.385975,141.58494568,1465300,yfinance
2019-06-11,141.90153623,143.24006931,141.14183721,141.41316223,1263300,yfinance
2019-06-12,140.90668503,141.47645234,139.82139884,141.15087891,1242000,yfinance
2019-06-13,141.5487923,143.07724296,140.65343784,142.99584961,952000,yfinance
2019-06-14,143.203851,144.62377711,141.71158445,143.26716614,1473600,yfinance
2019-06-17,143.31237884,144.40670389,142.92347655,143.90023804,979000,yfinance
2019-06-18,144.70517907,145.67290158,143.52944673,144.56047058,1561800,yfinance
2019-06-19,144.70515342,146.24264292,142.86920789,144.8860321,2386500,yfinance
2019-06-20,145.26592555,145.44681809,143.58372708,144.47909546,1546400,yfinance
2019-06-21,144.95840928,147.06568006,143.45708976,145.74523926,3055000,yfinance
2019-06-24,145.60957443,145.60957443,143.80979894,145.12120056,1404400,yfinance
2019-06-25,144.30721597,145.44677792,143.65604166,144.7775116,1245800,yfinance
2019-06-26,144.93128564,145.28400397,141.42218051,141.91056824,1530400,yfinance
2019-06-27,142.24520117,143.53851098,141.41314798,142.79689026,1362300,yfinance
2019-06-28,142.94161417,143.92741507,141.54881883,142.4894104,3249500,yfinance
2019-07-01,143.72843939,144.56049264,142.81499278,143.57469177,1715000,yfinance
2019-07-02,143.72842618,146.3692942,142.28138258,146.34216309,1738000,yfinance
2019-07-03,146.8034135,150.07736382,146.51399651,149.07347107,1159500,yfinance
2019-07-05,148.34088784,149.40808182,147.27368006,147.81632996,862800,yfinance
2019-07-08,147.64447822,147.82535691,144.84986324,146.26977539,1202300,yfinance
2019-07-09,144.87701673,145.89900146,144.20775032,144.46098328,1007100,yfinance
2019-07-10,144.64183925,145.87183362,144.07207209,145.16639709,948600,yfinance
2019-07-11,162.36826575,168.01177311,156.4624863,158.57879639,10064800,yfinance
2019-07-12,158.18082012,162.52197762,157.59296094,162.0788269,3821800,yfinance
2019-07-15,161.93409926,162.63049661,159.50124187,160.10719299,1806300,yfinance
2019-07-16,160.56846334,164.71065036,159.77259431,162.75714111,3057700,yfinance
2019-07-17,161.35530828,164.46647158,161.03876021,161.41860962,1529700,yfinance
2019-07-18,160.79454041,162.17829604,157.6381683,160.02580261,1719600,yfinance
2019-07-19,160.62276904,160.62276904,156.89660096,157.08653259,1120800,yfinance
2019-07-22,157.16790339,157.16790339,154.16527826,154.30093384,1687000,yfinance
2019-07-23,154.18333424,156.42627401,152.53732033,155.64848328,1642800,yfinance
2019-07-24,154.56319643,155.14201653,149.68844181,154.90687561,1817100,yfinance
2019-07-25,154.40040485,154.55415242,150.22204782,150.62902832,2040700,yfinance
2019-07-26,151.41588226,151.60581388,150.0773632,151.30735779,1801700,yfinance
2019-07-29,150.83706089,156.00123307,150.83706089,155.77513123,1563400,yfinance
2019-07-30,154.26476672,155.95600403,153.00762727,155.78416443,878900,yfinance
2019-07-31,156.95084533,157.0593836,153.08903588,153.67689514,2017300,yfinance
2019-08-01,153.78542213,156.4715131,149.27243821,151.54249573,3175900,yfinance
2019-08-02,151.8228605,152.98050083,146.82148886,148.84736633,1905900,yfinance
2019-08-05,146.83957518,147.67162827,142.10952869,143.80076599,2570500,yfinance
2019-08-06,147.41839046,148.71168628,144.33435824,148.06956482,3088100,yfinance
2019-08-07,146.12506075,150.88223709,145.0488141,150.56568909,1806300,yfinance
2019-08-08,150.69237936,151.93142707,149.11871908,150.67430115,1590900,yfinance
2019-08-09,150.59287291,154.50895865,150.42104709,153.65881348,1664900,yfinance
2019-08-12,152.28412786,153.43271536,149.26339654,149.77891541,1313800,yfinance
2019-08-13,149.77887002,153.83061022,149.77887002,153.2698822,1321900,yfinance
2019-08-14,150.67422554,150.90936641,144.74130348,144.86791992,2839100,yfinance
2019-08-15,145.62767749,145.7995171,142.1095334,144.43385315,1743200,yfinance
2019-08-16,145.0036309,147.57214444,142.10953017,145.8266449,1453000,yfinance
2019-08-19,147.46359894,149.02821956,147.17418201,147.40028381,1265400,yfinance
2019-08-20,147.02045694,148.34993685,145.33825871,145.74523926,1250500,yfinance
2019-08-21,147.10183621,148.36801466,146.12508851,146.82147217,1263600,yfinance
2019-08-22,146.87576866,146.87576866,140.55396923,140.88859558,2060100,yfinance
2019-08-23,140.18313483,142.06430371,137.73218491,138.64564514,2201800,yfinance
2019-08-26,139.48676421,139.7399972,137.6508181,138.29295349,1529200,yfinance
2019-08-27,138.54615551,138.86268978,132.25147467,132.28765869,2794300,yfinance
2019-08-28,132.29670348,135.10037173,131.60030597,133.3548584,2343300,yfinance
2019-08-29,134.8380868,138.22057522,134.68433921,137.92211914,2045200,yfinance
2019-08-30,138.6456509,140.51776696,137.95829247,139.25160217,1553500,yfinance
2019-09-03,138.21152541,140.48158268,137.57842928,140.17408752,2994000,yfinance
2019-09-04,141.48549422,142.51651809,137.95829712,138.32006836,1915700,yfinance
2019-09-05,140.08366557,140.08366557,136.511259,136.56552124,2092900,yfinance
2019-09-06,136.43889477,139.92990773,135.66110389,139.09785461,2031300,yfinance
2019-09-09,140.3369086,147.04761052,139.86661284,146.65872192,2945400,yfinance
2019-09-10,146.86670559,150.99985371,144.94936647,149.21817017,2936500,yfinance
2019-09-11,148.70263899,149.64323027,144.87700017,146.41448975,2194500,yfinance
2019-09-12,149.34478226,149.48043783,143.57465925,143.78266907,3362700,yfinance
2019-09-13,144.79561724,147.40935384,144.29819046,145.47392273,2194900,yfinance
2019-09-16,144.68708053,149.78793731,144.68708053,149.67941284,1558600,yfinance
2019-09-17,148.40417899,149.91453741,145.41963237,146.06176758,1620000,yfinance
2019-09-18,145.18448171,146.47779114,144.14441899,145.10308838,1563100,yfinance
2019-09-19,145.62768501,150.76471248,145.23878265,148.96495056,2006900,yfinance
2019-09-20,149.71558641,150.78279426,145.8990001,145.95326233,2695700,yfinance
2019-09-23,145.22068351,145.97132941,144.42480069,144.84082031,2112500,yfinance
2019-09-24,145.41964024,146.16126084,141.7477489,142.81495667,1842600,yfinance
2019-09-25,142.40798804,143.31239539,140.10174652,140.3821106,1689600,yfinance
2019-09-26,141.00612696,141.35884521,135.1727034,135.47114563,3523500,yfinance
2019-09-27,136.21276516,137.5060608,133.96983923,135.19078064,2463900,yfinance
2019-09-30,136.14042011,138.27482174,134.06028071,137.27996826,1993700,yfinance
2019-10-01,138.33815103,138.4647675,133.77993037,136.04998779,2231800,yfinance
