date,open,high,low,close,volume,source
2019-01-02,141.21916239,142.2567552,139.90133492,140.55267334,1771500,yfinance
2019-01-03,140.3405923,142.09768381,137.19750146,137.46258545,2274100,yfinance
2019-01-04,138.99249263,140.34817933,137.20509965,139.87103271,2250800,yfinance
2019-01-07,138.69710627,140.36331717,138.52290293,139.16667175,1544400,yfinance
2019-01-08,140.20426358,140.37846692,136.75065989,138.34114075,1596000,yfinance
2019-01-09,137.90192265,138.22001664,134.62250936,135.23597717,2993000,yfinance
2019-01-10,134.53920467,136.52351035,134.21354112,136.21299744,2585100,yfinance
2019-01-11,134.84967876,136.7961129,134.31952227,136.74310303,1326500,yfinance
2019-01-14,135.47832766,136.49320053,134.69823761,135.3192749,1688400,yfinance
2019-01-15,134.42556094,138.39417102,134.42556094,137.81100464,1486800,yfinance
2019-01-16,138.3714986,139.14401925,137.66715004,138.06097412,1097200,yfinance
2019-01-17,137.86398531,138.54561332,136.96271365,137.2808075,1543400,yfinance
2019-01-18,138.03824074,139.35606859,136.94005664,138.92436218,1528300,yfinance
2019-01-22,138.72743601,141.58272362,138.55324417,141.12072754,1677500,yfinance
2019-01-23,141.27977769,142.41583255,140.57542922,142.2492218,1317400,yfinance
2019-01-24,142.05988687,142.07502595,140.6057264,141.11317444,1466900,yfinance
2019-01-25,141.74174356,142.44610344,140.50723873,140.82533264,1508500,yfinance
2019-01-28,140.50725514,141.23432371,139.81047628,140.08312988,1100300,yfinance
2019-01-29,139.96953495,140.1815976,136.50836037,137.2278595,1345400,yfinance
2019-01-30,137.2808243,138.47746978,136.18264057,136.60676575,1547300,yfinance
2019-01-31,136.12206477,138.25027196,135.59190825,138.05335999,1824200,yfinance
2019-02-01,138.58355054,140.28006339,138.06854452,138.9319458,1495900,yfinance
2019-02-04,138.70474711,139.18189393,132.97903152,137.49295044,2399200,yfinance
2019-02-05,136.00847079,136.42502649,133.66061977,135.40257263,2605300,yfinance
2019-02-06,134.91787017,135.2662654,133.91056684,134.63006592,1643300,yfinance
2019-02-07,133.56972971,134.23621879,131.5551234,134.2286377,1732200,yfinance
2019-02-08,134.01659032,135.66008148,133.68334574,134.96330261,1360000,yfinance
2019-02-11,135.22840628,135.68282131,134.20595223,134.29684448,1086000,yfinance
2019-02-12,134.83456129,136.82644781,134.47102698,135.51618958,1414800,yfinance
