date,open,high,low,close,volume,source
2019-01-02,108.91820247,111.33362973,108.677483,110.71109772,1172500,yfinance
2019-01-03,109.90594503,110.25456141,107.93043956,108.51977539,1192400,yfinance
2019-01-04,109.83954806,113.12650994,109.78974753,113.02690887,1244100,yfinance
2019-01-07,113.00200339,115.1435149,112.29646209,113.5830307,1114200,yfinance
2019-01-08,114.7782988,116.25577373,113.64944026,113.8818512,1314400,yfinance
2019-01-09,114.8695947,115.49212665,113.53322561,114.10595703,1734800,yfinance
2019-01-10,113.32570446,115.78263589,112.70317257,115.64982605,1432300,yfinance
2019-01-11,115.39255981,116.28900761,114.72022714,115.82417297,1152600,yfinance
2019-01-14,115.1767249,116.65419995,114.19728056,116.39688873,1547600,yfinance
2019-01-15,116.5629104,116.74552084,114.62892172,115.29294586,1435400,yfinance
2019-01-16,115.43400642,117.61700939,115.15178237,117.34309387,1191800,yfinance
2019-01-17,116.62932527,120.8625492,116.62932527,120.43923187,1259400,yfinance
2019-01-18,121.46016723,125.11235057,121.39376229,124.97124481,1963100,yfinance
2019-01-22,124.06646422,124.40678471,121.02850537,121.33561707,1869800,yfinance
2019-01-23,121.7838691,122.11588112,119.02812119,119.06962585,1650300,yfinance
2019-01-24,118.97831895,119.93287566,118.34749105,119.43484497,1480900,yfinance
2019-01-25,121.16966931,122.34832881,121.02026766,121.88350677,1026600,yfinance
2019-01-28,119.63406109,119.63406109,116.93642225,118.54670715,1294400,yfinance
2019-01-29,119.60086571,121.69257714,119.22734897,121.50167084,1075300,yfinance
2019-01-30,122.63053243,122.67202444,119.72538253,121.48506927,1158400,yfinance
2019-01-31,121.32736267,122.28191955,120.14870333,122.10760498,1651600,yfinance
2019-02-01,122.19890627,122.68033263,121.02024698,121.77558899,1502200,yfinance
2019-02-04,121.91665082,123.52693535,121.11150855,123.46882629,1345700,yfinance
2019-02-05,123.24472786,124.43999129,122.28188803,124.35699463,1674800,yfinance
2019-02-06,122.40638142,125.31153048,121.38543259,123.96686554,2116500,yfinance
2019-02-07,124.01668476,125.12064308,123.17833351,124.19098663,1141600,yfinance
2019-02-08,123.18666023,123.89218904,121.62617565,123.07875061,891200,yfinance
2019-02-11,122.9791358,123.76767388,122.38150402,122.99572754,1272200,yfinance
2019-02-12,123.76766395,126.29929664,123.65975435,125.99217224,1129100,yfinance
2019-02-13,126.53171378,127.38665676,125.68506666,126.75582886,1137300,yfinance
2019-02-14,125.81788166,126.5234104,125.33645534,125.66017151,810500,yfinance
2019-02-15,126.43210827,129.07163794,125.95068199,129.04673767,1350200,yfinance
2019-02-19,128.72303945,128.91394575,127.37837416,127.54438019,1820200,yfinance
2019-02-20,127.9178778,129.37874836,126.82221539,128.98033142,1497900,yfinance
2019-02-21,128.34483445,129.89175451,127.91001876,128.82981873,1163900,yfinance
2019-02-22,129.23954755,130.63596196,128.87162753,129.97538757,1384300,yfinance
2019-02-25,131.19620252,131.42197394,129.78307371,130.51054382,978800,yfinance
2019-02-26,129.46535288,131.31329786,128.79640839,129.86671448,1664300,yfinance
2019-02-27,130.20953264,130.59416707,128.77130664,129.9085083,1132400,yfinance
2019-02-28,129.59075491,129.59075491,128.52881892,128.84655762,1002000,yfinance
2019-03-01,129.79142195,130.36838624,128.57059766,129.11412048,1496100,yfinance
2019-03-04,130.03390394,130.55234245,128.2026867,129.64089966,1142600,yfinance
2019-03-05,129.14753027,130.59411286,129.14753027,129.1809845,1032600,yfinance
2019-03-06,129.14760769,129.95870086,128.62918174,129.20614624,1070800,yfinance
2019-03-07,128.68767008,129.67436584,126.99860127,129.01377869,1333700,yfinance
2019-03-08,127.73443325,129.7747078,127.71771889,129.2479248,1402200,yfinance
2019-03-11,129.26466552,132.31672079,128.86330393,132.1494751,1606100,yfinance
2019-03-12,132.49229316,132.86021322,131.48888293,132.46720886,1924800,yfinance
2019-03-13,132.95219506,132.95219506,130.98717324,131.24639893,1798200,yfinance
2019-03-14,131.05405947,131.97385957,130.69450937,131.37181091,1707500,yfinance
2019-03-15,131.37179445,132.19124449,130.90353728,131.62265015,3532800,yfinance
2019-03-18,131.8651802,134.29845962,131.77320017,134.24829102,1340100,yfinance
2019-03-19,134.8085132,135.74502775,133.42045574,133.88035583,1498700,yfinance
2019-03-20,133.35353956,133.5960381,130.75302789,131.91531372,1462000,yfinance
2019-03-21,131.35506466,133.11939895,131.35506466,132.63441467,711900,yfinance
2019-03-22,131.81500458,131.95715321,129.55732816,130.1342926,1348400,yfinance
2019-03-25,130.02553485,131.06239901,129.93355486,130.81990051,898300,yfinance
2019-03-26,131.77315025,132.40028309,130.20114593,130.66940308,981300,yfinance
2019-03-27,130.83664906,130.88681765,129.49876042,130.06736755,1371600,yfinance
2019-03-28,130.36000658,131.15438504,129.80813938,130.43527222,1199900,yfinance
2019-03-29,131.48885271,132.06581697,130.76973987,132.00727844,1379600,yfinance
2019-04-01,133.5207863,135.96243526,133.24485902,135.73666382,1436600,yfinance
2019-04-02,135.88716743,136.95747335,135.15134009,135.318573,986400,yfinance
2019-04-03,135.61956912,136.10455338,134.59943201,135.00079346,640700,yfinance
2019-04-04,134.5827022,136.83202065,134.14788654,136.65641785,801600,yfinance
2019-04-05,136.71497649,137.49261519,136.23834935,136.5226593,948600,yfinance
2019-04-08,136.29688905,136.76514626,135.59450324,136.45576477,534300,yfinance
2019-04-09,135.59444721,136.17976848,134.00570347,135.21817017,911300,yfinance
2019-04-10,135.72828421,136.46411144,134.82521133,135.91223145,545800,yfinance
2019-04-11,136.02928605,137.96922307,135.52758744,137.6013031,613800,yfinance
2019-04-12,138.47094834,139.47435842,137.72675114,138.86395264,991000,yfinance
2019-04-15,138.87232539,139.36566693,137.60133234,137.94416809,1587000,yfinance
2019-04-16,139.32389568,140.27713755,138.05291502,139.8256073,970000,yfinance
2019-04-17,140.58650655,141.62335833,138.59640031,138.77200317,979600,yfinance
2019-04-18,139.18170821,140.6617456,138.80543098,140.34399414,1511600,yfinance
2019-04-22,139.68343345,139.69179063,138.32046024,138.77200317,755600,yfinance
2019-04-23,138.80542551,139.99279569,137.63478245,139.48272705,1206000,yfinance
2019-04-24,139.16498757,140.41925357,138.38734878,138.94758606,699100,yfinance
2019-04-25,138.00268288,138.61310144,135.19312691,135.57777405,970500,yfinance
2019-04-26,136.04602388,136.74005246,135.31019664,136.58117676,1223100,yfinance
2019-04-29,136.84042108,137.45083975,136.06278226,137.25015259,1498600,yfinance
2019-04-30,140.09311881,141.69022028,136.99090863,139.04789734,1885100,yfinance
2019-05-01,139.23186233,140.85404816,137.94415505,138.36224365,1327000,yfinance
2019-05-02,138.16157732,139.30714895,136.96584986,138.94758606,1208400,yfinance
2019-05-03,139.24860468,141.54809225,138.95593752,141.47283936,1296700,yfinance
2019-05-06,138.50441262,140.3440002,137.25850381,140.14332581,1165700,yfinance
2019-05-07,138.7803181,139.51615805,137.11632103,138.47929382,1184000,yfinance
2019-05-08,138.3622543,139.46600167,137.35884413,138.26191711,755400,yfinance
2019-05-09,136.51424467,138.38728564,134.99240925,138.25349426,1373700,yfinance
2019-05-10,137.63478992,138.59638872,134.86703232,138.29536438,928900,yfinance
2019-05-13,135.80356198,135.80356198,132.16618552,132.86021423,1436500,yfinance
2019-05-14,133.32846842,134.84194729,132.55082965,134.42385864,1232100,yfinance
2019-05-15,133.62112027,135.4272661,132.04910304,134.97572327,1036500,yfinance
2019-05-16,135.85371978,136.57283273,135.37709262,135.88716125,836900,yfinance
2019-05-17,134.45729695,134.71650984,132.81838401,133.15286255,1109400,yfinance
2019-05-20,132.58422939,134.90880054,132.58422939,134.77500916,1133500,yfinance
2019-05-21,135.79516458,137.57622599,135.75336593,137.33374023,1098100,yfinance
2019-05-22,137.04946217,137.51773221,135.99588331,136.71499634,1095200,yfinance
2019-05-23,134.06254564,134.89616542,132.82473333,134.09622192,1283000,yfinance
2019-05-24,135.12352966,136.00768319,134.1299057,134.66040039,935800,yfinance
2019-05-28,135.01406153,136.13398764,133.61625785,133.63310242,1596100,yfinance
2019-05-29,132.69837288,134.00355016,131.56161552,132.96783447,1076800,yfinance
2019-05-30,133.73411514,134.70246553,132.92574313,133.48991394,1063500,yfinance
2019-05-31,130.43328424,130.71959045,126.71143208,126.94720459,1640700,yfinance
2019-06-03,127.0650832,129.62491722,126.96404152,128.29447937,1653100,yfinance
2019-06-04,129.97019048,131.66270333,128.74920988,131.64585876,1743400,yfinance
2019-06-05,132.79946513,134.44145702,130.49224778,134.34883118,1515400,yfinance
2019-06-06,133.98671133,135.75501777,133.55727136,135.37609863,983800,yfinance
2019-06-07,135.90660653,137.27073367,134.73615977,136.36973572,803400,yfinance
2019-06-10,137.33808785,138.80324372,136.79074873,137.32124329,885100,yfinance
2019-06-11,139.08958724,140.84104995,138.11282059,138.27281189,1062400,yfinance
2019-06-12,138.16334599,138.23071143,136.55502996,137.31288147,1068900,yfinance
2019-06-13,137.69177596,138.44119862,136.41185863,138.39909363,836700,yfinance
2019-06-14,138.27276466,138.27276466,136.04132884,137.9780426,958600,yfinance
2019-06-17,138.03698825,138.22223992,136.38658058,136.64761353,787100,yfinance
2019-06-18,137.32968391,141.46414505,137.32968391,140.48736572,1031900,yfinance
2019-06-19,140.42843179,141.6157104,139.75479042,141.42204285,1064300,yfinance
2019-06-20,143.14826154,144.69762787,142.12096122,144.49554443,1556600,yfinance
2019-06-21,144.34393116,144.49550655,142.72719982,143.11454773,1713600,yfinance
2019-06-24,143.33346457,144.25129414,142.59245794,143.28294373,1163100,yfinance
2019-06-25,143.73766779,143.73766779,141.40518998,142.17988586,1987500,yfinance
2019-06-26,142.89563567,143.29981538,141.97780584,142.23042297,831600,yfinance
2019-06-27,142.56719069,143.03031981,140.504175,141.67462158,705600,yfinance
2019-06-28,142.33145091,144.3607908,141.91884254,144.27658081,2680500,yfinance
2019-07-01,145.67435903,146.32273983,143.3503103,145.55647278,2381900,yfinance
2019-07-02,144.04079727,144.52077103,142.52510758,143.31663513,1164900,yfinance
2019-07-03,144.58809256,144.84069673,142.21351063,143.35028076,756700,yfinance
2019-07-05,142.27253194,142.85353466,139.58639495,142.43251038,829200,yfinance
2019-07-08,142.2977375,143.1482016,141.68303303,142.35667419,996300,yfinance
2019-07-09,141.32097,141.85146455,139.86423001,140.86625671,1231300,yfinance
2019-07-10,141.46411167,142.39036992,140.64732381,140.95887756,827100,yfinance
2019-07-11,141.80093032,142.22195448,139.85580078,142.1882782,951500,yfinance
2019-07-12,142.87876399,144.90810368,142.85350357,144.0660553,1254200,yfinance
2019-07-15,144.47870239,145.13549927,143.08089861,144.09135437,650500,yfinance
2019-07-16,143.15667179,145.33758734,142.57566907,145.1270752,750200,yfinance
2019-07-17,144.90810737,145.01757778,142.33985716,142.55036926,1075300,yfinance
2019-07-18,142.39881515,142.89562065,140.32737029,141.41362,959100,yfinance
2019-07-19,142.28933513,147.51003264,142.02830218,145.50596619,1904600,yfinance
2019-07-22,145.90173439,146.23854862,143.47663081,143.76292419,1038500,yfinance
2019-07-23,144.40291928,146.13753734,143.72927783,145.98596191,1144500,yfinance
2019-07-24,145.11859299,148.12471142,144.45338052,147.66999817,1026500,yfinance
2019-07-25,147.37531943,147.81317537,145.63227302,147.32479858,940900,yfinance
2019-07-26,146.68481308,147.5942268,145.79224393,147.13952637,855200,yfinance
2019-07-29,147.24055707,147.72051789,145.92696386,146.49113464,1194100,yfinance
2019-07-30,136.83289335,140.20950351,136.68974663,139.0811615,2352200,yfinance
2019-07-31,138.7359148,140.45370104,136.46238628,138.09596252,1907100,yfinance
2019-08-01,137.99490554,139.14009196,133.60782742,134.50039673,1435500,yfinance
2019-08-02,133.54888889,134.39093733,132.24371122,133.61624146,1317100,yfinance
2019-08-05,130.99747577,131.54480209,126.31567587,127.51138306,2317900,yfinance
2019-08-06,128.42082725,130.02914315,127.39352693,130.01229858,1223500,yfinance
2019-08-07,127.76398155,129.49018309,125.79359167,128.21026611,1478300,yfinance
2019-08-08,128.71553504,129.99545236,128.24398993,129.43969727,1240600,yfinance
2019-08-09,128.61445265,129.04389262,124.96838223,126.27355957,1396000,yfinance
2019-08-12,125.81044925,126.45040138,123.94951671,124.75788879,1089000,yfinance
2019-08-13,124.20215549,129.8943988,124.04216421,127.20827484,1413800,yfinance
2019-08-14,124.85891399,125.4567739,121.36441888,121.66755676,1839000,yfinance
2019-08-15,122.08861543,123.30115447,121.29708779,122.96434021,1505600,yfinance
2019-08-16,123.7811264,126.52619981,123.7811264,125.67573547,1237800,yfinance
2019-08-19,127.68820153,128.11764153,125.22942208,125.49887085,2291200,yfinance
2019-08-20,125.42329744,125.60170258,123.8346971,124.20848846,1150500,yfinance
2019-08-21,125.65268162,126.9269634,125.01554073,125.52524567,1014000,yfinance
2019-08-22,125.96697347,126.9354269,123.73272908,124.60773468,1021300,yfinance
2019-08-23,123.68174685,124.22543972,119.90138138,120.64896393,1533200,yfinance
2019-08-26,122.04218789,122.25456814,120.2242135,121.60043335,1197800,yfinance
2019-08-27,122.73029051,123.12956638,121.3115921,121.3115921,1171100,yfinance
2019-08-28,121.16716103,123.92810375,120.23268293,123.69023895,1169200,yfinance
2019-08-29,125.16842418,127.21577296,124.93906284,126.66358948,1368300,yfinance
2019-08-30,127.64054094,128.43058931,126.36625933,126.80801392,939500,yfinance
2019-09-03,125.40630238,125.91602023,122.43297849,123.95362854,1268900,yfinance
2019-09-04,125.72913268,126.70607684,125.3043721,126.55316925,975200,yfinance
2019-09-05,128.32866623,132.66122939,127.89541509,131.38694763,1563600,yfinance
2019-09-06,131.68422235,132.68666369,130.7157691,131.59077454,1124800,yfinance
2019-09-09,131.94764361,136.76442743,131.76074791,136.62001038,1704800,yfinance
2019-09-10,137.00228955,140.57027605,136.50106218,139.31298828,1836900,yfinance
2019-09-11,138.89669812,140.5957403,136.43309215,140.58724976,1254700,yfinance
2019-09-12,140.45979532,141.36878899,138.36147747,140.21343994,984500,yfinance
2019-09-13,141.16489443,142.16733589,140.06901811,140.2644043,1058500,yfinance
2019-09-16,139.21103692,140.51080334,138.86274308,139.06661987,1126800,yfinance
2019-09-17,138.47191281,138.8457041,137.03622035,138.48890686,1330500,yfinance
2019-09-18,137.78384279,138.31054177,136.01683717,137.91976929,1078300,yfinance
2019-09-19,138.38700469,139.37245244,137.25715285,137.63943481,783700,yfinance
