date,open,high,low,close,volume,source
2019-01-02,180.72844817,184.87484201,180.14255097,184.56835938,2143100,yfinance
2019-01-03,183.61292673,185.63204294,180.31383987,180.65637207,2877700,yfinance
2019-01-04,183.05401328,187.42574009,181.58474534,185.90240479,2761600,yfinance
2019-01-07,185.25339679,188.49838763,183.46863738,186.58744812,2226600,yfinance
2019-01-08,188.07473449,188.46233876,184.04552617,187.98460388,2366500,yfinance
2019-01-09,188.52545075,190.39133206,187.41674644,189.20149231,1862900,yfinance
2019-01-10,187.62403712,190.10285585,185.68605708,189.86849976,2340700,yfinance
2019-01-11,189.32765851,190.41834478,188.66964867,189.75131226,1861100,yfinance
2019-01-14,188.81386675,189.87749867,187.63304991,188.39021301,1523100,yfinance
2019-01-15,189.32762171,190.49942944,188.46229652,190.22000122,1681900,yfinance
2019-01-16,190.60764753,190.60764753,188.84091975,189.45385742,1455000,yfinance
2019-01-17,189.17444749,190.77891832,188.97614087,190.60766602,1517100,yfinance
2019-01-18,191.59917392,193.04140129,190.88708292,192.52760315,2115400,yfinance
2019-01-22,191.99576418,194.3033167,190.01271209,191.45492554,3310800,yfinance
2019-01-23,191.99578885,193.66336341,189.29162281,191.17552185,2220200,yfinance
2019-01-24,191.44593497,191.44593497,188.30008362,189.57104492,1994400,yfinance
2019-01-25,191.12141047,191.38282085,188.15584824,188.45330811,2252300,yfinance
2019-01-28,188.10178966,190.00372039,186.86689152,189.98570251,1999400,yfinance
2019-01-29,189.58006761,189.77836046,188.00263747,189.57104492,1636500,yfinance
2019-01-30,189.72425127,191.24760006,188.67865104,190.50846863,1589800,yfinance
2019-01-31,190.31914588,193.69034344,189.039176,193.46499634,4341100,yfinance
2019-02-01,192.89713304,193.79852151,188.72370001,189.53495789,3453700,yfinance
2019-02-04,189.92259241,190.36427782,187.39870135,190.35525513,1630300,yfinance
2019-02-05,190.6347119,191.56314121,188.96713721,190.74287415,2074500,yfinance
2019-02-06,191.32873168,191.32873168,189.72426114,190.73382568,1618800,yfinance
2019-02-07,189.86616325,189.89327685,186.43163203,188.94425964,2526600,yfinance
2019-02-08,187.84162516,188.43815193,185.96167077,187.76931763,2013700,yfinance
2019-02-11,188.58275235,188.82678854,186.87452663,188.64602661,2376600,yfinance
2019-02-12,189.85712525,192.2884122,189.13406384,191.52015686,2091200,yfinance
2019-02-13,191.818417,192.97530973,190.97786794,192.33360291,1703000,yfinance
2019-02-14,191.61057349,193.91532607,190.83328476,193.27360535,1411100,yfinance
2019-02-15,194.45758137,196.35561585,193.45433693,195.65063477,2635500,yfinance
2019-02-19,195.83144168,198.47965178,195.6868266,197.14198303,1938100,yfinance
2019-02-20,197.24137324,198.00059536,194.37625476,196.22909546,1785600,yfinance
2019-02-21,195.76813931,195.8765937,193.71645649,194.52989197,1615300,yfinance
2019-02-22,194.47566782,195.75909532,193.644152,195.48794556,1542500,yfinance
2019-02-25,196.46406675,198.01864393,195.72293881,196.17485046,1794000,yfinance
2019-02-26,196.03026105,197.85598822,195.34336021,196.68101501,1884100,yfinance
2019-02-27,195.68679386,197.8107843,195.63256666,197.07868958,1482700,yfinance
2019-02-28,197.4763757,198.560961,196.59966591,197.70233154,2055600,yfinance
2019-03-01,198.62417718,199.35628554,195.01793152,198.33496094,2178200,yfinance
2019-03-04,199.22976589,199.81725932,195.1083338,197.40405273,2444700,yfinance
2019-03-05,197.85598419,200.29630462,197.84693713,198.6784668,2160200,yfinance
2019-03-06,199.29304688,200.56744111,197.24136404,198.14518738,1985300,yfinance
2019-03-07,197.15095287,198.2897651,195.4246473,195.93981934,3279100,yfinance
2019-03-08,203.79411544,206.70442816,202.24858501,205.90907288,6782700,yfinance
2019-03-11,205.64692043,207.79802436,205.22212237,207.59918213,3748400,yfinance
2019-03-12,208.16860956,210.95237347,207.7889916,210.55470276,2647100,yfinance
2019-03-13,211.72060395,214.61283569,210.54563092,213.64575195,2421200,yfinance
2019-03-14,213.41983051,213.64578637,210.84392823,211.35006714,2300300,yfinance
2019-03-15,211.64830506,212.98595971,210.753515,211.13313293,5075400,yfinance
2019-03-18,211.11506787,213.91691208,211.03372707,213.83557129,1735400,yfinance
2019-03-19,214.67615617,215.15518151,213.56444336,214.25135803,1852300,yfinance
2019-03-20,214.23324324,215.55283137,213.10346408,214.18804932,1499500,yfinance
2019-03-21,213.91685059,216.78198203,213.79936296,216.50178528,1617000,yfinance
2019-03-22,216.69167108,217.22492361,214.11576875,214.71229553,1873600,yfinance
2019-03-25,214.14290123,215.18230655,213.11254296,214.17906189,1357100,yfinance
2019-03-26,215.10994408,217.14354649,214.53149772,216.07704163,1193000,yfinance
2019-03-27,215.75169526,217.10743039,215.25458962,216.3843689,1351200,yfinance
2019-03-28,216.89948742,218.68002023,216.53796366,218.02023315,1396700,yfinance
2019-03-29,218.41792957,219.1229106,217.61352743,218.85176086,1968000,yfinance
2019-04-01,219.69237303,220.90349314,219.24949457,220.70465088,1610200,yfinance
2019-04-02,220.53293487,220.70466355,217.19782394,217.36955261,1574300,yfinance
2019-04-03,218.44505853,220.12617044,217.83949856,219.15907288,1663600,yfinance
2019-04-04,218.87891732,221.21981668,218.04740142,220.8944397,1319700,yfinance
2019-04-05,221.40059938,223.32573395,220.54195606,222.22306824,1616200,yfinance
2019-04-08,222.33149113,223.09069936,221.61746302,222.81051636,1244200,yfinance
2019-04-09,221.53612384,222.05129593,220.54191271,221.35536194,1450200,yfinance
2019-04-10,221.68978901,222.94610291,221.17461687,221.98805237,1556600,yfinance
2019-04-11,220.18943549,220.69557435,217.74911525,218.03834534,2719800,yfinance
2019-04-12,218.28236924,219.37600154,217.73103645,218.68005371,2187600,yfinance
2019-04-15,219.05964763,223.01839807,218.68909056,222.63879395,1859700,yfinance
2019-04-16,222.92804028,223.0817024,220.7588696,221.74403381,1360500,yfinance
2019-04-17,222.61169007,222.75630511,220.82212373,221.94285583,1363000,yfinance
2019-04-18,223.05459693,223.47036181,221.16560912,222.16885376,1365000,yfinance
2019-04-22,221.60846884,222.13268809,219.23140881,220.00869751,1300000,yfinance
2019-04-23,221.12037462,222.81956691,218.91505726,221.9609375,1524600,yfinance
2019-04-24,222.05131535,224.78086574,221.97902162,224.11204529,1156400,yfinance
2019-04-25,222.53042844,223.38001109,220.47874488,221.97909546,1278200,yfinance
2019-04-26,221.99706431,222.24110045,218.77945572,220.37019348,1842900,yfinance
2019-04-29,221.43674948,222.11461708,220.07198101,220.78599548,1429700,yfinance
2019-04-30,221.22891626,222.15080644,219.64722489,221.91581726,1427600,yfinance
2019-05-01,221.74404378,221.85251197,218.31855894,218.35470581,1350400,yfinance
2019-05-02,218.50828372,219.52960831,217.29716399,219.34884644,1237600,yfinance
2019-05-03,219.87309331,221.32824934,219.37598774,221.09324646,905900,yfinance
2019-05-06,219.49354713,221.28311384,218.77951883,220.74081421,1194900,yfinance
2019-05-07,218.47217211,219.39407575,215.30879052,217.08027649,1775200,yfinance
2019-05-08,216.51996413,219.67431324,215.2817303,218.12876892,1611900,yfinance
2019-05-09,218.10154737,221.18284015,217.64841527,220.64814758,1919300,yfinance
2019-05-10,220.16781235,225.25195473,217.53058039,223.8653717,2036500,yfinance
2019-05-13,221.23720184,221.9712736,218.11059326,219.24342346,1962800,yfinance
2019-05-14,219.57875008,222.11629264,219.14374713,219.97750854,1635100,yfinance
2019-05-15,219.41562263,222.39722572,218.61810573,221.73565674,1194800,yfinance
2019-05-16,222.6056966,226.3213718,222.22506727,224.24603271,1800600,yfinance
2019-05-17,222.83226587,226.61138626,222.56944148,225.07073975,1672000,yfinance
2019-05-20,223.98317534,226.51166002,223.98317534,225.56913757,1600500,yfinance
2019-05-21,225.75947979,227.31825535,224.8441579,226.50260925,1504200,yfinance
2019-05-22,227.48135973,227.48135973,225.78665019,226.1219635,1242300,yfinance
2019-05-23,225.32448816,226.49356297,224.01039391,225.2338562,1822800,yfinance
2019-05-24,225.75950736,226.16732355,223.63885215,224.11917114,1340200,yfinance
2019-05-28,225.27911655,226.74725987,223.06783008,223.22189331,3164100,yfinance
2019-05-29,221.24625859,221.82626706,216.5155589,218.12870789,2594900,yfinance
2019-05-30,219.45188486,220.74784994,218.18312043,218.89906311,2030300,yfinance
2019-05-31,216.57903862,218.10156984,211.20489796,217.12280273,4058100,yfinance
2019-06-03,217.30401029,218.89903017,215.76336405,218.47309875,2512500,yfinance
2019-06-04,220.22215948,222.77783069,219.76902747,222.58750916,1761500,yfinance
2019-06-05,223.03161799,225.44227017,222.05285102,224.7172699,1825500,yfinance
2019-06-06,224.7535141,228.32419715,224.5178904,227.66262817,1487800,yfinance
2019-06-07,227.61733857,232.54741843,227.49046212,232.01272583,2270200,yfinance
2019-06-10,232.3660959,234.56831089,232.10327158,232.77392578,1839500,yfinance
2019-06-11,234.64085936,235.28429918,232.19393504,233.00956726,1613500,yfinance
2019-06-12,233.43545639,234.49579738,231.79513468,233.11828613,1071700,yfinance
2019-06-13,233.55333164,235.51086557,233.40832606,235.36585999,1228500,yfinance
2019-06-14,235.62874483,236.71627317,234.64091995,235.76467896,1287800,yfinance
2019-06-17,236.65279913,237.66781072,236.01840307,236.92466736,1191900,yfinance
2019-06-18,238.90026173,239.43498188,237.48649198,238.11181641,2763200,yfinance
2019-06-19,237.7221555,239.34437613,236.48057799,238.94561768,1628400,yfinance
2019-06-20,240.15999241,242.68847705,239.75216249,242.28971863,1745100,yfinance
2019-06-21,241.76406141,243.73066665,241.05717652,241.18406677,2964000,yfinance
2019-06-24,242.25347426,242.85161193,241.53751782,241.76408386,1586100,yfinance
2019-06-25,241.70971509,242.04502841,240.4862529,241.39251709,1182400,yfinance
