date,open,high,low,close,volume,source
2019-01-02,183.11000061,187.22999573,182.07000732,185.55000305,714300,yfinance
2019-01-03,183.86000061,184.47999573,180.05000305,181.6000061,680800,yfinance
2019-01-04,183.5,186.24000549,182.50999451,184.94000244,943300,yfinance
2019-01-07,184.6000061,187.67999268,184.25999451,186.02999878,563400,yfinance
2019-01-08,188.55000305,189.50999451,185.82000732,187.44999695,737100,yfinance
2019-01-09,188.08999634,191.33999634,187.72999573,189.57000732,701300,yfinance
2019-01-10,187.69000244,190.11999512,187.05000305,190.05999756,565600,yfinance
2019-01-11,188.36000061,189.38000488,186.94000244,189.0,373500,yfinance
2019-01-14,187.94999695,190.5,187.94999695,188.74000549,900000,yfinance
2019-01-15,189.0,192.00999451,188.30000305,191.05000305,480700,yfinance
2019-01-16,190.86999512,192.86000061,190.25999451,191.30999756,565000,yfinance
2019-01-17,190.67999268,193.22000122,190.24000549,192.61000061,557800,yfinance
2019-01-18,194.36000061,198.38999939,193.52000427,198.32000732,635200,yfinance
2019-01-22,197.44000244,197.44999695,195.1499939,195.94000244,375900,yfinance
2019-01-23,197.0,197.16000366,194.52000427,197.0,341700,yfinance
2019-01-24,196.5,197.86000061,196.22999573,196.58000183,488100,yfinance
2019-01-25,198.83000183,200.44000244,197.24000549,199.77000427,594100,yfinance
2019-01-28,197.03999329,199.19000244,196.49000549,198.5,340500,yfinance
2019-01-29,198.21000671,199.1000061,196.6499939,197.57000732,366500,yfinance
2019-01-30,198.72000122,203.49000549,197.61000061,202.61000061,412500,yfinance
2019-01-31,202.08999634,203.52000427,200.75,201.80999756,613900,yfinance
2019-02-01,201.75999451,204.21000671,200.42999268,202.99000549,389400,yfinance
2019-02-04,202.44999695,203.05000305,201.47999573,202.02000427,782000,yfinance
2019-02-05,202.71000671,205.30000305,202.33999634,204.83000183,618700,yfinance
2019-02-06,204.30000305,205.88999939,203.3999939,205.17999268,677700,yfinance
2019-02-07,212.53999329,219.0,212.53999329,218.07000732,1322700,yfinance
2019-02-08,216.21000671,217.5,214.55999756,217.24000549,847300,yfinance
2019-02-11,218.24000549,219.82000732,216.86000061,217.25999451,497400,yfinance
2019-02-12,218.33999634,219.71000671,217.5,218.88000488,744700,yfinance
2019-02-13,220.0,221.1499939,218.47000122,219.38999939,605900,yfinance
2019-02-14,219.22000122,220.50999451,218.22000122,220.5,876000,yfinance
2019-02-15,222.1000061,224.25,221.08000183,224.05000305,618400,yfinance
2019-02-19,223.61999512,226.24000549,223.58999634,226.07000732,703200,yfinance
2019-02-20,225.88999939,227.83999634,225.83999634,227.5,553400,yfinance
2019-02-21,226.74000549,227.05000305,224.66000366,225.75,672500,yfinance
2019-02-22,226.6000061,228.6000061,226.32000732,228.42999268,484600,yfinance
2019-02-25,229.96000671,230.55000305,228.92999268,230.25999451,666700,yfinance
2019-02-26,229.97999573,231.80000305,228.77000427,231.75,998000,yfinance
2019-02-27,230.08999634,231.83000183,228.97999573,231.69999695,389900,yfinance
2019-02-28,231.69999695,233.91999817,230.83000183,233.27999878,599000,yfinance
2019-03-01,234.97999573,234.97999573,232.69000244,233.33000183,547400,yfinance
2019-03-04,231.63999939,234.69000244,230.5,232.05999756,680000,yfinance
2019-03-05,232.5,232.8999939,231.08999634,231.33999634,384400,yfinance
2019-03-06,230.8999939,231.94999695,229.83999634,230.83999634,345100,yfinance
2019-03-07,230.07000732,230.07000732,225.67999268,227.5,644800,yfinance
2019-03-08,225.52999878,227.91000366,224.75,227.82000732,399000,yfinance
2019-03-11,229.0,230.86999512,228.13000488,230.83000183,385100,yfinance
2019-03-12,231.50999451,233.36999512,230.02000427,231.80000305,559700,yfinance
2019-03-13,232.99000549,237.0,232.21000671,234.97000122,1141000,yfinance
2019-03-14,235.19000244,237.6499939,234.27000427,236.6000061,717200,yfinance
2019-03-15,236.28999329,239.33999634,236.27999878,239.27000427,1317500,yfinance
2019-03-18,240.8500061,241.96000671,239.27000427,240.75,534400,yfinance
2019-03-19,241.5,245.46000671,240.6000061,240.88000488,740500,yfinance
2019-03-20,240.88999939,241.13000488,237.1499939,238.22999573,806500,yfinance
2019-03-21,237.6000061,242.80000305,235.8999939,241.53999329,960000,yfinance
2019-03-22,241.17999268,241.91000366,236.49000549,237.46000671,655100,yfinance
2019-03-25,236.72000122,237.97999573,235.13000488,237.69999695,526500,yfinance
2019-03-26,239.13999939,241.63000488,239.13999939,241.13999939,564100,yfinance
2019-03-27,241.13999939,242.5,238.83999634,242.16000366,529600,yfinance
