date,open,high,low,close,volume,source
2019-01-02,131.13135133,134.50302747,130.78731255,133.24479675,4783900,yfinance
2019-01-03,131.20999546,132.48789027,127.88748694,128.18237305,6365700,yfinance
2019-01-04,131.22967164,136.95070273,129.97144078,135.61383057,6650600,yfinance
2019-01-07,138.62180194,140.95149265,136.42971477,139.8013916,9064800,yfinance
2019-01-08,142.26868259,143.96927259,140.45997767,143.24185181,9057300,yfinance
2019-01-09,144.39196691,144.99159377,142.07210081,143.50727844,5445900,yfinance
2019-01-10,141.32501935,144.70652033,141.31517981,144.53939819,5116900,yfinance
2019-01-11,144.06755653,145.51255849,143.1337155,145.04072571,5185200,yfinance
2019-01-14,143.27132205,144.23465162,142.23917574,143.56622314,5815500,yfinance
2019-01-15,143.86113353,147.31143601,143.320484,146.65283203,5350400,yfinance
2019-01-16,146.61351229,147.24262769,145.28647972,146.0138855,3936800,yfinance
2019-01-17,146.01387949,148.15681359,145.17834384,147.27212524,3743200,yfinance
2019-01-18,149.24792286,150.66343607,147.6849666,149.91635132,6151200,yfinance
2019-01-22,147.7832612,148.805583,144.89325748,146.41690063,5203300,yfinance
2019-01-23,147.18364403,148.2354545,145.13901531,147.20330811,3335400,yfinance
2019-01-24,147.39992199,147.9405716,144.02826035,144.37229919,6734700,yfinance
2019-01-25,146.00403734,147.34090923,145.04070782,147.19346619,4600800,yfinance
2019-01-28,145.65015865,145.67964726,143.61536971,144.82444763,4054700,yfinance
2019-01-29,144.56891714,145.48309425,142.18023422,142.71104431,3915100,yfinance
2019-01-30,144.68686821,147.14435285,143.59574443,146.62336731,4653400,yfinance
2019-01-31,146.4857156,150.77156845,146.18098997,149.38554382,8615900,yfinance
2019-02-01,149.80824861,153.29787958,148.50088006,153.21923828,5959200,yfinance
2019-02-04,153.36670942,156.1977216,152.76708256,155.03779602,5264700,yfinance
2019-02-05,155.64722366,157.16104241,155.13607772,156.28617859,4575600,yfinance
2019-02-06,156.29596492,156.39427027,152.44263224,155.44076538,4205100,yfinance
2019-02-07,153.30769378,154.38897777,150.75190433,152.29519653,4545500,yfinance
2019-02-08,150.30957936,154.03511911,150.11298361,154.00563049,3018700,yfinance
2019-02-11,155.50958037,158.75346216,154.89030462,157.19050598,7125500,yfinance
2019-02-12,158.50775675,160.61136297,157.30850307,160.02156067,5631700,yfinance
2019-02-13,160.66048936,160.78828334,157.5444012,157.67218018,5296000,yfinance
2019-02-14,156.75798035,157.71148528,154.04492359,156.75798035,5061100,yfinance
2019-02-15,158.25214858,158.47823291,155.40145807,156.34513855,5282000,yfinance
2019-02-19,156.94477533,158.73381604,156.43361442,157.87861633,3883200,yfinance
2019-02-20,157.60340898,158.74368547,154.5364729,155.84384155,7047200,yfinance
2019-02-21,155.01811271,157.75083416,154.6249212,156.91529846,4463000,yfinance
2019-02-22,157.74100032,158.95991791,157.47558782,158.56671143,4175000,yfinance
2019-02-25,159.74628134,160.28693081,158.19314969,158.61584473,5076700,yfinance
2019-02-26,158.07519274,160.6014934,157.15117639,160.22795105,4496300,yfinance
2019-02-27,159.53004541,160.74896303,157.77049324,160.34593201,4278300,yfinance
2019-02-28,160.22795774,161.80075351,159.41207125,160.86689758,6908100,yfinance
2019-03-01,162.34140013,163.32439381,158.99922762,161.73194885,6919900,yfinance
2019-03-04,162.74443765,162.970522,152.77688194,155.80450439,17886300,yfinance
2019-03-05,157.20038135,158.14406208,152.16745742,154.30055237,16042900,yfinance
2019-03-06,154.4578102,157.52474585,153.62225953,154.12358093,7436300,yfinance
2019-03-07,153.43549953,154.90999024,152.17726866,152.95384216,6916500,yfinance
2019-03-08,149.43470983,152.76705795,147.69480675,152.42300415,4800700,yfinance
2019-03-11,153.24870942,155.08691781,150.82071382,154.96894836,5699500,yfinance
2019-03-12,155.31300454,156.65970111,154.48729343,155.58824158,4082100,yfinance
2019-03-13,156.14857372,159.24499824,155.9126498,157.09223938,5230600,yfinance
2019-03-14,158.21284387,158.84195928,157.02342981,157.93760681,3247200,yfinance
2019-03-15,157.90810595,159.42190964,156.4827681,158.76330566,6743700,yfinance
2019-03-18,158.65519696,160.55238283,158.14405097,159.19584656,3575500,yfinance
2019-03-19,159.75615628,161.82043426,158.85180379,161.14216614,4379000,yfinance
2019-03-20,161.05368354,162.14480715,158.76330643,160.72929382,4391000,yfinance
2019-03-21,160.39506419,164.15010695,159.98220868,164.11077881,4277800,yfinance
2019-03-22,163.13763741,163.65862286,158.60603595,158.753479,5614300,yfinance
2019-03-25,157.50510321,158.85181501,156.51228481,158.14405823,3795400,yfinance
2019-03-26,158.68465433,159.31378466,154.71336667,156.68917847,6910300,yfinance
2019-03-27,156.29599976,156.59090087,149.77874667,152.48197937,8218700,yfinance
2019-03-28,153.04229097,153.81884939,150.89935692,152.54095459,4424800,yfinance
2019-03-29,154.20222144,155.80450602,152.78670807,155.67671204,4913100,yfinance
2019-04-01,157.3772839,158.93040062,155.81431265,158.43890381,4601100,yfinance
2019-04-02,158.12437302,158.25216701,156.20753824,157.78031921,3158400,yfinance
2019-04-03,159.02870486,160.36557677,157.91791728,159.85441589,3819100,yfinance
2019-04-04,159.94291917,160.03138501,153.17991739,155.82417297,6295200,yfinance
2019-04-05,156.91529008,157.51491684,155.33266961,155.86347961,4315300,yfinance
