date,open,high,low,close,volume,source
2019-01-02,18.31846965,18.76768932,18.09536845,18.67724228,15038700,yfinance
2019-01-03,18.49937205,18.63504181,18.19788408,18.38480759,23527200,yfinance
2019-01-04,18.39083129,18.94255681,18.24913221,18.93049812,18543600,yfinance
2019-01-07,18.82196042,19.01491322,18.49635342,18.82799149,18786900,yfinance
2019-01-08,19.22896936,19.34956485,18.88527092,19.09932899,15237900,yfinance
2019-01-09,19.21389756,19.37971574,19.03300344,19.2892704,13292100,yfinance
2019-01-10,19.23802195,19.59076369,19.10235219,19.50333214,16212300,yfinance
2019-01-11,19.43398773,19.76863966,19.39177887,19.66311836,11508600,yfinance
2019-01-14,19.56060647,19.76561793,19.50935274,19.67818642,13431600,yfinance
2019-01-15,19.67818968,19.72642788,19.391776,19.62995148,12534300,yfinance
2019-01-16,19.64502534,19.79878483,19.5425196,19.7113533,17377500,yfinance
2019-01-17,19.28324127,19.67517627,19.03602089,19.62392426,33753300,yfinance
2019-01-18,19.71436558,20.43190913,19.70833624,20.30829811,23062800,yfinance
2019-01-22,20.23293617,20.27514504,19.72341939,19.84702873,18840900,yfinance
2019-01-23,19.92239065,20.02188256,19.33147198,19.62090111,15826500,yfinance
2019-01-24,19.76260402,19.80782668,19.48221973,19.61185837,21290100,yfinance
2019-01-25,19.76260597,20.18469106,19.69326248,19.9585743,24129000,yfinance
2019-01-28,19.71135528,19.86813031,19.60281845,19.78069878,12826800,yfinance
2019-01-29,19.85305385,19.92842496,19.69627883,19.72341347,13224900,yfinance
2019-01-30,19.79275731,20.1002763,19.69326536,19.98872566,18750900,yfinance
2019-01-31,20.0279144,20.0279144,19.7083368,19.807827,17815200,yfinance
2019-02-01,19.78370953,20.04902135,19.72039711,19.9585743,13041900,yfinance
2019-02-04,19.91636278,20.33844782,19.91334724,20.32638741,15569100,yfinance
2019-02-05,20.31131553,20.58567049,20.06409347,20.58265495,18077700,yfinance
2019-02-06,20.52537726,20.63391409,20.45905101,20.52839279,16152900,yfinance
2019-02-07,20.40176511,20.63391124,20.32337673,20.56456947,14533200,yfinance
