date,open,high,low,close,volume,source
2019-01-02,6.33599997,6.66800022,6.15199995,6.45200014,6987500,yfinance
2019-01-03,6.3499999,6.37200022,5.75400019,6.03800011,10559500,yfinance
2019-01-04,6.24399996,6.45200014,6.07800007,6.15600014,7164000,yfinance
2019-01-07,6.21199989,6.96799994,6.17819977,6.63399982,10221000,yfinance
2019-01-08,6.71400023,7.1500001,6.6500001,7.11999989,9543500,yfinance
2019-01-09,7.11399984,7.42399979,6.92000008,6.99399996,6232500,yfinance
2019-01-10,6.9000001,6.9000001,6.51599979,6.82999992,8961500,yfinance
2019-01-11,6.8039999,7.39300013,6.71999979,7.36000013,7991000,yfinance
2019-01-14,6.90999985,7.0999999,6.71799994,7.0999999,19000000,yfinance
2019-01-15,7.01000023,7.15600014,6.80800009,7.11199999,11631500,yfinance
2019-01-16,7.1880002,7.48000002,7.01999998,7.07399988,6138500,yfinance
2019-01-17,7.04199982,7.28800011,6.95599985,7.16200018,6326500,yfinance
2019-01-18,7.24399996,7.454,7.23199987,7.38199997,6549000,yfinance
2019-01-22,7.33199978,7.39599991,6.87599993,7.13000011,6215500,yfinance
2019-01-23,7.17399979,7.42799997,7.09899998,7.40799999,7286000,yfinance
2019-01-24,7.4460001,7.81400013,7.42600012,7.67999983,6002500,yfinance
2019-01-25,7.73199987,8.11600018,7.67999983,7.96000004,6914000,yfinance
2019-01-28,7.86000013,7.98999977,7.65999985,7.94199991,4251500,yfinance
2019-01-29,7.88199997,7.92999983,7.4000001,7.41200018,7212000,yfinance
2019-01-30,7.45200014,7.62400007,7.32000017,7.46199989,5704000,yfinance
2019-01-31,7.46199989,7.75,7.39300013,7.42999983,6246500,yfinance
2019-02-01,7.44399977,7.48799992,6.96400023,7.05600023,8087000,yfinance
2019-02-04,7.05000019,7.28800011,7.00400019,7.2420001,4168500,yfinance
2019-02-05,7.25600004,7.3119998,6.50600004,6.87400007,19961500,yfinance
2019-02-06,6.75199986,6.8119998,6.64799976,6.68200016,7938500,yfinance
2019-02-07,6.60400009,6.63000011,6.28399992,6.60400009,9661500,yfinance
2019-02-08,6.52400017,6.55100012,6.3119998,6.43599987,6972000,yfinance
2019-02-11,6.46199989,6.55499983,6.32200003,6.39599991,10105500,yfinance
2019-02-12,6.08400011,7.06400013,5.94999981,7.01800013,42845000,yfinance
2019-02-13,6.97599983,7.25400019,6.59600019,6.62599993,9489000,yfinance
2019-02-14,6.58799982,6.97800016,6.4842,6.86000013,5422000,yfinance
2019-02-15,6.83199978,7.16200018,6.83199978,7.07000017,5782500,yfinance
2019-02-19,7.08599997,7.58199978,7.08599997,7.34600019,9847500,yfinance
2019-02-20,7.4000001,7.5999999,7.16400003,7.22800016,5817000,yfinance
2019-02-21,7.23999977,7.30600023,6.86199999,6.954,5824000,yfinance
2019-02-22,6.9460001,7.61800003,6.9460001,7.5999999,9907500,yfinance
2019-02-25,7.64799976,7.9460001,7.56739998,7.69799995,11830500,yfinance
2019-02-26,7.67799997,8.13399982,7.61999989,8.10000038,14170000,yfinance
2019-02-27,8.03800011,8.68000031,7.82800007,8.36400032,22122000,yfinance
2019-02-28,9.01399994,9.19200039,8.23200035,8.97200012,33419500,yfinance
2019-03-01,9.01799965,9.10000038,8.68000031,8.72399998,9133000,yfinance
2019-03-04,8.71399975,8.87199974,8.18200016,8.41399956,10312500,yfinance
2019-03-05,8.53800011,9.70800018,8.40200043,9.59599972,17464500,yfinance
2019-03-06,9.5880003,10.29399967,9.47999954,10.11999989,15166500,yfinance
2019-03-07,10.00199986,10.52000046,9.72599983,9.89599991,12120500,yfinance
2019-03-08,9.74600029,10.10400009,9.65400028,9.92000008,5838500,yfinance
2019-03-11,9.97200012,10.69200039,9.97200012,10.42800045,12439000,yfinance
2019-03-12,10.60999966,11.27799988,10.3039999,10.61999989,13513500,yfinance
2019-03-13,10.73799992,11.6960001,10.67399979,11.19400024,18857000,yfinance
2019-03-14,11.03600025,11.24400043,10.92199993,11.15999985,9491500,yfinance
2019-03-15,11.15600014,11.39000034,11.05599976,11.33600044,12381000,yfinance
2019-03-18,11.36600018,11.72200012,10.90600014,11.37199974,9526500,yfinance
2019-03-19,11.52400017,11.80000019,11.46520042,11.59799957,4331500,yfinance
2019-03-20,11.57600021,11.95559978,11.35400009,11.59399986,7762000,yfinance
2019-03-21,11.60000038,11.78999996,11.42000008,11.59799957,7547500,yfinance
2019-03-22,11.65400028,11.65400028,10.88199997,11.1239996,5952500,yfinance
2019-03-25,11.07400036,11.44999981,10.96199989,11.26799965,5389500,yfinance
2019-03-26,11.5,11.92000008,11.41600037,11.59799957,12499000,yfinance
2019-03-27,11.60000038,11.81900024,11.32600021,11.63000011,8566000,yfinance
2019-03-28,11.69999981,11.80000019,11.29199982,11.56999969,7260000,yfinance
2019-03-29,11.57800007,11.71800041,11.48200035,11.61200047,7343500,yfinance
2019-04-01,11.74800014,11.98400021,11.52799988,11.78800011,7559500,yfinance
2019-04-02,11.78800011,12.73200035,11.6420002,12.56400013,13972500,yfinance
2019-04-03,12.30000019,12.73200035,12.00199986,12.39999962,8644500,yfinance
2019-04-04,12.4119997,12.60000038,11.80700016,11.98799992,7030000,yfinance
2019-04-05,12.02600002,12.21000004,11.57999992,12.10200024,4490000,yfinance
2019-04-08,12.06400013,12.12199974,11.60999966,11.76000023,4124500,yfinance
2019-04-09,11.65200043,12.18200016,11.64920044,12.01799965,4050000,yfinance
2019-04-10,12.01599979,12.59200001,12.01599979,12.59000015,4988000,yfinance
2019-04-11,12.5880003,12.77799988,12.48400021,12.71000004,5659000,yfinance
2019-04-12,12.89400005,13.28199959,12.61800003,13.19999981,5611000,yfinance
2019-04-15,13.17199993,13.24720001,12.46800041,12.8760004,9023500,yfinance
2019-04-16,12.81400013,13.14220047,12.51599979,12.92000008,4671500,yfinance
2019-04-17,12.99400043,12.99400043,12.24800014,12.64000034,4726500,yfinance
2019-04-18,12.6420002,12.66600037,12.22700024,12.59599972,3253000,yfinance
2019-04-22,12.51799965,13.25,12.36999989,13.07999992,6796500,yfinance
2019-04-23,13.1960001,13.44200039,13.08199978,13.31799984,6721000,yfinance
2019-04-24,13.3579998,13.48200035,12.81400013,13.30799961,4386500,yfinance
2019-04-25,13.22799969,13.42679977,13.00300026,13.20800018,3399500,yfinance
2019-04-26,13.33199978,14.0,13.22999954,13.91600037,6114500,yfinance
2019-04-29,14.0,14.15799999,13.69999981,14.07400036,7579000,yfinance
2019-04-30,14.1079998,14.72000027,13.89999962,14.31200027,7455000,yfinance
2019-05-01,14.34399986,14.40799999,13.85000038,14.13799953,6535000,yfinance
2019-05-02,14.14599991,14.26000023,13.68959999,14.0880003,3957000,yfinance
2019-05-03,14.10000038,14.49400043,14.06120014,14.43599987,4417000,yfinance
2019-05-06,13.99199963,14.55000019,13.92000008,14.40799999,5184000,yfinance
2019-05-07,14.39999962,14.83300018,14.04800034,14.20800018,5507000,yfinance
2019-05-08,14.1239996,14.77400017,14.10000038,14.32999992,9010500,yfinance
2019-05-09,14.42000008,15.36999989,13.42800045,15.04599953,15576000,yfinance
2019-05-10,14.88199997,14.89999962,12.95199966,13.35200024,16231000,yfinance
2019-05-13,12.93000031,13.12199974,12.18999958,12.44799995,15134500,yfinance
2019-05-14,12.51000023,13.22000027,12.26599979,13.13599968,5955500,yfinance
2019-05-15,12.95600033,13.16800022,12.60000038,13.09599972,5436500,yfinance
2019-05-16,13.20800018,13.93999958,13.20800018,13.86800003,7680500,yfinance
2019-05-17,13.5880003,13.82800007,13.26500034,13.6260004,4619500,yfinance
2019-05-20,13.51200008,13.58199978,13.10179996,13.43599987,4902500,yfinance
2019-05-21,13.05000019,13.89799976,13.05000019,13.40600014,9044500,yfinance
2019-05-22,13.06999969,13.24800014,12.96000004,13.02200031,23673500,yfinance
2019-05-23,12.93999958,13.06999969,12.45400047,12.65600014,10285500,yfinance
2019-05-24,12.68000031,12.84179974,11.70400047,11.87800026,11936000,yfinance
2019-05-28,11.84599972,12.23700047,11.84599972,12.02799988,10492000,yfinance
2019-05-29,11.91399956,11.91399956,11.29599953,11.59200001,8930000,yfinance
2019-05-30,11.66600037,11.8920002,11.63399982,11.75,4667500,yfinance
2019-05-31,11.53800011,11.88000011,11.31599998,11.57600021,6955500,yfinance
2019-06-03,11.5,11.80000019,11.17599964,11.66399956,5499000,yfinance
2019-06-04,11.90999985,12.26799965,11.83600044,12.26000023,5970500,yfinance
2019-06-05,12.42000008,12.42000008,11.59200001,11.93400002,6066000,yfinance
2019-06-06,11.89400005,12.03600025,11.3579998,12.02000046,5566000,yfinance
2019-06-07,12.19999981,12.96399975,12.18700027,12.64000034,7382500,yfinance
2019-06-10,12.7159996,12.83600044,12.25,12.26799965,6179000,yfinance
2019-06-11,12.42399979,12.57999992,12.01399994,12.25599957,4451500,yfinance
2019-06-12,12.22799969,12.38799953,12.10000038,12.25,3825000,yfinance
2019-06-13,12.3579998,12.59799957,12.28899956,12.35599995,3615500,yfinance
2019-06-14,12.35599995,12.45699978,11.89000034,11.99600029,3454500,yfinance
2019-06-17,12.0,12.93000031,11.97999954,12.72799969,6368500,yfinance
2019-06-18,12.94799995,13.84980011,12.94799995,13.19400024,9708500,yfinance
2019-06-19,13.10999966,13.25440025,12.14400005,12.69999981,9585000,yfinance
2019-06-20,13.0,13.52400017,12.84200001,13.38000011,6619500,yfinance
2019-06-21,13.38199997,13.50800037,13.21179962,13.40999985,4720000,yfinance
2019-06-24,13.34799957,13.43900013,12.28999996,12.29599953,11603500,yfinance
2019-06-25,12.50399971,12.67800045,11.8739996,12.06200027,6943500,yfinance
2019-06-26,12.18799973,12.33399963,11.77999973,11.81400013,4791000,yfinance
2019-06-27,11.8920002,12.45600033,11.8920002,12.39599991,4467000,yfinance
2019-06-28,12.39799976,12.69400024,12.31999969,12.51799965,20221500,yfinance
2019-07-01,12.74800014,13.18000031,12.43500042,13.12199974,6799500,yfinance
2019-07-02,13.26599979,13.44460011,12.83600044,12.93999958,4647500,yfinance
2019-07-03,12.94799995,13.02180004,12.61400032,12.83399963,2560000,yfinance
2019-07-05,12.72999954,13.21399975,12.67520046,13.15799999,2801500,yfinance
2019-07-08,13.07400036,13.43599987,13.00399971,13.32199955,5143500,yfinance
2019-07-09,13.28199959,13.56599998,13.06799984,13.22399998,5536000,yfinance
