date,open,high,low,close,volume,source
2019-01-02,51.37395607,51.43151924,50.53211527,51.2156601,6378000,yfinance
2019-01-03,51.18689422,51.4962895,50.56810366,50.971035,6264700,yfinance
2019-01-04,50.84870542,52.12226461,50.8271206,51.95677185,4567300,yfinance
2019-01-07,51.72652277,52.08628437,51.12212591,51.45310593,5009200,yfinance
2019-01-08,51.45310434,52.08628277,51.21566038,52.05030441,5453500,yfinance
2019-01-09,51.99273269,52.34529742,51.59699285,51.96395111,3986300,yfinance
2019-01-10,52.05030535,52.45324207,50.84151165,51.73371887,7266500,yfinance
2019-01-11,51.21565697,51.4099258,49.94929471,50.25868988,5615400,yfinance
2019-01-14,49.90612736,49.91332413,48.72610981,48.9059906,7249500,yfinance
2019-01-15,48.58221216,49.61113073,48.50306964,49.56076431,5780900,yfinance
2019-01-16,49.42405317,49.66868844,49.01392514,49.6255188,5575000,yfinance
2019-01-17,49.47441703,49.82698186,49.31612105,49.60393143,4184300,yfinance
2019-01-18,49.74783491,49.79100455,49.14343804,49.48160934,4149700,yfinance
2019-01-22,49.42405327,49.63271567,48.9491653,49.35209656,5481900,yfinance
2019-01-23,49.35928784,49.99247173,49.34489979,49.95649338,5005600,yfinance
2019-01-24,50.05723071,50.15796352,49.28014431,49.74063873,4967200,yfinance
2019-01-25,49.51759296,50.02845384,49.51759296,49.76223373,5621600,yfinance
2019-01-28,49.63271531,49.81259612,49.12904575,49.19380569,7980300,yfinance
2019-01-29,49.50320119,49.61112528,48.54623396,49.42405319,6100500,yfinance
2019-01-30,49.28733816,50.15796056,49.28733816,49.96369171,5566000,yfinance
2019-01-31,49.96368385,50.79832776,49.67587352,50.53929901,8457000,yfinance
2019-02-01,50.66882,51.34517353,50.38100964,51.06455994,5090100,yfinance
2019-02-04,50.98541891,51.59701258,50.73358686,51.409935,6226500,yfinance
2019-02-05,51.3091923,51.80566501,51.11492347,51.75529861,4041200,yfinance
2019-02-06,51.64736332,51.78407446,51.28040503,51.65456009,2893800,yfinance
2019-02-07,51.66895985,52.28775024,51.36676142,52.28775024,3397700,yfinance
2019-02-08,52.24458431,52.57556435,52.05750672,52.5611763,4160900,yfinance
