date,open,high,low,close,volume,source
2019-01-02,131.50744224,134.59211422,131.50744224,133.18917847,1987700,yfinance
2019-01-03,132.57760618,132.79344768,128.33281937,129.54690552,2047200,yfinance
2019-01-04,132.20890314,136.4806691,132.06502251,136.40872192,2549100,yfinance
2019-01-07,136.62457336,140.23984045,135.69827567,138.63905334,2947400,yfinance
2019-01-08,139.42145727,141.99351078,138.5131498,141.12117004,3124800,yfinance
2019-01-09,141.96655799,142.00252472,138.04552494,138.79196167,3134300,yfinance
2019-01-10,138.18039316,143.37845717,136.23787407,143.09967041,2693600,yfinance
2019-01-11,141.88562086,143.70223611,140.8424071,142.3442688,2039000,yfinance
2019-01-14,140.48266354,142.39820417,140.14990609,141.56184387,1364900,yfinance
2019-01-15,141.42694751,142.7669382,140.07796857,141.23809814,1369100,yfinance
2019-01-16,141.4179495,142.71297139,141.12117251,141.56184387,1457300,yfinance
2019-01-17,140.95933563,145.36599545,140.51866416,143.95407104,2155100,yfinance
2019-01-18,145.68971775,149.45786758,145.54582338,148.03694153,3879800,yfinance
2019-01-22,146.49008437,146.58901002,141.53484118,142.84783936,2076500,yfinance
2019-01-23,143.47740957,144.52062336,140.51865482,141.74172974,1780800,yfinance
2019-01-24,141.86762593,143.07271055,141.25609536,142.47915649,1602100,yfinance
2019-01-25,144.45769348,146.42720535,143.77420189,145.24009705,1826400,yfinance
2019-01-28,141.27404984,142.47014602,139.5743371,140.73446655,2199400,yfinance
2019-01-29,141.62482602,144.73647742,141.02228362,144.32278442,2199700,yfinance
2019-01-30,145.608768,147.20055303,143.95402405,146.50808716,1988800,yfinance
2019-01-31,146.0763895,148.2797322,144.0529216,147.48832703,3118800,yfinance
2019-02-01,147.56029322,147.81210149,146.55306013,147.38043213,1704300,yfinance
2019-02-04,147.54233052,148.27977898,145.99550014,147.94702148,1907900,yfinance
2019-02-05,148.0549433,148.3786988,146.59803668,147.67723083,1574600,yfinance
2019-02-06,147.59624887,148.30671866,146.58901585,147.20054626,1660500,yfinance
2019-02-07,146.31023542,147.30848023,143.98999035,145.50984192,2488100,yfinance
2019-02-08,144.11589882,146.40016351,144.11589882,146.36419678,1628300,yfinance
2019-02-11,147.15562455,147.70420988,145.62677073,145.63577271,1843900,yfinance
2019-02-12,146.9847091,149.20602828,146.5080711,148.55851746,1894400,yfinance
2019-02-13,147.38942116,147.93800641,145.75266737,146.31922913,2777700,yfinance
2019-02-14,145.11412208,146.95772887,144.39466409,146.06739807,2029700,yfinance
2019-02-15,143.41444223,146.9487603,141.47190935,142.98277283,7578600,yfinance
2019-02-19,141.08522415,142.81191566,140.3477757,141.42695618,2971500,yfinance
2019-02-20,141.99352228,144.4486601,138.34228815,143.78317261,3349200,yfinance
2019-02-21,143.86413345,147.75818831,143.86413345,146.45417786,2838500,yfinance
2019-02-22,146.58900065,149.28695772,146.58900065,149.25997925,1967200,yfinance
2019-02-25,150.16831685,150.92375541,148.18981734,148.26176453,2502700,yfinance
2019-02-26,147.00273693,148.43265131,146.41817116,147.3085022,1623700,yfinance
2019-02-27,147.04771222,147.27254208,146.00451213,147.11965942,1850500,yfinance
2019-02-28,146.79587612,148.4146535,146.13937691,147.52432251,1778000,yfinance
2019-03-01,148.25278774,149.25103268,146.35522352,146.86782837,1668900,yfinance
2019-03-04,148.0279818,150.20433315,147.62327708,149.12515259,2663100,yfinance
2019-03-05,148.72943088,149.07116288,145.15013017,145.19509888,1965900,yfinance
2019-03-06,145.01523468,145.06919164,141.93057612,142.30828857,2229700,yfinance
2019-03-07,141.98452371,142.38921462,139.8801063,142.11042786,2051300,yfinance
2019-03-08,140.18588779,143.87308844,140.18588779,143.00074768,1757300,yfinance
2019-03-11,143.09966587,144.48462512,142.65900825,144.26878357,1340300,yfinance
2019-03-12,144.39467678,144.79037939,142.73993288,143.11764526,1553100,yfinance
2019-03-13,143.67524919,144.77241986,142.82089859,143.603302,1661800,yfinance
2019-03-14,143.04568919,143.20757376,141.15712738,141.87657166,1596800,yfinance
2019-03-15,141.75070257,143.29753285,141.55285123,142.2273407,2386300,yfinance
2019-03-18,142.07444624,144.33174626,141.70573579,144.16087341,1962400,yfinance
2019-03-19,145.17707632,146.73290825,143.95401551,144.76339722,1685400,yfinance
2019-03-20,144.35872698,145.24005598,142.1104289,143.58531189,2017100,yfinance
2019-03-21,142.56011612,144.5026356,142.54212588,143.64828491,1082200,yfinance
2019-03-22,142.38022172,142.94678349,139.62829346,140.23983765,2177400,yfinance
2019-03-25,140.61754275,142.31725539,140.28479906,141.48988342,1137200,yfinance
2019-03-26,142.48813663,142.8748373,140.75244343,141.73271179,1036700,yfinance
2019-03-27,142.20937721,142.59607795,140.36576974,142.33528137,1068200,yfinance
2019-03-28,142.77807796,143.22990732,141.63042753,142.85037231,1123300,yfinance
2019-03-29,143.60035446,145.66972605,143.21177419,144.44075012,1862600,yfinance
2019-04-01,146.06734869,147.36861904,145.19983053,146.31134033,1371400,yfinance
2019-04-02,146.30232315,147.03429821,145.33541561,146.50112915,1184300,yfinance
2019-04-03,147.33245673,148.25419214,146.54627835,147.64874268,1356100,yfinance
2019-04-04,147.72107962,148.90487024,147.60359958,148.41690063,1197200,yfinance
2019-04-05,148.95905525,149.51028746,148.38975981,149.13075256,1294600,yfinance
2019-04-08,148.18190226,149.13977796,147.46801818,149.1036377,1133300,yfinance
2019-04-09,146.55532377,146.76317514,143.19372695,143.52807617,2451000,yfinance
2019-04-10,143.6817003,144.26004119,140.75384182,143.34735107,2746800,yfinance
2019-04-11,143.35640027,144.85647686,142.68768794,144.72996521,1162200,yfinance
2019-04-12,146.11253118,146.68184039,144.4949749,145.9046936,1220200,yfinance
