date,open,high,low,close,volume,source
2019-01-02,39.96263633,40.60283629,39.36511728,40.3680954,1801800,yfinance
2019-01-03,40.24716471,40.63128192,39.67098483,40.43210983,1701400,yfinance
2019-01-04,40.4036542,41.56312604,40.4036542,41.5560112,2466800,yfinance
2019-01-07,40.19737009,41.18612384,39.64253199,40.78777695,2794400,yfinance
2019-01-08,40.57437866,41.05808465,40.09067267,41.01540375,2216500,yfinance
2019-01-09,40.9513869,42.07529287,40.9513869,41.54179382,1563500,yfinance
2019-01-10,41.64848489,42.27445776,41.40663192,42.21043777,1523300,yfinance
2019-01-11,42.03261434,42.25312827,41.70540222,42.1962204,1927800,yfinance
2019-01-14,41.02963711,41.97570743,40.59572408,41.36396408,3424900,yfinance
2019-01-15,39.94839996,40.24716077,38.8387212,39.15882111,5251300,yfinance
2019-01-16,38.95253772,39.64964544,38.17007363,38.53996658,4778300,yfinance
2019-01-17,38.65378429,38.81739034,37.99224526,38.06337738,3011000,yfinance
2019-01-18,38.11317545,39.15171967,37.98513546,39.03790665,3069100,yfinance
2019-01-22,38.97388371,39.42202094,38.37636468,38.56130981,3097900,yfinance
2019-01-23,38.73201687,39.13036094,38.34078493,39.07345581,1492900,yfinance
2019-01-24,39.00945551,40.06934162,38.56131549,39.22285461,4729400,yfinance
2019-01-25,39.09481123,40.40366239,38.78182609,39.42913818,2971300,yfinance
2019-01-28,39.42201983,39.62119465,38.58976266,38.77470779,2725400,yfinance
2019-01-29,38.97388176,39.66387197,38.80316088,39.25130081,4393800,yfinance
2019-01-30,39.31531813,39.99819617,39.10191908,39.71366501,1849200,yfinance
2019-01-31,39.65675607,40.58148705,39.45046915,40.52458191,3678300,yfinance
2019-02-01,40.48190996,40.73798995,40.06933875,40.25428391,2537700,yfinance
2019-02-04,40.1049021,40.11912907,39.11615098,39.93418121,3996400,yfinance
2019-02-05,39.89861515,40.4321142,39.64253518,39.93418121,2636300,yfinance
2019-02-06,39.92706766,40.14046673,39.50738166,39.55717468,2362000,yfinance
2019-02-07,39.5714083,41.05097776,39.47893436,41.03675079,2849800,yfinance
2019-02-08,40.88736994,41.36396387,40.68819781,41.31417084,1462000,yfinance
2019-02-11,40.97271922,41.64848511,40.9229262,41.5560112,2876800,yfinance
2019-02-12,41.91168055,43.52640453,41.69828149,42.72971344,2986800,yfinance
2019-02-13,42.60167229,43.05692433,42.47363231,42.97156525,2130000,yfinance
2019-02-14,43.07115141,43.1138323,42.38827335,43.04981232,1757800,yfinance
2019-02-15,43.29877556,43.37702251,42.85063838,43.0355835,2015100,yfinance
2019-02-19,43.15650712,43.88918086,42.93599596,43.85361481,2141600,yfinance
2019-02-20,43.77537418,44.7712374,43.69001238,44.58629227,2320300,yfinance
2019-02-21,44.30175757,44.42979755,43.4268195,43.57619858,5361000,yfinance
2019-02-22,43.71134959,43.83938956,43.19918971,43.68289566,3909800,yfinance
2019-02-25,43.82516319,43.82516319,43.13517031,43.1565094,2669000,yfinance
2019-02-26,43.31300628,43.93186438,42.93600118,43.63310623,3429600,yfinance
2019-02-27,43.59754423,43.88919028,43.0498182,43.1138382,2063600,yfinance
2019-02-28,43.30590076,43.30590076,42.49498256,42.60168076,4387200,yfinance
2019-03-01,42.69414786,43.63310591,42.14642189,43.61176682,2907100,yfinance
2019-03-04,43.91763798,44.16660309,43.33434325,44.16660309,2517700,yfinance
2019-03-05,43.9247567,44.52227576,43.8820758,44.45825577,2035100,yfinance
2019-03-06,44.45824068,44.45824068,43.71845491,43.91051483,2887900,yfinance
2019-03-07,44.06700576,44.2661778,43.86783101,44.24483871,2950600,yfinance
2019-03-08,44.23063082,44.23063082,43.59043084,44.13815689,1610600,yfinance
2019-03-11,44.26618372,44.90638351,44.03855773,44.90638351,2577800,yfinance
2019-03-12,45.1055706,45.69597486,44.95619151,45.63907242,2714600,yfinance
2019-03-13,45.41855673,46.28638282,40.9940726,45.59638977,3927800,yfinance
2019-03-14,45.78843608,46.36461318,45.48256043,45.56081009,2542900,yfinance
2019-03-15,45.60349665,45.98761659,45.39720971,45.46834183,4798300,yfinance
2019-03-18,45.48257318,45.6177253,44.50804897,45.183815,2249700,yfinance
2019-03-19,45.21938042,45.51102647,44.43691621,44.82103348,1978500,yfinance
2019-03-20,44.8352586,45.41143854,44.64319862,45.02020645,1961200,yfinance
2019-03-21,45.02019838,46.39306922,45.01308354,46.22235107,2039000,yfinance
2019-03-22,46.48554379,47.16131243,45.98049874,46.0160675,3340000,yfinance
2019-03-25,46.03029118,46.20100933,45.14824105,45.73153305,1952700,yfinance
2019-03-26,45.78845046,46.54957561,45.78845046,46.28638077,1287700,yfinance
2019-03-27,46.25792959,46.30772263,45.25495135,45.3901062,2054300,yfinance
2019-03-28,45.32761116,45.87346614,44.58783325,44.64529037,2297500,yfinance
2019-03-29,44.67401477,44.81766167,44.30053394,44.47290802,3439300,yfinance
2019-04-01,44.53754145,45.16240493,43.92704567,45.03312302,1502400,yfinance
2019-04-02,45.14805025,45.49998229,44.86794029,44.89666748,1545600,yfinance
2019-04-03,44.88949087,45.83755669,44.88949087,45.57181168,1832500,yfinance
