date,open,high,low,close,volume,source
2019-01-02,118.05366255,120.380213,117.66288339,119.90763092,1640100,yfinance
2019-01-03,117.96281297,118.94432338,113.78230722,114.21853638,3863900,yfinance
2019-01-04,115.85437585,118.86250895,115.44540975,118.07185364,2091400,yfinance
2019-01-07,117.6174521,120.316602,116.79043685,119.50776672,2312500,yfinance
2019-01-08,120.92549454,121.60709774,118.75345288,120.62558746,1989100,yfinance
2019-01-09,118.88071118,119.42599941,115.6635425,116.17247772,2727900,yfinance
2019-01-10,111.3739574,114.45480308,110.3924472,113.87316895,4445600,yfinance
2019-01-11,113.85498937,115.0727906,112.79169011,114.45480347,2895600,yfinance
2019-01-14,113.85499091,114.64565308,113.51873779,113.51873779,2412700,yfinance
2019-01-15,113.60963226,114.52751965,113.21884612,113.67324829,1579300,yfinance
2019-01-16,113.90953811,114.89104851,113.03708673,113.75504303,1921100,yfinance
2019-01-17,113.61870468,115.11823308,113.45511963,113.99131775,1477700,yfinance
2019-01-18,114.74564415,117.35391524,114.60023212,115.90891266,2060600,yfinance
2019-01-22,115.97250805,116.34512111,113.31880137,114.29122162,2207300,yfinance
2019-01-23,115.60900101,117.83557584,114.36393655,115.3181839,2411600,yfinance
2019-01-24,115.03646249,115.48177471,113.18250069,113.80957794,2104000,yfinance
2019-01-25,114.20944047,116.79953841,114.20944047,116.39057922,2393900,yfinance
2019-01-28,115.8907261,120.08940464,115.19094981,119.94399261,3275300,yfinance
2019-01-29,120.57106925,120.58924922,118.4081105,118.50807953,2939200,yfinance
2019-01-30,119.68954933,122.21602472,118.71713573,122.12515259,3366100,yfinance
2019-01-31,122.29778552,124.49708998,121.67070842,123.97906494,3369700,yfinance
2019-02-01,124.7515847,125.14236394,123.46108411,124.2517395,2684300,yfinance
2019-02-04,124.39714164,124.66977185,123.04301819,123.75188446,2653400,yfinance
2019-02-05,135.41188511,142.69140495,134.88477678,138.15647888,10521300,yfinance
2019-02-06,136.14796022,138.31091874,133.59422254,136.5478363,3705000,yfinance
2019-02-07,135.41185778,138.98345247,134.15770325,138.41999817,2775700,yfinance
2019-02-08,138.41998134,140.60112,137.69293513,140.60112,2478200,yfinance
2019-02-11,140.30121048,140.30121048,138.81985505,139.6741333,1757900,yfinance
2019-02-12,140.70105555,140.81919065,138.9379734,138.97431946,1752600,yfinance
2019-02-13,139.04706971,141.08279651,137.82927517,141.03735352,1594900,yfinance
2019-02-14,140.04676582,140.6465662,139.14704446,139.39242554,1538600,yfinance
2019-02-15,140.42844355,141.11912982,139.67413432,140.87374878,1509100,yfinance
2019-02-19,140.24668351,141.63715295,138.47450407,141.22817993,1514500,yfinance
2019-02-20,141.77348796,143.00037946,141.36452875,142.38238525,1740900,yfinance
2019-02-21,141.90069385,142.68226606,141.42811176,142.25512695,1405600,yfinance
2019-02-22,142.25513694,144.56350764,141.30088964,144.48170471,1336500,yfinance
2019-02-25,144.83617246,144.83617246,142.72775318,142.91859436,1647100,yfinance
2019-02-26,142.55503597,143.77283034,141.62805174,142.17333984,1966600,yfinance
2019-02-27,141.6994236,143.48558122,140.67874819,143.12106323,1319400,yfinance
2019-02-28,143.15756485,144.67944961,142.24625561,143.02087402,1270200,yfinance
2019-03-01,144.18735991,145.08956113,142.24626663,143.00265503,1158100,yfinance
2019-03-04,143.83193657,144.49718841,140.68792252,142.42851257,2100000,yfinance
2019-03-05,142.94796793,144.44251453,142.13690327,142.14601135,1480700,yfinance
2019-03-06,141.8635067,142.15513233,139.42120463,140.23226929,1971200,yfinance
2019-03-07,143.59501561,143.75904461,140.48744751,141.61746216,2405200,yfinance
2019-03-08,141.45337173,142.83856519,140.60584721,142.20063782,1852500,yfinance
2019-03-11,142.16424177,144.00509033,141.71769524,143.54031372,1852500,yfinance
2019-03-12,144.16910882,145.80946812,143.82282079,145.09864807,2007200,yfinance
2019-03-13,145.8094642,146.56585246,144.87081689,145.2991333,1172800,yfinance
2019-03-14,144.92549111,145.88236849,144.00507389,145.800354,1108100,yfinance
2019-03-15,146.35630165,148.88974078,146.05556787,148.3065033,2133500,yfinance
2019-03-18,148.04216222,148.88056493,147.19465142,148.63452148,1055300,yfinance
2019-03-19,148.98084172,149.26334538,146.24691379,146.44740295,1406300,yfinance
2019-03-20,146.56586954,146.75723669,144.25113624,145.52697754,1715800,yfinance
2019-03-21,145.18064648,147.6411782,144.49716467,147.44068909,975200,yfinance
2019-03-22,147.07617923,148.11507108,145.3173593,145.35380554,1033800,yfinance
2019-03-25,144.92548836,146.06462477,144.51540204,145.79122925,1160100,yfinance
2019-03-26,146.75727218,148.41586211,146.19226476,147.45898438,712100,yfinance
2019-03-27,147.49540692,148.79857247,147.16733504,148.45227051,1220300,yfinance
2019-03-28,148.78941786,150.66671209,148.78941786,149.8374176,944700,yfinance
2019-03-29,150.12909027,151.05861569,149.65520557,150.86724854,1062100,yfinance
2019-04-01,151.07685047,152.11574248,149.56407373,150.15643311,1080600,yfinance
2019-04-02,149.66429847,150.09261488,148.06039936,148.74388123,805400,yfinance
2019-04-03,148.9534811,150.21109221,148.55250284,149.70986938,897200,yfinance
2019-04-04,150.20199946,150.36602846,148.17889179,148.60720825,852800,yfinance
2019-04-05,148.96260771,149.43647848,148.46138487,148.99905396,733900,yfinance
2019-04-08,149.16305966,150.30219598,148.57982242,150.20196533,1091000,yfinance
2019-04-09,149.81923264,150.15642651,148.79857074,149.31802368,1062400,yfinance
2019-04-10,150.01055636,152.0336632,149.39998107,151.75115967,977000,yfinance
2019-04-11,152.80831121,153.39156241,151.9425703,153.13638306,1601200,yfinance
2019-04-12,153.60119943,154.4396024,152.35269612,152.66255188,1215600,yfinance
2019-04-15,152.47116759,153.22755604,151.40493731,152.27980042,1077300,yfinance
2019-04-16,153.10906627,154.92257674,152.51672081,154.77676392,1332800,yfinance
2019-04-17,155.57872297,155.65162939,153.21843525,154.4942627,1425300,yfinance
2019-04-18,154.77673539,156.18926729,154.44866356,155.22328186,1131500,yfinance
2019-04-22,154.9408069,155.57872061,153.34601567,154.84967041,978800,yfinance
2019-04-23,154.71294646,156.56290278,154.58536374,155.93409729,1122000,yfinance
2019-04-24,155.68801542,156.31682081,154.51243301,155.30526733,730200,yfinance
2019-04-25,155.56959497,155.7700702,154.3575521,155.27796936,738600,yfinance
2019-04-26,155.82471893,157.43772572,155.34172631,157.20079041,819900,yfinance
2019-04-29,157.04593879,157.84789545,156.06172304,157.16441345,1301200,yfinance
2019-04-30,157.33754849,157.62006606,155.99792268,156.572052,1797600,yfinance
2019-05-01,164.02655752,164.21792467,154.76765217,155.19596863,3354900,yfinance
2019-05-02,153.82897994,155.3417564,151.90611717,155.15037537,2323900,yfinance
2019-05-03,155.86121007,159.14192872,154.69473542,158.95965576,1314400,yfinance
2019-05-06,155.66986699,157.31021266,154.01127733,154.96815491,2166200,yfinance
2019-05-07,153.83810527,154.08416265,150.79433585,152.45291138,2514000,yfinance
2019-05-08,152.29796481,153.82897126,151.4960223,151.96078491,2149500,yfinance
2019-05-09,151.27730821,151.27730821,148.46136647,150.66673279,1896500,yfinance
2019-05-10,149.91041828,150.9493106,147.1582596,149.77372742,2617700,yfinance
2019-05-13,147.17643466,150.59384414,146.56585917,150.45715332,2437600,yfinance
2019-05-14,150.86724878,152.80832802,150.60296131,152.18864441,1850400,yfinance
2019-05-15,152.00636955,155.07747695,151.77854226,154.8952179,1353000,yfinance
2019-05-16,154.92255695,157.64737634,153.2730896,155.56047058,1714500,yfinance
2019-05-17,153.85632176,156.59935722,152.71718535,152.75363159,1769800,yfinance
2019-05-20,152.2706247,153.50089747,150.94012128,152.53491211,1428500,yfinance
2019-05-21,153.59205721,154.16618649,152.42558246,153.22753906,1194400,yfinance
2019-05-22,153.49182732,154.01128032,152.41648896,152.70811462,1155100,yfinance
2019-05-23,151.42315886,152.07930268,148.79858359,150.84902954,1480400,yfinance
2019-05-24,151.89705168,152.09754087,149.76459092,150.51187134,1290300,yfinance
2019-05-28,150.31135329,154.74942499,150.31135329,151.84234619,1776200,yfinance
2019-05-29,151.4140156,151.4140156,147.24023177,149.50027466,1529500,yfinance
2019-05-30,150.22207001,151.76623192,149.88399007,151.31851196,1132900,yfinance
2019-05-31,150.7520639,150.7520639,147.04241306,147.13378906,1401100,yfinance
2019-06-03,147.4810172,150.71552435,147.28913316,149.98455811,1826300,yfinance
