date,open,high,low,close,volume,source
2019-01-02,49.50971735,50.36855979,49.29079825,50.3096199,3341800,yfinance
2019-01-03,49.96438547,50.64640806,49.02976298,49.223423,5843100,yfinance
2019-01-04,49.84651378,50.43591576,49.46761228,50.28435516,5663500,yfinance
2019-01-07,50.520115,51.21055631,50.08227362,50.66325378,6251100,yfinance
2019-01-08,51.17688359,51.62314686,50.53696344,51.08426285,3952900,yfinance
2019-01-09,51.56420102,52.10308176,51.47158029,51.6989212,3662600,yfinance
2019-01-10,51.18529544,52.60827747,51.18529544,52.29673767,2836400,yfinance
2019-01-11,52.11149376,52.33883464,51.70733325,52.2209549,2250700,yfinance
2019-01-14,51.75786553,52.220966,51.51368417,51.94310379,2693600,yfinance
2019-01-15,52.094672,52.18729275,51.42949275,51.79997253,2649600,yfinance
2019-01-16,51.78312247,51.8757432,51.5221007,51.68208313,2644300,yfinance
2019-01-17,51.34527451,52.50723801,51.23581337,52.20411682,5191200,yfinance
2019-01-18,52.5746028,53.98074779,52.5746028,53.61868668,4507800,yfinance
2019-01-22,53.17242934,53.26504686,52.27148743,53.05454636,5795200,yfinance
2019-01-23,53.22293202,53.50921275,52.15358937,52.54091263,2989300,yfinance
2019-01-24,52.54091896,53.14715813,52.43145781,53.07979965,2974400,yfinance
2019-01-25,53.83760834,54.08179291,53.6018488,53.83760834,2060600,yfinance
2019-01-28,53.18084073,53.231362,52.22095906,52.54933929,4324400,yfinance
2019-01-29,53.0798076,53.52606763,52.78510496,53.40818787,3200200,yfinance
2019-01-30,54.1154675,55.48793492,53.95549149,55.31111526,5843000,yfinance
2019-01-31,55.36162927,55.49635267,54.7974895,55.12586975,6009000,yfinance
2019-02-01,55.53845847,56.14470102,55.19324095,56.11944199,3806800,yfinance
2019-02-04,56.20363037,57.07089135,55.80788842,56.96143341,6672900,yfinance
2019-02-05,55.6647433,56.64988393,54.89851853,56.32992554,7144500,yfinance
2019-02-06,56.47306826,56.60779165,55.78262695,56.4225502,5068300,yfinance
2019-02-07,55.99312946,56.26256983,55.48792958,55.85840607,4039900,yfinance
2019-02-08,55.58895574,56.25413793,55.36161808,56.19519806,4531900,yfinance
2019-02-11,56.30465594,56.49831273,55.98469118,56.34675217,2706200,yfinance
2019-02-12,56.87722157,57.5255601,56.59935945,57.31505966,2708500,yfinance
2019-02-13,57.6266308,57.74451059,57.26456961,57.60137177,3173700,yfinance
2019-02-14,57.29603688,57.34692586,56.36315417,56.38011932,4359800,yfinance
2019-02-15,56.9313642,57.99145966,56.71934511,57.93209457,3901300,yfinance
2019-02-19,57.66072265,57.84730053,57.19428443,57.57591629,2479300,yfinance
2019-02-20,57.68614845,58.27132318,57.56741829,58.16107559,3851400,yfinance
2019-02-21,57.82185184,57.97450586,57.30452469,57.44869614,2549900,yfinance
2019-02-22,57.7624873,58.15260169,57.61831586,58.13564301,2354900,yfinance
2019-02-25,58.517275,58.76321795,58.15260187,58.30525589,2785800,yfinance
2019-02-26,57.9745152,58.37311223,57.9151501,57.95755005,2099800,yfinance
2019-02-27,57.83881356,58.22893444,57.62679444,58.12716293,1439100,yfinance
2019-02-28,57.99994231,58.08474865,57.63526921,57.79640579,2626500,yfinance
2019-03-01,58.21196702,58.44095128,57.69463987,58.00843048,2778000,yfinance
2019-03-04,58.33917999,58.5511991,57.27060184,57.72008133,2941100,yfinance
2019-03-05,57.64374876,57.82184401,57.4232471,57.44021225,2415200,yfinance
2019-03-06,57.57591245,57.66920138,57.32996949,57.41477585,2943000,yfinance
2019-03-07,57.32996531,57.32996531,56.32075876,57.07554626,3593800,yfinance
2019-03-08,56.34619515,56.66846184,55.89671572,56.481884,3876300,yfinance
2019-03-11,56.30380335,57.21972761,56.29532078,57.19428635,3830700,yfinance
2019-03-12,57.31301576,57.65224768,57.02466636,57.09251404,3048500,yfinance
