date,open,high,low,close,volume,source
2019-01-02,187.90868946,187.90868946,181.85483177,182.68878174,417200,yfinance
2019-01-03,182.27961281,186.00150165,182.27961281,183.65408325,356200,yfinance
2019-01-04,184.48796081,186.04775686,183.28337027,184.00921631,344600,yfinance
2019-01-07,184.77363586,187.05156013,183.8238645,184.77363586,340600,yfinance
2019-01-08,185.43772394,189.90089215,184.85859299,189.39126587,386300,yfinance
2019-01-09,189.10555995,189.46848297,187.50716461,189.22911072,220100,yfinance
2019-01-10,189.08241508,192.37188684,188.58050624,192.0243988,345700,yfinance
2019-01-11,192.04749986,192.81194498,191.24443189,192.60345459,321300,yfinance
2019-01-14,192.1324926,193.46835138,191.07460537,192.1865387,171400,yfinance
2019-01-15,192.37188346,195.95477354,192.37188346,195.05133057,291300,yfinance
2019-01-16,194.76563064,199.0898021,194.07067809,198.18637085,417600,yfinance
2019-01-17,197.45280095,200.63414521,197.45280095,199.36006165,419300,yfinance
2019-01-18,200.41790412,200.81172069,198.82722636,200.71133423,310800,yfinance
2019-01-22,200.93525888,202.07808567,199.80789065,201.74603271,385500,yfinance
2019-01-23,201.59933729,202.3097483,200.60324901,202.15530396,291900,yfinance
2019-01-24,201.94679662,202.87341545,200.24800329,202.00085449,230700,yfinance
2019-01-25,202.20159715,204.27104265,201.93906065,202.94290161,468500,yfinance
2019-01-28,202.232516,206.30189109,201.95454447,205.76908875,384200,yfinance
2019-01-29,206.03935605,207.76131404,205.32123927,207.64549255,309100,yfinance
2019-01-30,206.85016399,219.36710937,206.85016399,209.26707458,418300,yfinance
2019-01-31,208.44855428,210.60290457,204.91198122,209.41377258,784100,yfinance
2019-02-01,209.49872526,209.79988472,205.04328553,208.55667114,349400,yfinance
2019-02-04,207.96977447,212.18586475,207.06634339,212.10864258,318500,yfinance
2019-02-05,212.10086442,214.1780155,210.07777121,213.83055115,313300,yfinance
2019-02-06,214.0854282,214.0854282,211.83839707,212.74185181,251200,yfinance
2019-02-07,210.6183521,214.5718823,210.6183521,214.24755859,230700,yfinance
2019-02-08,213.11247619,214.91165634,213.07387688,214.71861267,344800,yfinance
2019-02-11,214.66458668,216.29386413,213.8924119,215.17422485,286000,yfinance
2019-02-12,215.01200986,215.01200986,211.90014741,213.56802368,341500,yfinance
2019-02-13,212.83449921,215.15875241,212.12408817,214.68771362,229400,yfinance
2019-02-14,214.98116779,215.7842361,213.04300169,214.54875183,181800,yfinance
2019-02-15,215.64519393,215.96951763,214.03135183,215.29772949,261800,yfinance
2019-02-19,215.26684245,216.70309952,214.79582724,216.39421082,242600,yfinance
2019-02-20,216.2320629,216.2320629,212.20903963,213.73022461,259700,yfinance
2019-02-21,212.95033684,216.51778016,212.00055348,216.21664429,207500,yfinance
2019-02-22,216.81892105,218.4713625,215.70698769,217.34399414,209600,yfinance
2019-02-25,218.23188549,218.23188549,215.25130416,215.73777771,212100,yfinance
2019-02-26,216.20118426,216.5641073,215.02748721,216.23980713,180300,yfinance
2019-02-27,215.5293453,216.25519122,213.54485116,216.08531189,169800,yfinance
2019-02-28,216.23202693,219.45971073,215.7764468,216.08531189,465300,yfinance
2019-03-01,216.40193571,216.40193571,213.30550796,215.50621033,248900,yfinance
2019-03-04,216.31701515,218.11617169,214.95025095,217.77641296,222000,yfinance
2019-03-05,217.65284289,218.49451035,216.68762467,217.24359131,194300,yfinance
2019-03-06,217.80723988,218.32458354,217.05822977,217.26670837,292900,yfinance
2019-03-07,217.59110079,220.88054876,217.08146269,217.97718811,293400,yfinance
2019-03-08,217.37486396,219.58327185,217.32080609,218.91148376,320100,yfinance
2019-03-11,219.90762258,221.07359026,218.34781472,220.63346863,240100,yfinance
2019-03-12,220.95774522,221.89206983,220.09291348,221.60636902,220100,yfinance
2019-03-13,222.06975924,224.81869978,222.06975924,223.32067871,352600,yfinance
2019-03-14,223.45186634,224.88039391,222.84184187,224.64872742,243400,yfinance
2019-03-15,224.00789319,224.65651713,222.77240891,223.46736145,466900,yfinance
2019-03-18,224.00789638,224.67195534,219.67598384,221.03501892,291300,yfinance
2019-03-19,220.95776878,221.41334899,219.46747738,220.63346863,255600,yfinance
2019-03-20,220.63346134,222.00020193,218.45592327,220.27053833,257700,yfinance
2019-03-21,220.10066341,223.96924229,220.10066341,223.54455566,251200,yfinance
2019-03-22,224.15458169,227.4903582,224.15458169,224.47888184,302700,yfinance
2019-03-25,223.6372671,225.01173733,221.71455934,223.05813599,299600,yfinance
2019-03-26,223.22790319,226.23937876,223.22790319,226.13899231,164600,yfinance
2019-03-27,226.13910371,227.10432222,224.06197515,225.11212158,251100,yfinance
2019-03-28,225.11205275,226.09933335,224.22585833,225.57072449,213400,yfinance
2019-03-29,225.74173196,226.23923917,224.27248316,224.84773254,349000,yfinance
2019-04-01,224.53679803,224.56011831,221.06193383,224.09368896,270500,yfinance
2019-04-02,224.18701348,227.35869058,221.78490572,226.79119873,379100,yfinance
2019-04-03,226.49575528,226.74452074,223.81382829,225.50071716,322100,yfinance
2019-04-04,225.96718004,226.16930497,222.21247221,223.71279907,270900,yfinance
2019-04-05,224.16367178,225.04988999,222.88100876,224.93328857,285000,yfinance
2019-04-08,224.97212365,224.97212365,222.2668762,223.49511719,281800,yfinance
2019-04-09,223.59619912,223.98488631,222.50009838,223.46403503,235000,yfinance
2019-04-10,224.03157094,225.15877352,223.7050632,224.42803955,330100,yfinance
2019-04-11,224.77006659,225.65626115,223.74392659,225.29867554,151900,yfinance
2019-04-12,224.6844753,225.57845093,222.70218048,225.56291199,245100,yfinance
2019-04-15,225.8972651,226.45697572,224.05489123,224.42803955,275300,yfinance
2019-04-16,223.93824252,224.4668514,216.0945379,216.49876404,452400,yfinance
2019-04-17,217.14397121,217.14397121,212.65852966,213.49032593,312800,yfinance
2019-04-18,213.61477542,216.49882857,213.21830677,216.33558655,298500,yfinance
2019-04-22,215.61253848,215.61253848,211.11931568,213.91011047,272300,yfinance
2019-04-23,214.44652872,216.7397931,213.20274844,215.25500488,310600,yfinance
2019-04-24,216.60764525,217.31503518,215.09175547,216.6231842,403600,yfinance
2019-04-25,216.5531943,219.98141829,215.93128054,216.37438965,353600,yfinance
2019-04-26,217.65703777,220.07468435,216.70864011,218.77645874,288400,yfinance
2019-04-29,219.15740131,219.93477571,215.75249764,215.83799744,173200,yfinance
2019-04-30,215.79910142,220.15240207,215.31713317,219.60823059,499100,yfinance
2019-05-01,219.32063767,223.77497769,219.02523161,220.52555847,368400,yfinance
2019-05-02,220.64999134,223.02875559,219.02528137,220.04364014,261700,yfinance
2019-05-03,220.71989366,221.56722886,218.97858271,221.03862,220100,yfinance
2019-05-06,221.20962253,222.1580201,218.96302321,220.66545105,159800,yfinance
2019-05-07,220.40120512,221.13193904,215.14616975,216.81752014,239300,yfinance
2019-05-08,217.5171741,219.19630599,216.38997149,216.48327637,226100,yfinance
2019-05-09,216.17227204,218.6287781,214.98289011,217.73480225,240600,yfinance
2019-05-10,217.63376174,221.49731401,217.63376174,220.64997864,277900,yfinance
2019-05-13,220.12135661,221.11639498,218.91641196,220.47116089,370000,yfinance
2019-05-14,220.45558107,221.58278333,219.08739467,219.67042542,210200,yfinance
2019-05-15,219.1029193,221.83148656,218.97075525,220.90643311,183400,yfinance
