date,open,high,low,close,volume,source
2019-01-02,50.63666534,50.96333313,49.27999878,49.74666595,3060300,yfinance
2019-01-03,49.18999863,49.36333466,46.95333481,47.88666534,4591500,yfinance
2019-01-04,48.44333267,49.78666687,48.37333298,49.57333374,3782100,yfinance
2019-01-07,49.3833313,50.52000046,49.3833313,49.91333389,3993000,yfinance
2019-01-08,50.48333359,51.03666687,49.59666824,50.86999893,2835000,yfinance
2019-01-09,51.27000046,52.44333267,51.24000168,51.45000076,3024000,yfinance
2019-01-10,51.28666687,51.90333176,50.92333221,51.70333481,2779500,yfinance
2019-01-11,51.45999908,51.5,50.4066658,50.93333435,3033600,yfinance
2019-01-14,50.36999893,50.64666748,49.79999924,49.83000183,3969600,yfinance
2019-01-15,51.70000076,54.25666809,51.66666794,54.02999878,7925700,yfinance
2019-01-16,54.00999832,54.29333115,52.0,52.21333313,5927700,yfinance
2019-01-17,52.27999878,53.47333145,52.00333405,53.03666687,4785300,yfinance
2019-01-18,54.33333206,56.17666626,54.27000046,56.13666534,6916200,yfinance
2019-01-22,55.86000061,56.1333313,55.3666687,56.09666824,4429800,yfinance
2019-01-23,56.31999969,56.57666779,55.25,55.88999939,4719300,yfinance
2019-01-24,55.86333466,56.70000076,55.75999832,56.40000153,3423300,yfinance
2019-01-25,56.91999817,56.96666718,56.41999817,56.88000107,3453000,yfinance
2019-01-28,56.20333481,56.6866684,55.81000137,56.11333466,3222300,yfinance
2019-01-29,56.03333282,56.09999847,55.3133316,55.37333298,3053100,yfinance
2019-01-30,55.4766655,56.43000031,55.37666702,56.24666595,2719500,yfinance
2019-01-31,56.07666779,57.3666687,55.69666672,56.80666733,4334700,yfinance
2019-02-01,55.84666824,57.15999985,54.36000061,56.23333359,6626100,yfinance
2019-02-04,56.3666687,57.20999908,55.3833313,57.10333252,4088400,yfinance
2019-02-05,57.2266655,57.57333374,56.61333466,56.70333481,3626700,yfinance
2019-02-06,56.61000061,57.10666656,55.93999863,56.86000061,3005400,yfinance
2019-02-07,56.45666885,56.99666595,56.06000137,56.75,2561100,yfinance
2019-02-08,56.18000031,57.31999969,56.00999832,57.31000137,2708100,yfinance
2019-02-11,57.36999893,58.25666809,57.36999893,57.77000046,2803200,yfinance
2019-02-12,58.08333206,59.46333313,57.7733345,59.19666672,4050300,yfinance
2019-02-13,59.29333115,59.3433342,58.06000137,58.74333191,2310000,yfinance
2019-02-14,58.76666641,59.07666779,58.45000076,58.70666885,1461900,yfinance
2019-02-15,59.29666519,59.54000092,58.76666641,59.25999832,2572200,yfinance
2019-02-19,59.26666641,59.56000137,58.8133316,59.00999832,2175600,yfinance
2019-02-20,59.30666733,59.37333298,58.66666794,58.89333344,2764500,yfinance
2019-02-21,58.77999878,58.82333374,57.56999969,57.97999954,4420200,yfinance
2019-02-22,57.85333252,58.35666656,57.34666824,57.50333405,4295400,yfinance
2019-02-25,57.58333206,57.83666611,56.45999908,56.8133316,4589400,yfinance
2019-02-26,56.58000183,56.79333115,55.74333191,56.04333115,4287000,yfinance
2019-02-27,55.74000168,56.49333191,55.71333313,56.19666672,2058600,yfinance
2019-02-28,56.19666672,57.18999863,56.05666733,56.43000031,4748100,yfinance
2019-03-01,56.93999863,58.24666595,56.71333313,57.90333176,3847200,yfinance
2019-03-04,58.15000153,58.40999985,56.44333267,57.06999969,4936500,yfinance
2019-03-05,57.04000092,57.66666794,56.73666763,57.52666855,2803200,yfinance
2019-03-06,57.64333344,57.66666794,56.58000183,57.20666885,2965800,yfinance
2019-03-07,57.03333282,57.41666794,56.76666641,56.98666763,2611800,yfinance
2019-03-08,56.8433342,56.8433342,55.45666885,56.41999817,3128700,yfinance
2019-03-11,56.72333145,57.93999863,56.52666855,57.85333252,4588500,yfinance
2019-03-12,57.81000137,58.53333282,57.24666595,58.47999954,4414500,yfinance
2019-03-13,58.57666779,59.5633316,58.5,59.30333328,7502400,yfinance
2019-03-14,59.34999847,59.45999908,58.61333466,59.34000015,5482800,yfinance
2019-03-15,59.72999954,60.4766655,59.45999908,59.91666794,7611900,yfinance
2019-03-18,64.82666779,65.95333099,63.29999924,63.63000107,14296500,yfinance
2019-03-19,64.04000092,64.25,62.53333282,63.11999893,7527600,yfinance
2019-03-20,62.74333191,63.73333359,62.68999863,62.97000122,3183300,yfinance
2019-03-21,62.66999817,64.34666443,62.52000046,64.05000305,2578500,yfinance
2019-03-22,64.05000305,64.30999756,62.86333466,62.99666595,3180000,yfinance
2019-03-25,62.68333435,63.26333237,62.33000183,63.1333313,2580000,yfinance
2019-03-26,63.55666733,63.85333252,63.04333115,63.42666626,2703000,yfinance
2019-03-27,63.50999832,63.61333466,61.95999908,62.51666641,2234700,yfinance
2019-03-28,62.79000092,63.1166687,62.2266655,62.91999817,1652700,yfinance
2019-03-29,63.22000122,63.86000061,62.92666626,63.77666855,2247000,yfinance
2019-04-01,64.1866684,64.65333557,63.19333267,63.33333206,4107000,yfinance
2019-04-02,63.29999924,63.59999847,62.84000015,63.33333206,3168300,yfinance
2019-04-03,63.61000061,63.91666794,63.29000092,63.56999969,4122000,yfinance
2019-04-04,63.75333405,63.88666534,62.66666794,63.09999847,2511600,yfinance
2019-04-05,63.10333252,63.54999924,62.72999954,62.77000046,2583900,yfinance
2019-04-08,62.68999863,62.8833313,61.93000031,62.8433342,2696700,yfinance
2019-04-09,62.74333191,63.48333359,62.74000168,63.31999969,2742300,yfinance
2019-04-10,63.2266655,63.40333176,62.73333359,62.94333267,3258000,yfinance
2019-04-11,63.29999924,63.50333405,62.29666519,63.45333481,2507100,yfinance
2019-04-12,63.5,64.17333221,63.43333435,63.90333176,3145200,yfinance
2019-04-15,64.0,64.33000183,63.04666519,63.07666779,2423700,yfinance
2019-04-16,63.62333298,63.84666824,62.84000015,63.46333313,4880100,yfinance
2019-04-17,63.55333328,63.66666794,58.78666687,59.16333389,8410500,yfinance
2019-04-18,59.33666611,60.0,57.38000107,59.08666611,8024700,yfinance
2019-04-22,58.69333267,60.16999817,58.5633316,59.42333221,3783600,yfinance
2019-04-23,59.35666656,60.7266655,59.0933342,60.32666779,4736400,yfinance
2019-04-24,59.63000107,60.33333206,57.66666794,59.24333191,7201200,yfinance
2019-04-25,59.47333145,59.95333481,58.27000046,59.07333374,4303500,yfinance
2019-04-26,58.45333481,59.02000046,58.01333237,58.70666885,3854100,yfinance
2019-04-29,58.08666611,58.75,57.71333313,58.11000061,4102200,yfinance
2019-04-30,57.93999863,59.01333237,57.88000107,58.68999863,2721900,yfinance
2019-05-01,58.77999878,59.29666519,58.24000168,58.46333313,2761800,yfinance
2019-05-02,58.64333344,59.55333328,58.27666855,59.55333328,3087600,yfinance
2019-05-03,60.0,60.83000183,59.95000076,60.50333405,2990100,yfinance
2019-05-06,58.72333145,61.16666794,58.2733345,60.99666595,3199800,yfinance
2019-05-07,60.65000153,61.06666565,59.04000092,59.44333267,2917200,yfinance
2019-05-08,59.51333237,59.74666595,58.95666885,59.25666809,2764800,yfinance
2019-05-09,59.04333115,60.63999939,59.0233345,60.44666672,3499800,yfinance
2019-05-10,60.20000076,60.56000137,58.66999817,60.3666687,2572800,yfinance
2019-05-13,59.25,59.93000031,59.0933342,59.38999939,2607300,yfinance
2019-05-14,59.37666702,60.20666885,59.23666763,59.63000107,2125800,yfinance
2019-05-15,59.30666733,59.72000122,58.95999908,59.08333206,3702900,yfinance
2019-05-16,59.30666733,59.72333145,58.98333359,59.04666519,2780700,yfinance
2019-05-17,58.35333252,58.79999924,57.4766655,57.70666885,3264900,yfinance
2019-05-20,57.3666687,57.97999954,56.99000168,57.5933342,3517800,yfinance
2019-05-21,58.15000153,58.66666794,57.26333237,57.33333206,3674400,yfinance
2019-05-22,57.0633316,57.98333359,57.0,57.55333328,3229500,yfinance
2019-05-23,57.65999985,57.66333389,56.26666641,56.6566658,3220500,yfinance
2019-05-24,56.98333359,57.51333237,56.40333176,56.45999908,3215700,yfinance
2019-05-28,56.45999908,57.14666748,56.2266655,56.42666626,4212300,yfinance
2019-05-29,55.98333359,56.16999817,55.22999954,55.74000168,3789300,yfinance
2019-05-30,55.83000183,56.72999954,55.69666672,56.67333221,2242800,yfinance
2019-05-31,56.25999832,57.3133316,56.06999969,56.90000153,3995100,yfinance
2019-06-03,56.58333206,56.97000122,55.94333267,56.2733345,4625700,yfinance
2019-06-04,56.8133316,58.07333374,56.58666611,58.01333237,3705900,yfinance
2019-06-05,58.5,59.30333328,58.36333466,59.09999847,3996300,yfinance
2019-06-06,59.20333481,60.17333221,58.97333145,59.93000031,3000900,yfinance
2019-06-07,60.35666656,61.83000183,60.33333206,61.27000046,3599700,yfinance
2019-06-10,61.63000107,62.25666809,61.27000046,61.74333191,3916200,yfinance
2019-06-11,61.9066658,62.22333145,61.11999893,61.8666687,3063000,yfinance
2019-06-12,62.0,62.27000046,60.75666809,61.59999847,3270900,yfinance
2019-06-13,61.67333221,61.90000153,60.74000168,61.54666519,4069800,yfinance
2019-06-14,61.51666641,61.54333115,60.83000183,61.31000137,3233700,yfinance
2019-06-17,61.54333115,61.79999924,61.09999847,61.58333206,3212400,yfinance
2019-06-18,61.88999939,63.48666763,61.77666855,63.10333252,3420000,yfinance
2019-06-19,63.13000107,63.95666885,62.83000183,63.66333389,5916900,yfinance
2019-06-20,64.16666412,64.95999908,63.39666748,64.29000092,7109700,yfinance
2019-06-21,64.51999664,65.0,63.79999924,64.41000366,7141500,yfinance
2019-06-24,64.48666382,64.49666595,63.71333313,63.91999817,4497300,yfinance
2019-06-25,63.86999893,64.57666779,63.82666779,63.98666763,5898300,yfinance
2019-06-26,63.82333374,63.95000076,62.13666534,62.34999847,3286500,yfinance
2019-06-27,62.80666733,62.80666733,61.54000092,61.81000137,4941000,yfinance
2019-06-28,61.88999939,62.0633316,61.34666824,61.58000183,12762300,yfinance
2019-07-01,62.21666718,62.42333221,61.29999924,61.75666809,5523300,yfinance
2019-07-02,61.65000153,62.18333435,61.00333405,61.54666519,4950900,yfinance
2019-07-03,61.72333145,62.51666641,61.61999893,62.46666718,2281800,yfinance
2019-07-05,62.05666733,62.9066658,61.94333267,62.76666641,2854800,yfinance
2019-07-08,62.50666809,62.64666748,62.1566658,62.25333405,2775900,yfinance
2019-07-09,62.08333206,63.53333282,62.07333374,63.33000183,4002300,yfinance
2019-07-10,63.00999832,64.33000183,63.00999832,63.7266655,3510000,yfinance
2019-07-11,64.23332977,65.01667023,63.77666855,65.01000214,2598300,yfinance
2019-07-12,64.91666412,64.91666412,63.0933342,63.81666565,3078300,yfinance
2019-07-15,63.90000153,63.95333481,63.51333237,63.63000107,2994600,yfinance
2019-07-16,63.79333115,63.79333115,62.47000122,62.50999832,2461800,yfinance
2019-07-17,62.66666794,63.40000153,62.38999939,63.25333405,2771700,yfinance
2019-07-18,63.38999939,64.74333191,63.25666809,64.36000061,4345500,yfinance
2019-07-19,64.56999969,65.08000183,64.37666321,64.77666473,3974400,yfinance
2019-07-22,65.07333374,65.58333588,64.56666565,64.66999817,4221900,yfinance
2019-07-23,64.72333527,65.39333344,64.37000275,65.15333557,3602700,yfinance
2019-07-24,72.72000122,73.23666382,70.24333191,71.62666321,10900500,yfinance
2019-07-25,70.84999847,71.37666321,69.89666748,70.82333374,4079100,yfinance
2019-07-26,70.64333344,71.63666534,70.34999847,70.94999695,4142100,yfinance
2019-07-29,70.92666626,72.19000244,70.33333588,72.08999634,3401400,yfinance
2019-07-30,71.87333679,72.58999634,71.54666901,72.29000092,2965800,yfinance
2019-07-31,72.09999847,72.48332977,70.25,70.94999695,2286000,yfinance
2019-08-01,71.10333252,72.66333008,71.10333252,71.69000244,3764400,yfinance
2019-08-02,71.40000153,71.76333618,70.43000031,71.44667053,3128100,yfinance
2019-08-05,70.51333618,70.99666595,69.12333679,69.80999756,3363900,yfinance
2019-08-06,70.48666382,70.95666504,69.79000092,70.91000366,2766900,yfinance
2019-08-07,70.26333618,71.34666443,68.95999908,71.02666473,2808600,yfinance
2019-08-08,71.66666412,72.82333374,71.40000153,72.3666687,2471100,yfinance
2019-08-09,72.08666992,72.83333588,71.72333527,72.54333496,1757100,yfinance
2019-08-12,72.19999695,72.66000366,71.50666809,71.96333313,2007300,yfinance
2019-08-13,71.93000031,73.23332977,71.66666412,73.07333374,2822400,yfinance
2019-08-14,72.29333496,72.56999969,71.1333313,71.16999817,2391600,yfinance
2019-08-15,71.51000214,72.34999847,71.13999939,71.73666382,3177600,yfinance
2019-08-16,72.66666412,73.49333191,72.33666992,73.11333466,3248400,yfinance
2019-08-19,73.52333069,74.65000153,73.41333008,74.16666412,3884100,yfinance
2019-08-20,74.36000061,75.47000122,73.98999786,74.00333405,3384000,yfinance
2019-08-21,74.28333282,74.53333282,73.58333588,73.93000031,2530200,yfinance
2019-08-22,74.08000183,74.33333588,70.24333191,72.22333527,8070000,yfinance
2019-08-23,72.22333527,72.46666718,70.28333282,70.68000031,3058800,yfinance
2019-08-26,71.14666748,71.92333221,70.81666565,71.88666534,1680000,yfinance
2019-08-27,71.83333588,72.37000275,71.26000214,71.62999725,2283300,yfinance
2019-08-28,71.52999878,72.59999847,71.31666565,72.30000305,1405500,yfinance
2019-08-29,72.89333344,73.83333588,72.59999847,73.35666656,2066700,yfinance
2019-08-30,74.0,74.19333649,73.22000122,73.94667053,2469600,yfinance
2019-09-03,73.30332947,73.84999847,72.12666321,72.87000275,2172600,yfinance
2019-09-04,73.18000031,73.62333679,72.53666687,73.28666687,2381700,yfinance
2019-09-05,74.01999664,75.1166687,73.94999695,74.99333191,3579000,yfinance
2019-09-06,75.41999817,76.0633316,75.15000153,75.43000031,2922000,yfinance
2019-09-09,75.24666595,75.73666382,72.22333527,72.40333557,3001800,yfinance
2019-09-10,71.66666412,72.76000214,69.3833313,72.75666809,4134900,yfinance
2019-09-11,72.51667023,73.03333282,71.77666473,72.6166687,3272400,yfinance
2019-09-12,73.36000061,73.94000244,72.66666412,73.48332977,2485800,yfinance
2019-09-13,73.07666779,73.46666718,72.47000122,73.16666412,2055900,yfinance
2019-09-16,72.73000336,73.40666962,71.36333466,71.69667053,2437800,yfinance
2019-09-17,72.00666809,73.34666443,72.00666809,73.13999939,2639700,yfinance
2019-09-18,73.33333588,73.33333588,71.5633316,72.61333466,1802400,yfinance
2019-09-19,72.23666382,72.56999969,71.69667053,71.70333099,2276100,yfinance
2019-09-20,72.1166687,73.33333588,71.99333191,73.22000122,5959800,yfinance
2019-09-23,73.09333038,73.58333588,72.66999817,73.23332977,3033600,yfinance
2019-09-24,73.79000092,73.88666534,72.23000336,73.02999878,2217900,yfinance
2019-09-25,72.92333221,73.9366684,72.36000061,73.83333588,2931900,yfinance
2019-09-26,73.99333191,74.30000305,72.96666718,73.8666687,2823000,yfinance
2019-09-27,74.02999878,74.18333435,71.87999725,72.43000031,4859100,yfinance
2019-09-30,73.0,73.56999969,71.89666748,73.30332947,3049500,yfinance
2019-10-01,72.74666595,73.50666809,71.66666412,71.70333099,3812700,yfinance
2019-10-02,71.94000244,72.42333221,71.07666779,71.79000092,4094700,yfinance
2019-10-03,71.64666748,74.62999725,71.46666718,74.33333588,5799300,yfinance
2019-10-04,74.39333344,76.65666962,74.39333344,76.46666718,4256700,yfinance
2019-10-07,75.92666626,76.04333496,74.36000061,75.05999756,3366300,yfinance
2019-10-08,74.51667023,74.58333588,72.66999817,72.67666626,3038400,yfinance
2019-10-09,73.34666443,75.01333618,73.26667023,74.9366684,3071400,yfinance
2019-10-10,74.42666626,75.76999664,73.94333649,75.36333466,3020400,yfinance
2019-10-11,75.83666992,76.73000336,75.25,75.70333099,4399800,yfinance
2019-10-14,76.1166687,76.62666321,75.04333496,75.53666687,2359200,yfinance
