date,open,high,low,close,volume,source
2019-01-02,184.16000366,186.66000366,183.47000122,185.49000549,205400,yfinance
2019-01-03,183.52999878,183.52999878,178.41999817,178.77000427,170700,yfinance
2019-01-04,181.52999878,190.00999451,181.52999878,189.47999573,273400,yfinance
2019-01-07,190.63999939,194.92999268,189.74000549,193.44999695,311600,yfinance
2019-01-08,195.86000061,197.22999573,193.27999878,197.16999817,256200,yfinance
2019-01-09,198.3500061,200.0,196.97999573,199.02000427,185600,yfinance
2019-01-10,198.69000244,204.42999268,197.33999634,204.30999756,206800,yfinance
2019-01-11,204.30000305,205.94000244,202.3500061,205.77999878,237800,yfinance
2019-01-14,203.82000732,204.80000305,202.02999878,203.44000244,127100,yfinance
2019-01-15,203.63000488,209.32000732,202.19999695,208.50999451,188100,yfinance
2019-01-16,208.5,211.6499939,207.80999756,210.58999634,210600,yfinance
2019-01-17,210.3999939,212.72000122,209.33000183,211.69000244,198400,yfinance
2019-01-18,213.8999939,216.97999573,212.08000183,216.38999939,179500,yfinance
2019-01-22,215.30999756,215.8999939,211.47999573,212.88000488,169900,yfinance
2019-01-23,214.94999695,216.38999939,211.75,215.30000305,165700,yfinance
2019-01-24,215.08000183,215.61000061,212.67999268,215.13999939,130900,yfinance
2019-01-25,217.44999695,218.41000366,215.97000122,218.00999451,122400,yfinance
2019-01-28,215.28999329,216.86999512,213.36999512,216.24000549,167300,yfinance
2019-01-29,216.17999268,216.36999512,212.75,214.50999451,119400,yfinance
2019-01-30,216.69999695,217.97999573,214.16999817,217.72999573,161300,yfinance
2019-01-31,218.86999512,227.11000061,216.97999573,225.19999695,390500,yfinance
2019-02-01,225.94000244,228.52000427,224.44999695,228.50999451,326400,yfinance
2019-02-04,228.38000488,230.97000122,227.50999451,230.05999756,238800,yfinance
2019-02-05,230.6000061,232.99000549,229.66999817,231.8500061,248900,yfinance
2019-02-06,231.42999268,232.83000183,229.67999268,232.19000244,309500,yfinance
2019-02-07,230.0,232.6000061,228.22999573,232.21000671,201500,yfinance
2019-02-08,231.13999939,236.03999329,231.13999939,235.97999573,173000,yfinance
2019-02-11,236.25999451,239.41000366,234.91000366,235.74000549,215300,yfinance
2019-02-12,237.57000732,239.92999268,236.27000427,239.69000244,158800,yfinance
2019-02-13,240.0,242.44999695,239.1499939,240.63999939,165700,yfinance
2019-02-14,239.50999451,244.63000488,238.75999451,242.46000671,230500,yfinance
2019-02-15,243.86999512,244.05999756,240.33999634,240.63999939,308400,yfinance
2019-02-19,240.0,244.94000244,240.0,244.33999634,151300,yfinance
2019-02-20,245.13999939,245.16000366,242.27999878,243.63000488,189700,yfinance
2019-02-21,243.6000061,246.0,242.41000366,245.47000122,134200,yfinance
2019-02-22,246.94999695,249.24000549,246.28999329,248.6499939,110000,yfinance
2019-02-25,250.0,250.0,245.91000366,247.02000427,210400,yfinance
2019-02-26,246.74000549,248.05999756,245.17999268,246.50999451,259100,yfinance
2019-02-27,245.96000671,249.25999451,245.02999878,249.05999756,125900,yfinance
2019-02-28,248.22999573,250.61999512,247.38999939,247.82000732,212900,yfinance
2019-03-01,250.69999695,252.97999573,249.08000183,251.58000183,188900,yfinance
2019-03-04,252.69999695,253.77000427,243.77999878,248.05000305,259900,yfinance
2019-03-05,248.38999939,248.38999939,246.63000488,247.25999451,238800,yfinance
2019-03-06,247.0,248.36000061,244.77999878,245.42999268,212100,yfinance
2019-03-07,245.66000366,247.13000488,244.58000183,246.80000305,216100,yfinance
2019-03-08,244.24000549,245.77000427,241.74000549,245.6000061,252900,yfinance
2019-03-11,248.0,252.88999939,247.94999695,252.75999451,462700,yfinance
2019-03-12,253.3500061,257.75,252.13000488,256.75,179100,yfinance
2019-03-13,257.66000366,261.07998657,257.66000366,257.80999756,254300,yfinance
2019-03-14,258.20001221,261.45001221,257.48999023,261.23999023,280300,yfinance
2019-03-15,260.77999878,265.26998901,260.32000732,263.38000488,328500,yfinance
2019-03-18,263.48999023,266.73999023,263.48999023,264.17999268,172800,yfinance
2019-03-19,264.17999268,265.89001465,261.01998901,264.60998535,189900,yfinance
2019-03-20,264.05999756,267.0,261.36999512,263.39001465,191900,yfinance
2019-03-21,262.07000732,270.30999756,262.07000732,269.07000732,151900,yfinance
2019-03-22,268.42999268,269.05999756,262.44000244,263.32998657,170800,yfinance
2019-03-25,262.92001343,264.19000244,260.36999512,262.57998657,181300,yfinance
2019-03-26,265.32000732,267.26000977,262.98001099,265.51000977,187000,yfinance
2019-03-27,265.79998779,266.77999878,260.92001343,262.94000244,155200,yfinance
2019-03-28,263.42999268,266.70999146,262.77999878,266.45001221,247200,yfinance
2019-03-29,267.97000122,271.92001343,266.51000977,271.63000488,271300,yfinance
2019-04-01,273.77999878,276.54998779,270.6000061,272.76998901,197800,yfinance
2019-04-02,273.19000244,275.72000122,270.52999878,275.58999634,184500,yfinance
2019-04-03,277.0,279.42001343,274.80999756,276.63000488,199300,yfinance
2019-04-04,277.30999756,277.30999756,269.20001221,270.63000488,226300,yfinance
2019-04-05,271.86999512,274.92999268,270.82998657,272.30999756,187200,yfinance
2019-04-08,272.05999756,275.45001221,269.64001465,275.45001221,230100,yfinance
2019-04-09,275.14001465,277.22000122,274.0,275.79000854,98400,yfinance
2019-04-10,276.60998535,278.16000366,274.97000122,276.30999756,213400,yfinance
2019-04-11,277.67999268,279.98001099,273.70001221,279.33999634,213400,yfinance
2019-04-12,280.3500061,281.73999023,276.69000244,279.10998535,216700,yfinance
2019-04-15,279.48999023,281.26998901,277.17001343,278.23001099,202200,yfinance
2019-04-16,280.41000366,284.11999512,279.51000977,283.39001465,192100,yfinance
2019-04-17,285.36999512,285.36999512,274.89001465,275.44000244,187300,yfinance
2019-04-18,275.75,276.16000366,273.35998535,275.45999146,277300,yfinance
2019-04-22,274.85998535,280.57000732,274.0,280.25,205800,yfinance
2019-04-23,281.45999146,285.55999756,280.38000488,283.75,301500,yfinance
2019-04-24,283.48001099,287.29000854,282.54000854,283.0,131900,yfinance
2019-04-25,282.91000366,283.92001343,278.1499939,280.5,314800,yfinance
2019-04-26,280.95999146,284.44000244,277.3999939,283.67999268,199200,yfinance
2019-04-29,285.16000366,285.48001099,279.07000732,279.80999756,289200,yfinance
2019-04-30,279.79998779,281.44000244,275.55999756,279.75,416000,yfinance
2019-05-01,280.0,281.98999023,270.51998901,270.8999939,366700,yfinance
2019-05-02,270.60998535,273.97000122,268.25,272.5,285800,yfinance
2019-05-03,274.3999939,280.54000854,274.3999939,280.25,161500,yfinance
2019-05-06,276.52999878,285.6499939,275.67999268,284.47000122,305700,yfinance
2019-05-07,282.22000122,283.60998535,276.36999512,278.92001343,304200,yfinance
2019-05-08,279.17999268,285.08999634,278.42001343,283.11999512,185200,yfinance
2019-05-09,280.63000488,289.02999878,278.27999878,287.20999146,342100,yfinance
2019-05-10,285.13000488,288.30999756,279.23001099,287.32998657,140200,yfinance
2019-05-13,280.92999268,282.82998657,272.25,273.07000732,272900,yfinance
2019-05-14,274.25,284.67001343,274.25,282.35998535,173400,yfinance
2019-05-15,278.51000977,287.51998901,278.39001465,287.29998779,166800,yfinance
2019-05-16,288.27999878,296.48999023,288.27999878,294.25,195100,yfinance
2019-05-17,290.54000854,295.38000488,290.54000854,291.8500061,147900,yfinance
2019-05-20,288.64001465,292.26000977,285.0,290.16000366,188700,yfinance
2019-05-21,294.01000977,296.48999023,292.77999878,293.45001221,164200,yfinance
