date,open,high,low,close,volume,source
2019-01-02,9.13501264,9.46179349,9.09045153,9.3776226,4306400,yfinance
2019-01-03,9.29345254,9.35781807,9.07064696,9.19937897,7121200,yfinance
2019-01-04,9.34296418,9.67469637,9.29345173,9.58557415,6700800,yfinance
2019-01-07,9.60042777,9.74896513,9.46674537,9.57072067,7724000,yfinance
2019-01-08,9.64498752,9.82818329,9.63508485,9.69449997,6737400,yfinance
2019-01-09,9.75886928,9.91730936,9.67964972,9.8677969,5836500,yfinance
2019-01-10,9.79352771,9.97672259,9.74401525,9.93711281,5960000,yfinance
2019-01-11,9.82323224,9.91235446,9.74896404,9.84303665,3499900,yfinance
2019-01-14,9.77867111,9.8826464,9.52120713,9.56576824,7288400,yfinance
2019-01-15,9.60537762,9.8331345,9.55091478,9.75886536,6613500,yfinance
2019-01-16,9.78857476,9.90245274,9.69945253,9.77372074,3998600,yfinance
2019-01-17,9.70440187,9.95196314,9.69945054,9.90740204,4321300,yfinance
2019-01-18,9.98662199,10.11535397,9.89749978,9.9569149,9252800,yfinance
2019-01-22,9.87274359,9.892548,9.69945051,9.80342579,6534200,yfinance
2019-01-23,9.82323279,10.00147723,9.63013527,9.7935257,4340900,yfinance
2019-01-24,9.86779445,10.05594064,9.83313601,9.9173069,6389600,yfinance
2019-01-25,10.00643101,10.13021171,9.92226104,10.09060192,7082700,yfinance
2019-01-28,9.98662257,10.34806184,9.91235438,10.32330608,11690700,yfinance
2019-01-29,10.23418467,10.37281935,10.07574558,10.11040401,3257000,yfinance
2019-01-30,10.17972061,10.3381597,10.08069666,10.30845261,3706900,yfinance
2019-01-31,10.3035002,10.4223295,10.25398775,10.40747643,8017000,yfinance
2019-02-01,11.13035692,11.90769933,10.83823448,11.34325981,25017700,yfinance
2019-02-04,11.51159829,11.5759638,11.37791498,11.39772034,10352300,yfinance
2019-02-05,11.40267439,11.48684528,11.26403972,11.28879547,5877300,yfinance
2019-02-06,11.30860219,11.43238286,11.27394375,11.33830929,6263700,yfinance
2019-02-07,11.25908796,11.25908796,11.02638068,11.16996574,3376200,yfinance
2019-02-08,11.07094126,11.25908742,11.00657479,11.21947765,8592000,yfinance
2019-02-11,11.24918625,11.30860138,11.09074715,11.10064983,5213200,yfinance
2019-02-12,11.23433514,11.61062854,11.16996866,11.59082317,7022700,yfinance
