date,open,high,low,close,volume,source
2019-01-02,76.19414757,76.75505045,75.64126537,75.95376587,779300,yfinance
2019-01-03,75.65727635,76.03388102,74.49541634,74.74381256,926300,yfinance
2019-01-04,75.31272026,75.87362301,74.83195083,75.15246582,898200,yfinance
2019-01-07,75.12844542,76.39447043,74.96818483,75.81755066,838500,yfinance
2019-01-08,76.37042035,76.89927103,75.416896,76.24221802,704000,yfinance
2019-01-09,76.92329901,77.6043895,76.52265683,77.09156799,1188400,yfinance
2019-01-10,76.81911998,77.8607858,76.53065718,77.77264404,671200,yfinance
2019-01-11,77.55632834,77.77267247,76.6749166,77.0515213,711200,yfinance
2019-01-14,76.5146472,76.99541662,76.00182566,76.33836365,1065700,yfinance
2019-01-15,76.27425821,77.59637248,76.25022066,77.46817017,899600,yfinance
2019-01-16,77.04352141,77.37204494,76.6909542,76.96339417,726100,yfinance
2019-01-17,76.68289702,77.78867315,76.45853842,77.77264404,813200,yfinance
2019-01-18,78.05312237,78.50985427,77.25984635,78.4697876,969300,yfinance
2019-01-22,77.85279763,78.26144828,76.88323809,77.55632019,1347900,yfinance
2019-01-23,77.70859839,78.03712196,76.93935964,77.61244202,425400,yfinance
2019-01-24,77.58838344,77.58838344,76.00985192,76.55472565,730500,yfinance
2019-01-25,77.19573486,77.65247283,76.81112178,77.56433105,773600,yfinance
2019-01-28,77.15568251,77.66850408,76.64286093,77.65248108,712900,yfinance
2019-01-29,77.76466656,78.8223619,77.36402429,78.78229523,828600,yfinance
2019-01-30,78.99063177,79.72781209,78.64607917,79.67172241,856900,yfinance
2019-01-31,79.559535,80.05633356,79.1188261,79.98421478,1313900,yfinance
2019-02-01,79.96017528,80.8656245,79.59959361,80.83357239,1019800,yfinance
2019-02-04,80.7454347,81.47460651,79.54350797,81.24223328,2440600,yfinance
2019-02-05,81.73101226,82.18774414,80.76947338,82.18774414,1382800,yfinance
2019-02-06,82.21176745,82.42811763,81.80311075,82.1556778,1064100,yfinance
2019-02-07,82.09961675,82.78872198,81.37845941,82.42814636,1025400,yfinance
2019-02-08,82.04352292,82.46820274,82.04352292,82.40409851,1004700,yfinance
2019-02-11,82.66852811,83.06116195,82.39609429,83.02109528,681300,yfinance
2019-02-12,83.5419191,84.63967489,83.29351676,84.57557678,994700,yfinance
2019-02-13,84.73583713,85.0323146,84.43935966,84.90410614,1310700,yfinance
2019-02-14,84.59960237,84.98421543,84.37524374,84.68774414,910500,yfinance
2019-02-15,85.28874025,86.21822727,84.9441876,86.21021271,1227200,yfinance
2019-02-19,86.29835656,87.9730447,85.99387058,87.48426056,1482400,yfinance
2019-02-20,87.77269892,87.78872192,86.68295158,87.42814636,1750300,yfinance
2019-02-21,87.19577616,88.38167987,86.77109636,88.06116486,1154500,yfinance
2019-02-22,88.41371671,88.79032135,88.1172454,88.79032135,1073500,yfinance
2019-02-25,89.231047,89.88810008,87.78072393,87.85283661,1223700,yfinance
2019-02-26,88.60603421,89.15090787,87.87686244,87.98103333,841200,yfinance
2019-02-27,87.7647026,88.13329278,86.81117195,87.4682312,898000,yfinance
2019-02-28,87.37206249,87.57238361,86.63488222,87.16372681,1430600,yfinance
2019-03-01,87.70859367,87.72462278,86.48262946,87.46019745,917400,yfinance
2019-03-04,87.74064998,88.077188,86.26628949,86.94738007,903500,yfinance
2019-03-05,87.22782614,87.47622237,86.57878769,86.80314636,754900,yfinance
2019-03-06,87.06757653,87.06757653,86.20218781,86.37847137,782500,yfinance
2019-03-07,86.27597065,86.49385693,85.72721297,86.22754669,1348000,yfinance
2019-03-08,85.90476595,86.22756575,85.19461132,85.49320221,695500,yfinance
2019-03-11,85.46092045,85.92897985,85.26724304,85.83213806,850800,yfinance
2019-03-12,86.08229024,86.55842124,85.87247564,86.12264252,1133500,yfinance
2019-03-13,86.39701636,86.82472338,86.13877781,86.48578644,552100,yfinance
2019-03-14,86.21142734,86.61492554,85.75143964,86.42931366,703200,yfinance
2019-03-15,86.1872127,86.857015,85.82406065,86.38896179,3135300,yfinance
2019-03-18,86.49386284,87.10718175,86.24369596,86.59877014,839000,yfinance
2019-03-19,86.80052151,87.23630026,86.13878478,86.51807404,734400,yfinance
2019-03-20,86.25177836,87.28473899,86.25177836,86.55036926,600100,yfinance
2019-03-21,86.50192206,88.27731119,86.29210133,88.04328156,608100,yfinance
2019-03-22,87.55102371,88.22890378,86.69560964,86.73596191,562900,yfinance
2019-03-25,86.71174099,87.8818892,86.39701296,87.22821808,814000,yfinance
2019-03-26,87.88997807,88.26119566,87.54296938,88.10786438,506200,yfinance
2019-03-27,88.29347636,88.67275948,87.86576311,88.3822403,574200,yfinance
2019-03-28,88.76959517,89.60887208,88.65661618,89.57659149,512700,yfinance
2019-03-29,89.89939329,90.51271223,89.64922024,90.40779877,924900,yfinance
2019-04-01,90.93235662,91.36006374,90.52078673,91.27129364,624800,yfinance
2019-04-02,91.01305191,91.2470816,90.51271809,90.77902222,800800,yfinance
2019-04-03,90.94847336,91.23092696,90.58532751,90.86777496,1108500,yfinance
2019-04-04,91.18252977,91.6828698,90.86780164,91.65866089,823500,yfinance
2019-04-05,91.80388897,92.96595931,91.67476662,92.9175415,585400,yfinance
2019-04-08,92.61898139,92.65126198,91.88461781,92.32846832,596800,yfinance
2019-04-09,91.99757711,91.99757711,91.00496896,91.24707031,676800,yfinance
2019-04-10,91.38426363,91.52952322,90.4642883,91.00497437,632000,yfinance
2019-04-11,91.22287165,91.22287165,90.71446615,90.85165405,666200,yfinance
2019-04-12,91.19057032,91.21477922,90.38357412,91.03723907,692000,yfinance
2019-04-15,91.19059472,91.33585432,90.69025472,90.98077393,551600,yfinance
2019-04-16,91.41653901,91.50530909,90.88392466,91.25514221,511600,yfinance
2019-04-17,91.73127715,91.73127715,90.80323008,90.85165405,679800,yfinance
2019-04-18,90.2222191,90.38361595,84.75884887,85.09778595,2153300,yfinance
2019-04-22,84.75881712,84.92022007,82.87044881,83.64516449,1295800,yfinance
2019-04-23,83.56449548,85.25918701,82.58802424,84.92024994,1281700,yfinance
2019-04-24,84.99286721,85.21882523,83.67746519,84.36341095,750200,yfinance
2019-04-25,84.07285743,84.07285743,82.74131258,83.58058929,856600,yfinance
2019-04-26,83.76621662,83.87112392,83.08026485,83.58867645,599300,yfinance
2019-04-29,83.45150826,83.70974689,82.7574908,82.76555634,874200,yfinance
2019-04-30,82.65257075,82.78169313,82.09574742,82.74941254,885300,yfinance
2019-05-01,82.76556069,82.78170407,81.00630804,81.06279755,688900,yfinance
2019-05-02,80.94173779,83.37079242,80.42526061,82.31362915,2754000,yfinance
2019-05-03,82.74135734,82.97538708,81.6841938,82.41049194,1268700,yfinance
2019-05-06,81.3371544,82.0473089,80.98207408,81.79714203,836200,yfinance
2019-05-07,81.26451244,81.6841539,79.36000098,79.96524811,913300,yfinance
2019-05-08,79.90070453,79.92491343,78.93230528,79.50527191,1142900,yfinance
2019-05-09,79.00493815,79.64246596,78.42389984,79.50527191,858400,yfinance
2019-05-10,79.40844945,79.89264607,78.18988312,79.59405518,690300,yfinance
2019-05-13,78.58530394,78.73863522,77.96391945,78.30285645,877300,yfinance
2019-05-14,78.30286252,78.71443243,77.77831361,78.0849762,899300,yfinance
2019-05-15,77.62497931,77.86707452,76.8341202,77.81058502,682100,yfinance
